Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
DEN,1,26.19,5,27.07,1,25.30,1,27.14,6,27.73,1,23.02,3,29.03
SEA,2,26.75,2,26.55,4,26.95,16,30.13,1,26.02,13,26.07,1,28.40
CHI,3,26.91,7,27.25,2,26.58,2,27.58,4,27.39,5,25.09,6,29.40
NO,4,27.25,3,26.92,9,27.62,8,29.07,3,27.33,11,25.86,10,29.94
NE,5,27.28,6,27.12,8,27.44,3,27.92,8,28.00,6,25.13,4,29.04
PHI,6,27.57,1,26.51,18,28.60,7,28.61,5,27.67,7,25.31,5,29.17
KC,7,27.58,16,28.40,3,26.77,13,29.63,28,30.03,3,24.19,21,31.33
DET,8,27.69,11,28.24,7,27.13,5,28.41,27,29.93,15,26.42,23,31.69
IND,9,27.73,13,28.33,6,27.09,27,31.41,10,28.06,2,24.01,7,29.50
CLE,10,27.74,18,28.61,5,26.96,19,30.54,9,28.01,20,26.92,12,30.35
CIN,11,27.84,9,28.01,10,27.66,11,29.55,29,30.06,4,24.54,17,31.04
STL,12,27.88,10,28.10,11,27.67,12,29.62,15,28.96,16,26.59,14,30.69
TEN,13,27.98,4,27.05,21,28.86,17,30.21,2,27.14,21,27.02,2,28.50
ARI,14,28.24,20,28.70,13,27.80,25,31.00,7,27.95,10,25.77,11,30.22
WAS,15,28.43,12,28.32,17,28.56,6,28.47,23,29.44,19,26.83,13,30.59
SF,16,28.53,24,29.21,14,27.86,20,30.55,19,29.17,17,26.74,27,31.94
TB,17,28.55,15,28.39,20,28.68,31,33.04,12,28.40,9,25.73,19,31.26
MIN,18,28.68,14,28.33,24,28.99,9,29.27,17,29.09,23,27.28,18,31.25
ATL,19,28.81,19,28.68,22,28.97,15,30.08,16,29.04,8,25.38,8,29.64
OAK,20,28.81,30,29.98,12,27.75,32,33.58,21,29.34,22,27.17,28,31.94
DAL,21,28.89,17,28.53,27,29.24,26,31.38,24,29.45,12,25.96,22,31.45
BUF,22,29.02,22,29.06,23,28.98,21,30.87,22,29.41,27,28.01,30,32.40
GB,23,29.02,29,29.93,15,28.10,4,27.95,26,29.91,28,28.01,24,31.71
SD,24,29.06,27,29.48,19,28.67,24,30.99,18,29.11,24,27.63,16,31.03
