Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NE,1,23.43,1,23.84,1,23.01,2,25.88,1,24.68,1,20.90,2,26.62
BUF,2,24.66,2,24.56,2,24.77,1,25.56,2,25.13,3,22.61,1,25.68
CIN,3,25.67,8,26.40,3,24.95,27,31.12,3,25.94,4,23.44,4,28.74
SEA,4,26.12,5,26.20,5,26.04,6,27.25,5,26.56,12,24.91,6,29.14
DET,5,26.19,7,26.35,4,26.02,4,26.63,12,27.42,2,21.87,8,29.17
WAS,6,26.32,9,26.47,7,26.18,26,30.88,6,26.75,7,24.42,5,28.92
DEN,7,26.40,3,25.81,13,27.02,13,28.18,8,26.86,6,24.03,3,27.92
SD,8,26.60,4,26.16,12,27.02,14,28.78,9,27.07,9,24.60,13,29.61
CAR,9,26.96,17,27.79,6,26.15,15,29.02,10,27.18,19,25.80,10,29.41
CLE,10,27.10,18,27.85,9,26.41,8,27.68,24,28.95,11,24.84,23,31.23
MIN,11,27.13,13,26.84,17,27.42,3,26.59,17,28.15,14,25.09,15,29.91
NO,12,27.22,12,26.75,19,27.67,25,30.85,11,27.34,20,25.85,17,30.14
CHI,13,27.30,15,27.18,18,27.42,16,29.39,7,26.80,25,26.78,9,29.17
STL,14,27.35,21,28.29,10,26.42,9,27.71,28,30.47,5,23.74,26,31.53
PHI,15,27.41,10,26.59,22,28.22,11,28.06,13,27.61,21,26.29,16,30.00
SF,16,27.48,6,26.27,24,28.76,10,27.91,4,26.47,30,32.38,7,29.15
PIT,17,27.49,26,28.64,8,26.39,21,29.97,14,27.73,10,24.69,11,29.50
NYJ,18,27.71,24,28.47,11,27.02,7,27.26,26,29.93,18,25.69,24,31.36
NYG,19,27.77,23,28.45,14,27.06,23,30.53,15,27.93,23,26.46,21,30.97
JAX,20,27.80,25,28.61,15,27.07,5,26.96,23,28.88,26,27.20,18,30.25
