Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CHI,1,24.74,1,25.17,1,24.36,4,26.77,1,25.54,2,22.85,1,27.67
ARI,2,25.45,2,25.69,2,25.20,16,29.45,6,27.04,3,23.68,5,28.77
CLE,3,26.18,7,26.83,3,25.50,1,23.83,24,28.60,5,24.11,6,29.24
SEA,4,26.48,6,26.60,8,26.36,11,28.35,3,26.38,9,24.73,3,28.06
BAL,5,26.52,3,26.05,14,27.00,8,27.61,2,26.36,16,25.49,2,27.68
GB,6,26.52,9,26.85,6,26.22,13,28.75,5,26.64,11,24.88,9,29.63
NE,7,26.54,10,26.89,5,26.17,26,30.83,4,26.64,7,24.38,7,29.27
NYG,8,26.66,19,27.80,4,25.63,7,27.48,10,27.75,13,25.16,18,30.41
PHI,9,26.77,8,26.85,12,26.68,2,25.38,19,28.38,21,26.02,8,29.39
SD,10,26.99,16,27.49,10,26.53,21,30.11,11,27.80,12,25.00,4,28.74
CIN,11,27.00,5,26.51,18,27.52,3,25.70,12,27.80,27,26.98,11,29.74
WAS,12,27.02,14,27.45,11,26.63,6,27.03,23,28.59,4,23.96,15,30.30
MIA,13,27.22,21,28.11,7,26.34,9,27.94,15,28.06,15,25.42,14,30.18
KC,14,27.22,12,27.16,15,27.28,15,29.04,8,27.41,6,24.27,22,31.06
JAX,15,27.33,4,26.33,21,28.30,5,27.03,14,27.95,19,25.70,10,29.65
NO,16,27.42,20,27.93,13,26.90,25,30.82,18,28.29,14,25.28,21,30.92
DEN,17,27.62,15,27.45,19,27.79,18,29.76,7,27.38,24,26.36,19,30.49
MIN,18,27.63,11,26.89,23,28.35,14,28.79,9,27.61,25,26.57,12,29.81
PIT,19,27.64,18,27.79,17,27.49,10,28.30,28,29.47,18,25.68,16,30.32
DET,20,27.86,23,28.24,16,27.47,20,30.00,13,27.87,17,25.61,13,30.17
CAR,21,27.89,17,27.49,22,28.34,12,28.73,27,29.40,10,24.85,30,32.57
SF,22,28.08,30,29.77,9,26.37,23,30.21,26,29.31,26,26.89,29,32.55
OAK,23,28.38,22,28.15,24,28.61,27,30.93,20,28.38,22,26.04,17,30.38
NYJ,24,28.61,29,29.35,20,27.88,24,30.62,25,29.26,8,24.61,24,31.22
BUF,25,28.70,13,27.27,30,29.96,29,31.45,21,28.55,20,25.96,20,30.82
IND,26,28.84,25,28.74,25,28.95,22,30.13,16,28.19,30,28.80,23,31.14
ATL,27,29.09,28,29.07,26,29.11,31,33.86,17,28.23,29,28.48,31,32.77
