Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
PHI,1,23.38,1,22.41,4,24.45,4,26.33,1,22.72,1,21.32,1,23.88
BUF,2,23.95,3,24.60,1,23.36,5,27.23,3,24.19,2,21.72,2,24.92
NE,3,24.65,4,24.79,6,24.53,2,25.03,4,24.68,9,24.12,4,26.59
DEN,4,24.73,2,23.80,8,25.58,3,26.03,2,24.09,4,22.90,3,25.86
CLE,5,24.96,8,26.43,2,23.59,1,24.65,9,26.77,3,22.04,9,28.90
JAX,6,25.12,6,25.76,5,24.50,14,29.06,5,25.62,8,24.04,6,28.37
BAL,7,25.79,5,25.52,11,26.03,6,27.59,6,26.32,5,23.58,5,28.28
WAS,8,26.22,21,28.30,3,24.28,30,31.70,19,28.28,7,24.00,19,30.80
MIN,9,26.22,11,26.65,9,25.84,17,29.28,8,26.69,12,24.45,8,28.64
MIA,10,26.66,15,27.69,7,25.55,9,28.31,10,26.92,19,25.39,14,30.08
GB,11,26.69,10,26.59,16,26.79,13,29.06,7,26.60,20,25.58,10,28.92
IND,12,26.87,7,26.03,21,27.79,18,29.29,13,27.31,14,24.73,7,28.50
HOU,13,26.91,14,27.66,13,26.18,7,27.90,11,27.11,29,26.53,20,30.82
TEN,14,27.40,24,28.50,15,26.38,11,28.95,23,28.68,10,24.37,22,30.91
NYJ,15,27.45,13,27.49,19,27.41,20,29.37,12,27.29,30,26.99,12,29.38
DET,16,27.61,12,27.38,22,27.87,12,28.97,15,27.76,23,26.21,23,30.95
ARI,17,27.72,19,28.13,18,27.35,15,29.06,16,28.01,28,26.52,15,30.16
NYG,18,27.74,25,28.58,17,26.91,21,29.60,18,28.22,26,26.32,24,31.08
ATL,19,27.77,29,29.45,12,26.09,8,28.09,30,29.87,6,23.81,27,31.69
OAK,20,27.93,22,28.31,20,27.53,31,31.98,22,28.47,18,25.32,28,31.94
STL,21,28.09,32,30.41,10,25.97,24,30.09,31,30.46,21,25.58,31,32.31
PIT,22,28.14,30,29.92,14,26.38,10,28.44,32,31.05,17,25.24,32,32.31
TB,23,28.18,23,28.36,23,27.99,26,30.25,27,29.60,16,25.20,17,30.68
CIN,24,28.20,9,26.49,29,29.71,19,29.35,20,28.28,24,26.27,13,30.00
KC,25,28.23,17,27.93,26,28.55,28,30.79,14,27.73,15,24.82,11,29.28
DAL,26,28.25,20,28.16,24,28.34,22,30.00,21,28.38,22,26.02,21,30.84
NO,27,28.25,18,27.97,25,28.51,23,30.07,17,28.15,27,26.39,16,30.26
CHI,28,28.64,26,28.58,27,28.70,25,30.09,29,29.84,25,26.31,25,31.21
SEA,29,29.08,16,27.88,31,30.31,16,29.16,24,29.22,32,27.64,26,31.49
SF,30,29.45,28,29.14,30,29.77,27,30.31,25,29.48,13,24.56,18,30.71
SD,31,29.47,31,30.13,28,28.82,29,31.64,26,29.52,31,27.26,29,31.96
CAR,32,29.93,27,28.75,32,31.12,32,32.30,28,29.74,11,24.40,30,32.00
NFL,0,27.13,0,27.39,0,26.88,0,29.01,0,27.73,0,24.89,0,29.79

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CIN,1,25.76,6,26.78,1,24.66,3,26.69,19,27.76,4,23.30,1,28.42
KC,2,26.03,4,26.47,7,25.65,11,28.20,22,28.01,7,23.54,11,29.24
NE,3,26.11,20,27.50,2,24.86,4,27.70,14,27.53,5,23.53,9,29.09
ARI,4,26.19,17,27.37,3,25.02,10,28.14,7,27.06,2,22.75,24,30.27
PIT,5,26.21,3,26.19,12,26.23,14,28.30,3,26.42,10,24.39,5,28.81
CLE,6,26.41,2,26.03,15,26.80,9,28.05,5,26.84,6,23.54,2,28.45
DET,7,26.44,18,27.38,6,25.61,2,26.41,23,28.02,3,22.92,10,29.16
DEN,8,26.50,26,27.83,4,25.12,28,30.95,11,27.36,20,25.38,19,30.06
DAL,9,26.53,15,27.37,8,25.74,32,31.69,2,26.08,17,25.26,22,30.16
MIA,10,26.66,14,27.25,10,26.18,17,28.50,4,26.64,16,25.00,8,29.09
CAR,11,26.74,28,28.20,5,25.29,1,25.96,18,27.76,19,25.34,25,30.49
SD,12,26.75,16,27.37,11,26.20,7,27.96,24,28.09,13,24.60,30,31.00
NYG,13,26.82,1,26.01,22,27.63,23,29.38,15,27.53,1,20.57,13,29.50
NYJ,14,26.89,5,26.77,16,27.03,12,28.20,9,27.34,9,24.37,4,28.55
SF,15,27.03,29,28.37,9,25.80,30,31.42,31,29.53,12,24.45,29,30.94
NO,16,27.05,8,26.89,17,27.24,16,28.41,12,27.46,22,25.69,12,29.42
TEN,17,27.26,13,27.11,19,27.42,24,29.86,6,27.02,25,26.01,18,30.04
BUF,18,27.28,7,26.78,25,27.79,19,28.85,20,27.80,14,24.62,7,29.08
PHI,19,27.30,27,27.97,14,26.65,21,29.14,30,29.31,11,24.41,27,30.58
OAK,20,27.32,12,27.01,23,27.64,8,28.04,21,27.91,23,25.77,14,29.54
MIN,21,27.54,24,27.73,18,27.34,27,30.34,13,27.50,15,24.69,26,30.52
IND,22,27.56,19,27.42,24,27.70,31,31.54,16,27.63,8,23.62,16,29.78
GB,23,27.59,21,27.57,21,27.60,13,28.22,26,28.25,21,25.59,28,30.91
CHI,24,27.60,25,27.75,20,27.45,5,27.90,10,27.35,32,27.90,15,29.73
