Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CIN,1,25.52,5,26.73,1,24.41,2,27.34,2,26.25,11,24.66,1,28.17
KC,2,25.96,10,27.47,2,24.68,5,28.06,3,26.84,8,24.04,3,29.12
NYJ,3,26.43,4,26.67,9,26.20,12,29.19,6,27.50,3,23.47,8,30.17
NE,4,26.44,11,27.56,4,25.44,3,27.43,7,27.53,6,23.92,14,30.54
ARI,5,26.61,15,28.10,3,25.17,1,26.28,24,29.43,14,24.88,19,30.92
CHI,6,26.83,12,27.91,5,25.78,11,28.95,23,29.31,10,24.30,20,31.19
SEA,7,26.90,6,26.97,11,26.83,25,30.60,4,27.09,17,25.61,6,29.85
PHI,8,26.94,1,26.37,12,27.51,17,29.82,1,25.57,15,25.24,2,29.09
IND,9,26.98,18,28.29,6,25.88,22,30.21,5,27.37,1,21.19,16,30.59
SD,10,27.07,9,27.35,10,26.80,4,27.63,15,28.36,16,25.43,4,29.36
JAX,11,27.25,2,26.58,14,27.99,14,29.46,8,27.66,5,23.89,12,30.45
SF,12,27.48,3,26.62,21,28.34,24,30.24,9,27.90,13,24.83,5,29.80
GB,13,27.76,27,29.37,8,26.19,8,28.57,14,28.27,19,26.05,11,30.42
DEN,14,27.77,8,27.32,20,28.24,6,28.33,19,28.86,4,23.74,9,30.17
BUF,15,27.79,28,29.66,7,26.18,21,30.01,16,28.37,9,24.07,24,31.49
CAR,16,27.81,7,27.19,22,28.52,10,28.94,17,28.55,12,24.75,15,30.56
NYG,17,27.92,17,28.27,13,27.58,18,29.88,22,29.26,2,22.43,10,30.30
DET,18,28.03,14,27.95,15,28.09,7,28.49,20,28.94,21,26.43,7,30.02
NO,19,28.31,19,28.41,19,28.21,23,30.22,21,29.01,18,25.83,22,31.28
STL,20,28.43,16,28.11,23,28.79,15,29.50,12,28.23,26,27.39,18,30.65
WAS,21,28.46,24,28.79,16,28.14,28,31.43,10,28.00,24,26.98,26,32.14
CLE,22,28.48,23,28.75,18,28.20,9,28.75,31,31.30,20,26.23,28,32.35
DAL,23,28.72,25,29.29,17,28.18,20,30.00,25,29.47,23,26.92,25,32.10
TB,24,28.89,22,28.66,26,29.13,31,32.56,13,28.27,7,24.03,23,31.29
