Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CAR,29,28.97,23,28.71,30,29.23,30,31.30,18,29.17,26,27.16,28,31.94
MIN,30,29.00,32,30.15,15,27.93,26,30.68,29,29.88,23,26.76,21,31.47
ARI,31,29.29,29,29.23,31,29.35,19,29.79,20,29.22,31,28.36,30,32.13
MIA,32,29.58,31,29.65,32,29.52,29,31.13,24,29.57,30,27.92,29,31.96
NFL,0,28.05,0,28.28,0,27.82,0,29.44,0,28.69,0,26.14,0,31.06

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
BAL,1,32:27,6,7:10,3,16:01,5,9:16,15,12:36,6,30:36,6,16:48
PHI,2,32:25,21,5:32,16,10:46,28,16:07,18,11:58,20,21:36,17,26:26
CHI,3,31:59,5,7:18,2,16:44,2,7:57,19,11:46,2,36:06,2,12:08
NO,4,31:26,15,6:11,10,12:35,14,12:41,23,10:47,10,26:46,13,22:27
DET,5,31:24,13,6:24,14,10:52,16,14:08,16,12:31,15,23:06,15,24:24
SEA,6,31:19,2,8:18,15,10:48,13,12:13,6,14:39,12,25:40,10,19:41
NE,7,31:05,11,6:33,5,15:49,3,8:43,24,10:26,3,33:36,4,15:57
DAL,8,30:45,3,8:08,8,13:33,4,9:04,4,14:43,8,28:56,5,16:22
CAR,9,30:44,1,9:16,17,10:38,9,10:50,7,14:28,13,24:24,11,21:08
LAC,10,30:43,32,3:48,7,14:48,11,12:07,31,8:21,7,29:41,12,21:58
LAR,11,30:42,24,5:15,4,15:57,6,9:31,13,13:09,5,32:18,3,14:33
PIT,12,30:35,8,6:49,9,13:23,7,10:23,3,14:56,9,27:26,8,17:37
OAK,13,30:31,14,6:23,27,7:53,29,16:15,25,10:19,27,17:53,31,31:48
BUF,14,30:29,22,5:25,20,9:42,25,15:21,21,11:03,24,19:39,26,29:19
HOU,15,30:15,28,4:47,6,15:04,8,10:24,30,9:07,4,33:21,7,17:32
JAX,16,30:14,4,8:04,26,7:59,17,14:10,2,16:01,28,17:30,18,26:29
TB,17,30:12,30,4:19,19,9:59,27,15:54,32,7:34,19,22:38,28,29:48
IND,18,29:44,10,6:44,11,12:09,10,10:51,8,14:07,11,26:16,9,19:38
SF,19,29:39,27,4:59,18,10:00,23,14:40,29,9:31,17,22:44,21,27:45
WAS,20,29:38,29,4:20,13,10:57,20,14:20,28,9:33,18,22:38,23,27:49
ATL,21,29:36,19,5:49,21,9:32,18,14:14,9,13:43,16,22:56,14,23:21
GB,22,29:36,20,5:45,23,9:02,24,14:49,10,13:34,23,19:40,20,26:47
TEN,23,29:23,16,6:01,24,8:58,21,14:24,27,9:49,21,20:52,27,29:19
NYJ,24,29:10,23,5:16,28,7:30,30,16:24,17,12:14,29,16:39,29,31:07
MIN,25,29:10,18,5:52,12,11:05,12,12:13,20,11:09,14,23:16,16,25:35
DEN,26,28:58,7,6:59,31,5:29,31,16:30,12,13:09,30,15:30,30,31:21
KC,27,28:51,25,5:09,1,17:05,1,6:37,26,9:55,1,39:09,1,10:57
NYG,28,28:42,31,3:54,22,9:21,26,15:27,22,10:57,22,20:10,25,28:52
CLE,29,28:39,17,6:01,25,8:00,22,14:38,11,13:18,25,18:46,24,27:56
MIA,30,27:40,9,6:47,29,7:00,15,13:52,5,14:40,26,18:41,19,26:38
CIN,31,27:27,12,6:30,30,6:39,19,14:17,1,17:00,31,15:12,22,27:48
ARI,32,26:33,26,5:06,32,3:28,32,17:59,14,12:45,32,11:27,32,35:49

