"","index","schedule_date","schedule_season","schedule_week","team_home","team_home_full","team_away_full","score_home","score_away","score_total","over_under_line","over_under_diff","over_binary","spread_favorite","home_total_dvoa","home_weighted_dvoa","home_offense_dvoa","home_defense_dvoa","home_special_dvoa","home_off_def_difference","home_sec_play_total","home_sec_play_neutral","home_sec_play_composite","away_total_dvoa","away_weighted_dvoa","away_offense_dvoa","away_defense_dvoa","away_special_dvoa","away_off_def_difference","away_sec_play_total","away_sec_play_neutral","away_sec_play_composite","dvoa_total_cumulative","dvoa_total_difference","dvoa_weighted_cumulative","dvoa_weighted_difference","dvoa_offense_cumulative","dvoa_offense_difference","dvoa_defense_cumulative","dvoa_defense_difference","dvoa_special_cumulative","dvoa_special_difference","dvoa_home_offense_matchup","dvoa_away_offense_matchup","composite_pace_average","composite_pace_difference","offense_matchup_cumulative","offense_matchup_difference"
"1173",1173,"1998-09-14",1998,2,"WAS","WAS1998","SF1998",10,45,55,43.5,11.5,1,-4.5,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,25,20.5,29.3,1,-3.4,32.7,27.38,28.92,28.15,3.6,46.4,9.1,31.9,28.6,30,16.7,14.7,-4,1.6,0.3,45,27.84,0.619999999999997,45.3,44.7
"1174",1174,"1998-09-20",1998,3,"ARI","ARI1998","PHI1998",17,3,20,39,-19,0,-4.5,-17.8,-18.2,-6.2,9.9,-1.8,-4.4,26.02,28.02,27.02,-37,-31.1,-23.5,10.6,-3,-20.5,27.41,30.09,28.75,-54.8,19.2,-49.3,12.9,-29.7,17.3,20.5,0.699999999999999,8.8,1.2,4.4,-13.6,27.885,1.73,-9.2,18
"1175",1175,"1998-09-20",1998,3,"BUF","BUF1998","LAR1998",33,34,67,38.5,28.5,1,-4.5,19.3,24.3,20,-1,-1.7,21.7,28.85,30.25,29.55,-6.9,-11.2,-13.4,-7.2,-0.8,-12.6,27.17,31.55,29.36,12.4,26.2,13.1,35.5,6.6,33.4,-8.2,6.2,-8.9,0.9,12.8,-14.4,29.455,0.190000000000001,-1.6,27.2
"1176",1176,"1998-09-20",1998,3,"CIN","CIN1998","GB1998",6,13,19,44.5,-25.5,0,-7,-29.6,-36.4,-4.3,20.8,-4.5,0.2,27.46,29.81,28.635,14.8,12.9,6.6,-6.8,1.4,5.2,27.68,29.57,28.625,-14.8,44.4,-23.5,49.3,2.3,10.9,14,27.6,-11.3,5.9,-11.1,27.4,28.63,0.0100000000000016,16.3,38.5
"1177",1177,"1998-09-20",1998,3,"JAX","JAX1998","BAL1998",24,10,34,42,-8,0,-7,7.5,7.3,9.9,3.9,1.6,8.3,27.42,29.08,28.25,-3.2,-7.4,-7.8,-1.9,2.7,-10.5,28.25,31.81,30.03,4.3,10.7,-0.100000000000001,14.7,2.1,17.7,2,5.8,-0.3,1.1,8,-3.9,29.14,1.78,4.1,11.9
"1178",1178,"1998-09-20",1998,3,"KC","KC1998","LAC1998",23,7,30,37,-7,0,-10,-6.1,-5.6,-2.2,1.7,-2.2,0,27.49,30.16,28.825,-16.2,-21,-25.7,-14.6,-5.1,-20.6,27.5,31.14,29.32,-22.3,10.1,-26.6,15.4,-27.9,23.5,-12.9,16.3,-16.8,2.9,-16.8,-24,29.0725,0.495000000000001,-40.8,7.2
"1179",1179,"1998-09-20",1998,3,"MIA","MIA1998","PIT1998",21,0,21,37.5,-16.5,0,-2.5,24.1,21.6,1.3,-22,0.7,0.6,29.43,31.69,30.56,-2.5,-1.2,-6.6,-3.4,0.7,-7.3,27.95,30.47,29.21,21.6,26.6,20.4,22.8,-5.3,7.9,-25.4,18.6,-2.7,0,-2.1,-28.6,29.885,1.35,-30.7,26.5
"1180",1180,"1998-09-20",1998,3,"MIN","MIN1998","DET1998",29,6,35,44,-9,0,-6.5,27.4,28.6,23.9,-2.7,0.8,23.1,27.49,29.2,28.345,-9,-10.2,-6.3,4.9,2.1,-8.4,28.02,30.44,29.23,18.4,36.4,18.4,38.8,17.6,30.2,2.2,7.6,5.7,1.3,28.8,-9,28.7875,0.885000000000002,19.8,37.8
"1181",1181,"1998-09-20",1998,3,"NE","NE1998","TEN1998",27,16,43,40,3,1,-6.5,7.3,0.2,-0.1,-5.9,1.5,-1.6,26.46,30.15,28.305,0.5,4.3,12.3,14.7,3,9.3,28.76,32.43,30.595,7.8,6.8,4.5,4.1,12.2,12.4,8.8,20.6,16.2,1.5,14.6,6.4,29.45,2.29,21,8.2
"1182",1182,"1998-09-20",1998,3,"NYJ","NYJ1998","IND1998",44,6,50,40.5,9.5,1,-9,28,38.3,17.9,-11.3,-1.2,19.1,28.55,30.63,29.59,-17.4,-7.9,-1.1,14.9,-1.5,0.4,26.5,30.86,28.68,10.6,45.4,30.4,46.2,16.8,19,3.6,26.2,13.7,0.3,32.8,-12.4,29.135,0.91,20.4,45.2
"1183",1183,"1998-09-20",1998,3,"LV","LV1998","DEN1998",17,34,51,45,6,1,-7,-19.8,-23.2,-24.8,-14.2,-9.3,-15.5,26.06,28.16,27.11,32.2,27.1,35,5.1,2.3,32.7,28.76,29.99,29.375,12.4,52,3.9,50.3,10.2,59.8,-9.1,19.3,-4.2,11.6,-19.7,20.8,28.2425,2.265,1.1,40.5
"1184",1184,"1998-09-20",1998,3,"SEA","SEA1998","WAS1998",24,14,38,43,-5,0,-8.5,2.9,1.7,-10.3,-9.5,3.7,-14,26.93,28.88,27.905,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,-18.5,24.3,-9.7,13.1,-11,9.6,6.2,25.2,19.4,8.7,5.4,-10.2,27.7175,0.375,-4.8,15.6
"1185",1185,"1998-09-20",1998,3,"TB","TB1998","CHI1998",27,15,42,37,5,1,-7.5,1.8,4.5,-7.2,-6.6,2.5,-9.7,29.85,33.23,31.54,-10.3,-12.6,-5,7.9,2.7,-7.7,28.19,31.79,29.99,-8.5,12.1,-8.1,17.1,-12.2,2.2,1.3,14.5,10.4,0.2,0.7,-11.6,30.765,1.55,-10.9,12.3
"1186",1186,"1998-09-21",1998,3,"NYG","NYG1998","DAL1998",7,31,38,37,1,1,-4,-5.9,0,-9.7,-4.8,-1,-8.7,26.03,28.39,27.21,14.3,11.3,14.9,9.7,9.2,5.7,29.82,30.94,30.38,8.4,20.2,11.3,11.3,5.2,24.6,4.9,14.5,8.7,10.2,0,10.1,28.795,3.17,10.1,10.1
"1187",1187,"1998-09-27",1998,4,"BAL","BAL1998","CIN1998",31,24,55,40.5,14.5,1,-4.5,-3.2,-7.4,-7.8,-1.9,2.7,-10.5,28.25,31.81,30.03,-29.6,-36.4,-4.3,20.8,-4.5,0.2,27.46,29.81,28.635,-32.8,26.4,-43.8,29,-12.1,3.5,18.9,22.7,23.5,7.2,13,-6.2,29.3325,1.395,6.8,19.2
"1188",1188,"1998-09-27",1998,4,"CAR","CAR1998","GB1998",30,37,67,37.5,29.5,1,-7,-13.6,-10.8,-7.8,6.7,0.8,-8.6,27.4,30.02,28.71,14.8,12.9,6.6,-6.8,1.4,5.2,27.68,29.57,28.625,1.2,28.4,2.1,23.7,-1.2,14.4,-0.0999999999999996,13.5,-6,0.6,-14.6,13.3,28.6675,0.0850000000000009,-1.3,27.9
"1189",1189,"1998-09-27",1998,4,"CHI","CHI1998","MIN1998",28,31,59,40,19,1,-6.5,-10.3,-12.6,-5,7.9,2.7,-7.7,28.19,31.79,29.99,27.4,28.6,23.9,-2.7,0.8,23.1,27.49,29.2,28.345,17.1,37.7,16,41.2,18.9,28.9,5.2,10.6,0,1.9,-7.7,31.8,29.1675,1.645,24.1,39.5
"1190",1190,"1998-09-27",1998,4,"DAL","DAL1998","LV1998",12,13,25,41.5,-16.5,0,-5,14.3,11.3,14.9,9.7,9.2,5.7,29.82,30.94,30.38,-19.8,-23.2,-24.8,-14.2,-9.3,-15.5,26.06,28.16,27.11,-5.5,34.1,-11.9,34.5,-9.9,39.7,-4.5,23.9,-5,18.5,0.700000000000001,-15.1,28.745,3.27,-14.4,15.8
"1191",1191,"1998-09-27",1998,4,"IND","IND1998","NO1998",13,19,32,35.5,-3.5,0,0,-17.4,-7.9,-1.1,14.9,-1.5,0.4,26.5,30.86,28.68,-11.8,-15.1,-22.7,-7.9,2.9,-25.6,27.47,31.17,29.32,-29.2,5.6,-23,7.2,-23.8,21.6,7,22.8,-9.4,4.4,-9,-7.8,29,0.640000000000001,-16.8,1.2
"1192",1192,"1998-09-27",1998,4,"PHI","PHI1998","KC1998",21,24,45,36,9,1,-8,-37,-31.1,-23.5,10.6,-3,-20.5,27.41,30.09,28.75,-6.1,-5.6,-2.2,1.7,-2.2,0,27.49,30.16,28.825,-43.1,30.9,-36.7,25.5,-25.7,21.3,12.3,8.9,-1.3,0.8,-21.8,8.4,28.7875,0.0749999999999993,-13.4,30.2
"1193",1193,"1998-09-27",1998,4,"PIT","PIT1998","SEA1998",13,10,23,39.5,-16.5,0,-3,-2.5,-1.2,-6.6,-3.4,0.7,-7.3,27.95,30.47,29.21,2.9,1.7,-10.3,-9.5,3.7,-14,26.93,28.88,27.905,0.4,5.4,0.5,2.9,-16.9,3.7,-12.9,6.1,-8.8,3,-16.1,-13.7,28.5575,1.305,-29.8,2.4
"1194",1194,"1998-09-27",1998,4,"LAC","LAC1998","NYG1998",16,34,50,35,15,1,-1,-16.2,-21,-25.7,-14.6,-5.1,-20.6,27.5,31.14,29.32,-5.9,0,-9.7,-4.8,-1,-8.7,26.03,28.39,27.21,-22.1,10.3,-21,21,-35.4,16,-19.4,9.8,-9.9,4.1,-30.5,-24.3,28.265,2.11,-54.8,6.2
"1195",1195,"1998-09-27",1998,4,"SF","SF1998","ATL1998",31,20,51,45,6,1,-11,25,20.5,29.3,1,-3.4,32.7,27.38,28.92,28.15,22.9,32.7,7,-12.8,3.2,3.8,31.13,33,32.065,47.9,2.1,53.2,12.2,36.3,22.3,-11.8,13.8,-16.2,6.6,16.5,8,30.1075,3.915,24.5,8.5
"1196",1196,"1998-09-27",1998,4,"LAR","LAR1998","ARI1998",17,20,37,41,-4,0,-3,-6.9,-11.2,-13.4,-7.2,-0.8,-12.6,27.17,31.55,29.36,-17.8,-18.2,-6.2,9.9,-1.8,-4.4,26.02,28.02,27.02,-24.7,10.9,-29.4,7,-19.6,7.2,2.7,17.1,9.1,1,-3.5,-13.4,28.19,2.34,-16.9,9.9
"1197",1197,"1998-09-27",1998,4,"TEN","TEN1998","JAX1998",22,27,49,41,8,1,-3,0.5,4.3,12.3,14.7,3,9.3,28.76,32.43,30.595,7.5,7.3,9.9,3.9,1.6,8.3,27.42,29.08,28.25,8,7,11.6,3,22.2,2.4,18.6,10.8,6.9,1.4,16.2,24.6,29.4225,2.345,40.8,8.4
"1198",1198,"1998-09-27",1998,4,"WAS","WAS1998","DEN1998",16,38,54,44,10,1,-6.5,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,32.2,27.1,35,5.1,2.3,32.7,28.76,29.99,29.375,10.8,53.6,15.7,38.5,34.3,35.7,20.8,10.6,0.0999999999999996,7.3,4.4,50.7,28.4525,1.845,55.1,46.3
"1199",1199,"1998-09-28",1998,4,"DET","DET1998","TB1998",27,6,33,39.5,-6.5,0,-1.5,-9,-10.2,-6.3,4.9,2.1,-8.4,28.02,30.44,29.23,1.8,4.5,-7.2,-6.6,2.5,-9.7,29.85,33.23,31.54,-7.2,10.8,-5.7,14.7,-13.5,0.9,-1.7,11.5,-4.5,0.4,-12.9,-2.3,30.385,2.31,-15.2,10.6
"1200",1200,"1998-10-04",1998,5,"ARI","ARI1998","LV1998",20,23,43,41.5,1.5,1,-2.5,-17.8,-18.2,-6.2,9.9,-1.8,-4.4,26.02,28.02,27.02,-19.8,-23.2,-24.8,-14.2,-9.3,-15.5,26.06,28.16,27.11,-37.6,2,-41.4,5,-31,18.6,-4.3,24.1,-16,7.5,-20.4,-14.9,27.065,0.0899999999999999,-35.3,5.5
"1201",1201,"1998-10-04",1998,5,"ATL","ATL1998","CAR1998",51,23,74,39,35,1,-3,22.9,32.7,7,-12.8,3.2,3.8,31.13,33,32.065,-13.6,-10.8,-7.8,6.7,0.8,-8.6,27.4,30.02,28.71,9.3,36.5,21.9,43.5,-0.8,14.8,-6.1,19.5,9.9,2.4,13.7,-20.6,30.3875,3.355,-6.9,34.3
"1202",1202,"1998-10-04",1998,5,"BUF","BUF1998","SF1998",26,21,47,45,2,1,-10,19.3,24.3,20,-1,-1.7,21.7,28.85,30.25,29.55,25,20.5,29.3,1,-3.4,32.7,27.38,28.92,28.15,44.3,5.7,44.8,3.8,49.3,9.3,0,2,-0.7,1.7,21,28.3,28.85,1.4,49.3,7.3
"1203",1203,"1998-10-04",1998,5,"CHI","CHI1998","DET1998",31,27,58,38,20,1,-2,-10.3,-12.6,-5,7.9,2.7,-7.7,28.19,31.79,29.99,-9,-10.2,-6.3,4.9,2.1,-8.4,28.02,30.44,29.23,-19.3,1.3,-22.8,2.4,-11.3,1.3,12.8,3,7.6,0.6,-0.0999999999999996,1.6,29.61,0.759999999999998,1.5,1.7
"1204",1204,"1998-10-04",1998,5,"DEN","DEN1998","PHI1998",41,16,57,42.5,14.5,1,-15.5,32.2,27.1,35,5.1,2.3,32.7,28.76,29.99,29.375,-37,-31.1,-23.5,10.6,-3,-20.5,27.41,30.09,28.75,-4.8,69.2,-4,58.2,11.5,58.5,15.7,5.5,12.9,5.3,45.6,-18.4,29.0625,0.625,27.2,64
"1205",1205,"1998-10-04",1998,5,"IND","IND1998","LAC1998",17,12,29,36.5,-7.5,0,-1,-17.4,-7.9,-1.1,14.9,-1.5,0.4,26.5,30.86,28.68,-16.2,-21,-25.7,-14.6,-5.1,-20.6,27.5,31.14,29.32,-33.6,1.2,-28.9,13.1,-26.8,24.6,0.300000000000001,29.5,-16.1,3.6,-15.7,-10.8,29,0.640000000000001,-26.5,4.9
"1206",1206,"1998-10-04",1998,5,"KC","KC1998","SEA1998",17,6,23,36.5,-13.5,0,-4,-6.1,-5.6,-2.2,1.7,-2.2,0,27.49,30.16,28.825,2.9,1.7,-10.3,-9.5,3.7,-14,26.93,28.88,27.905,-3.2,9,-3.9,7.3,-12.5,8.1,-7.8,11.2,-11.7,5.9,-11.7,-8.6,28.365,0.919999999999998,-20.3,3.1
"1207",1207,"1998-10-04",1998,5,"NO","NO1998","NE1998",27,30,57,36,21,1,-7,-11.8,-15.1,-22.7,-7.9,2.9,-25.6,27.47,31.17,29.32,7.3,0.2,-0.1,-5.9,1.5,-1.6,26.46,30.15,28.305,-4.5,19.1,-14.9,15.3,-22.8,22.6,-13.8,2,-3,1.4,-28.6,-8,28.8125,1.015,-36.6,20.6
"1208",1208,"1998-10-04",1998,5,"NYJ","NYJ1998","MIA1998",20,9,29,40,-11,0,-2.5,28,38.3,17.9,-11.3,-1.2,19.1,28.55,30.63,29.59,24.1,21.6,1.3,-22,0.7,0.6,29.43,31.69,30.56,52.1,3.9,59.9,16.7,19.2,16.6,-33.3,10.7,-23.2,1.9,-4.1,-10,30.075,0.969999999999999,-14.1,5.9
"1209",1209,"1998-10-04",1998,5,"TB","TB1998","NYG1998",20,3,23,35,-12,0,-4,1.8,4.5,-7.2,-6.6,2.5,-9.7,29.85,33.23,31.54,-5.9,0,-9.7,-4.8,-1,-8.7,26.03,28.39,27.21,-4.1,7.7,4.5,4.5,-16.9,2.5,-11.4,1.8,-2.3,3.5,-12,-16.3,29.375,4.33,-28.3,4.3
"1210",1210,"1998-10-04",1998,5,"WAS","WAS1998","DAL1998",10,31,41,38.5,2.5,1,-1,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,14.3,11.3,14.9,9.7,9.2,5.7,29.82,30.94,30.38,-7.1,35.7,-0.0999999999999996,22.7,14.2,15.6,25.4,6,4.7,14.2,9,30.6,28.955,2.85,39.6,21.6
"1211",1211,"1998-10-05",1998,5,"GB","GB1998","MIN1998",24,37,61,47,14,1,-7,14.8,12.9,6.6,-6.8,1.4,5.2,27.68,29.57,28.625,27.4,28.6,23.9,-2.7,0.8,23.1,27.49,29.2,28.345,42.2,12.6,41.5,15.7,30.5,17.3,-9.5,4.1,-1.3,0.6,3.9,17.1,28.485,0.280000000000001,21,13.2
"1212",1212,"1998-10-11",1998,6,"ARI","ARI1998","CHI1998",20,7,27,42.5,-15.5,0,-3,-17.8,-18.2,-6.2,9.9,-1.8,-4.4,26.02,28.02,27.02,-10.3,-12.6,-5,7.9,2.7,-7.7,28.19,31.79,29.99,-28.1,7.5,-30.8,5.6,-11.2,1.2,17.8,2,6.1,4.5,1.7,4.9,28.505,2.97,6.6,3.2
"1213",1213,"1998-10-11",1998,6,"BAL","BAL1998","TEN1998",8,12,20,41,-21,0,-3.5,-3.2,-7.4,-7.8,-1.9,2.7,-10.5,28.25,31.81,30.03,0.5,4.3,12.3,14.7,3,9.3,28.76,32.43,30.595,-2.7,3.7,-3.1,11.7,4.5,20.1,12.8,16.6,17.4,0.3,6.9,10.4,30.3125,0.564999999999998,17.3,3.5
"1214",1214,"1998-10-11",1998,6,"CIN","CIN1998","PIT1998",25,20,45,40.5,4.5,1,-2.5,-29.6,-36.4,-4.3,20.8,-4.5,0.2,27.46,29.81,28.635,-2.5,-1.2,-6.6,-3.4,0.7,-7.3,27.95,30.47,29.21,-32.1,27.1,-37.6,35.2,-10.9,2.3,17.4,24.2,-7.9,5.2,-7.7,14.2,28.9225,0.574999999999999,6.5,21.9
"1215",1215,"1998-10-11",1998,6,"DAL","DAL1998","CAR1998",27,20,47,39,8,1,-7,14.3,11.3,14.9,9.7,9.2,5.7,29.82,30.94,30.38,-13.6,-10.8,-7.8,6.7,0.8,-8.6,27.4,30.02,28.71,0.700000000000001,27.9,0.5,22.1,7.1,22.7,16.4,3,15.9,8.4,21.6,1.9,29.545,1.67,23.5,19.7
"1216",1216,"1998-10-11",1998,6,"IND","IND1998","BUF1998",24,31,55,37,18,1,-3,-17.4,-7.9,-1.1,14.9,-1.5,0.4,26.5,30.86,28.68,19.3,24.3,20,-1,-1.7,21.7,28.85,30.25,29.55,1.9,36.7,16.4,32.2,18.9,21.1,13.9,15.9,-2.5,0.2,-2.1,34.9,29.115,0.870000000000001,32.8,37
"1217",1217,"1998-10-11",1998,6,"NE","NE1998","KC1998",40,10,50,37.5,12.5,1,-3,7.3,0.2,-0.1,-5.9,1.5,-1.6,26.46,30.15,28.305,-6.1,-5.6,-2.2,1.7,-2.2,0,27.49,30.16,28.825,1.2,13.4,-5.4,5.8,-2.3,2.1,-4.2,7.6,3.2,3.7,1.6,-8.1,28.565,0.52,-6.5,9.7
"1218",1218,"1998-10-11",1998,6,"NO","NO1998","SF1998",0,31,31,43,-12,0,-10.5,-11.8,-15.1,-22.7,-7.9,2.9,-25.6,27.47,31.17,29.32,25,20.5,29.3,1,-3.4,32.7,27.38,28.92,28.15,13.2,36.8,5.4,35.6,6.6,52,-6.9,8.9,3.9,6.3,-21.7,21.4,28.735,1.17,-0.300000000000001,43.1
"1219",1219,"1998-10-11",1998,6,"NYG","NYG1998","ATL1998",20,34,54,37.5,16.5,1,-2.5,-5.9,0,-9.7,-4.8,-1,-8.7,26.03,28.39,27.21,22.9,32.7,7,-12.8,3.2,3.8,31.13,33,32.065,17,28.8,32.7,32.7,-2.7,16.7,-17.6,8,-13.8,4.2,-22.5,2.2,29.6375,4.855,-20.3,24.7
"1220",1220,"1998-10-11",1998,6,"LV","LV1998","LAC1998",7,6,13,36.5,-23.5,0,-5,-19.8,-23.2,-24.8,-14.2,-9.3,-15.5,26.06,28.16,27.11,-16.2,-21,-25.7,-14.6,-5.1,-20.6,27.5,31.14,29.32,-36,3.6,-44.2,2.2,-50.5,0.899999999999999,-28.8,0.4,-23.9,4.2,-39.4,-39.9,28.215,2.21,-79.3,0.5
"1221",1221,"1998-10-11",1998,6,"PHI","PHI1998","WAS1998",17,12,29,39,-10,0,-2.5,-37,-31.1,-23.5,10.6,-3,-20.5,27.41,30.09,28.75,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,-58.4,15.6,-42.5,19.7,-24.2,22.8,26.3,5.1,12.7,2,-7.8,9.9,28.14,1.22,2.1,17.7
"1222",1222,"1998-10-11",1998,6,"SEA","SEA1998","DEN1998",16,21,37,45,-8,0,-6.5,2.9,1.7,-10.3,-9.5,3.7,-14,26.93,28.88,27.905,32.2,27.1,35,5.1,2.3,32.7,28.76,29.99,29.375,35.1,29.3,28.8,25.4,24.7,45.3,-4.4,14.6,8.8,1.4,-5.2,25.5,28.64,1.47,20.3,30.7
"1223",1223,"1998-10-11",1998,6,"LAR","LAR1998","NYJ1998",30,10,40,43,-3,0,-3,-6.9,-11.2,-13.4,-7.2,-0.8,-12.6,27.17,31.55,29.36,28,38.3,17.9,-11.3,-1.2,19.1,28.55,30.63,29.59,21.1,34.9,27.1,49.5,4.5,31.3,-18.5,4.1,-12.1,0.4,-24.7,10.7,29.475,0.23,-14,35.4
"1224",1224,"1998-10-12",1998,6,"JAX","JAX1998","MIA1998",28,21,49,40,9,1,-6.5,7.5,7.3,9.9,3.9,1.6,8.3,27.42,29.08,28.25,24.1,21.6,1.3,-22,0.7,0.6,29.43,31.69,30.56,31.6,16.6,28.9,14.3,11.2,8.6,-18.1,25.9,-20.4,0.9,-12.1,5.2,29.405,2.31,-6.9,17.3
"1225",1225,"1998-10-15",1998,7,"DET","DET1998","GB1998",27,20,47,44,3,1,-7,-9,-10.2,-6.3,4.9,2.1,-8.4,28.02,30.44,29.23,14.8,12.9,6.6,-6.8,1.4,5.2,27.68,29.57,28.625,5.8,23.8,2.7,23.1,0.3,12.9,-1.9,11.7,-4.7,0.7,-13.1,11.5,28.9275,0.605,-1.6,24.6
"1226",1226,"1998-10-18",1998,7,"ATL","ATL1998","NO1998",31,23,54,37.5,16.5,1,-7,22.9,32.7,7,-12.8,3.2,3.8,31.13,33,32.065,-11.8,-15.1,-22.7,-7.9,2.9,-25.6,27.47,31.17,29.32,11.1,34.7,17.6,47.8,-15.7,29.7,-20.7,4.9,-4.7,0.3,-0.9,-35.5,30.6925,2.745,-36.4,34.6
"1227",1227,"1998-10-18",1998,7,"BUF","BUF1998","JAX1998",17,16,33,42.5,-9.5,0,-3,19.3,24.3,20,-1,-1.7,21.7,28.85,30.25,29.55,7.5,7.3,9.9,3.9,1.6,8.3,27.42,29.08,28.25,26.8,11.8,31.6,17,29.9,10.1,2.9,4.9,2.2,3.3,23.9,8.9,28.9,1.3,32.8,15
"1228",1228,"1998-10-18",1998,7,"CHI","CHI1998","DAL1998",13,12,25,40.5,-15.5,0,-3,-10.3,-12.6,-5,7.9,2.7,-7.7,28.19,31.79,29.99,14.3,11.3,14.9,9.7,9.2,5.7,29.82,30.94,30.38,4,24.6,-1.3,23.9,9.9,19.9,17.6,1.8,12.4,6.5,4.7,22.8,30.185,0.390000000000001,27.5,18.1
"1229",1229,"1998-10-18",1998,7,"MIA","MIA1998","LAR1998",14,0,14,39.5,-25.5,0,-7,24.1,21.6,1.3,-22,0.7,0.6,29.43,31.69,30.56,-6.9,-11.2,-13.4,-7.2,-0.8,-12.6,27.17,31.55,29.36,17.2,31,10.4,32.8,-12.1,14.7,-29.2,14.8,-6.5,1.5,-5.9,-35.4,29.96,1.2,-41.3,29.5
"1230",1230,"1998-10-18",1998,7,"MIN","MIN1998","WAS1998",41,7,48,46,2,1,-13.5,27.4,28.6,23.9,-2.7,0.8,23.1,27.49,29.2,28.345,-21.4,-11.4,-0.7,15.7,-5,4.3,26.07,28.99,27.53,6,48.8,17.2,40,23.2,24.6,13,18.4,16.5,5.8,39.6,-3.4,27.9375,0.814999999999998,36.2,43
"1231",1231,"1998-10-18",1998,7,"NYG","NYG1998","ARI1998",34,7,41,37,4,1,-2.5,-5.9,0,-9.7,-4.8,-1,-8.7,26.03,28.39,27.21,-17.8,-18.2,-6.2,9.9,-1.8,-4.4,26.02,28.02,27.02,-23.7,11.9,-18.2,18.2,-15.9,3.5,5.1,14.7,8.9,0.8,0.200000000000001,-11,27.115,0.190000000000001,-10.8,11.2
"1232",1232,"1998-10-18",1998,7,"PIT","PIT1998","BAL1998",16,6,22,37,-15,0,-6,-2.5,-1.2,-6.6,-3.4,0.7,-7.3,27.95,30.47,29.21,-3.2,-7.4,-7.8,-1.9,2.7,-10.5,28.25,31.81,30.03,-5.7,0.7,-8.6,6.2,-14.4,1.2,-5.3,1.5,-1.2,2,-8.5,-11.2,29.62,0.82,-19.7,2.7
"1233",1233,"1998-10-18",1998,7,"LAC","LAC1998","PHI1998",13,10,23,34,-11,0,-3,-16.2,-21,-25.7,-14.6,-5.1,-20.6,27.5,31.14,29.32,-37,-31.1,-23.5,10.6,-3,-20.5,27.41,30.09,28.75,-53.2,20.8,-52.1,10.1,-49.2,2.2,-4,25.2,5.5,2.1,-15.1,-38.1,29.035,0.57,-53.2,23
"1234",1234,"1998-10-18",1998,7,"SF","SF1998","IND1998",34,31,65,44.5,20.5,1,-18,25,20.5,29.3,1,-3.4,32.7,27.38,28.92,28.15,-17.4,-7.9,-1.1,14.9,-1.5,0.4,26.5,30.86,28.68,7.6,42.4,12.6,28.4,28.2,30.4,15.9,13.9,11.5,1.9,44.2,-0.1,28.415,0.530000000000001,44.1,44.3
"1235",1235,"1998-10-18",1998,7,"TB","TB1998","CAR1998",16,13,29,37,-8,0,-7,1.8,4.5,-7.2,-6.6,2.5,-9.7,29.85,33.23,31.54,-13.6,-10.8,-7.8,6.7,0.8,-8.6,27.4,30.02,28.71,-11.8,15.4,-6.3,15.3,-15,0.6,0.100000000000001,13.3,9.2,1.7,-0.5,-14.4,30.125,2.83,-14.9,13.9
"1236",1236,"1998-10-18",1998,7,"TEN","TEN1998","CIN1998",44,14,58,39.5,18.5,1,-3,0.5,4.3,12.3,14.7,3,9.3,28.76,32.43,30.595,-29.6,-36.4,-4.3,20.8,-4.5,0.2,27.46,29.81,28.635,-29.1,30.1,-32.1,40.7,8,16.6,35.5,6.1,23.8,7.5,33.1,10.4,29.615,1.96,43.5,22.7
"1237",1237,"1998-10-19",1998,7,"NE","NE1998","NYJ1998",14,24,38,43.5,-5.5,0,-6.5,7.3,0.2,-0.1,-5.9,1.5,-1.6,26.46,30.15,28.305,28,38.3,17.9,-11.3,-1.2,19.1,28.55,30.63,29.59,35.3,20.7,38.5,38.1,17.8,18,-17.2,5.4,-9.8,2.7,-11.4,12,28.9475,1.285,0.599999999999998,23.4
"1238",1238,"1998-10-25",1998,8,"CAR","CAR1998","BUF1998",14,30,44,38,6,1,-1.5,-13.6,-10.8,-7.8,6.7,0.8,-8.6,27.4,30.02,28.71,19.3,24.3,20,-1,-1.7,21.7,28.85,30.25,29.55,5.7,32.9,13.5,35.1,12.2,27.8,5.7,7.7,-0.2,2.5,-8.8,26.7,29.13,0.84,17.9,35.5
"1239",1239,"1998-10-25",1998,8,"DEN","DEN1998","JAX1998",37,24,61,48,13,1,-8,32.2,27.1,35,5.1,2.3,32.7,28.76,29.99,29.375,7.5,7.3,9.9,3.9,1.6,8.3,27.42,29.08,28.25,39.7,24.7,34.4,19.8,44.9,25.1,9,1.2,6.2,0.7,38.9,15,28.8125,1.125,53.9,23.9
"1240",1240,"1998-10-25",1998,8,"GB","GB1998","BAL1998",28,10,38,41.5,-3.5,0,-10.5,14.8,12.9,6.6,-6.8,1.4,5.2,27.68,29.57,28.625,-3.2,-7.4,-7.8,-1.9,2.7,-10.5,28.25,31.81,30.03,11.6,18,5.5,20.3,-1.2,14.4,-8.7,4.9,-0.5,1.3,4.7,-14.6,29.3275,1.405,-9.9,19.3
