index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite
67,10/10/1993,1993,6,WAS,WAS1993,NYG1993,7,41,48,37,11,1,-3.5
68,10/11/1993,1993,6,BUF,BUF1993,TEN1993,35,7,42,41,1,1,-3.5
69,10/14/1993,1993,7,ATL,ATL1993,LAR1993,30,24,54,43,11,1,-1
70,10/17/1993,1993,7,CIN,CIN1993,CLE1993,17,28,45,34,11,1,-5.5
71,10/17/1993,1993,7,DET,DET1993,SEA1993,30,10,40,34.5,5.5,1,-5.5
72,10/17/1993,1993,7,NE,NE1993,TEN1993,14,28,42,36,6,1,-6.5
73,10/17/1993,1993,7,NYG,NYG1993,PHI1993,21,10,31,35.5,-4.5,0,-7.5
74,10/17/1993,1993,7,ARI,ARI1993,WAS1993,36,6,42,37.5,4.5,1,-1.5
75,10/17/1993,1993,7,PIT,PIT1993,NO1993,37,14,51,33,18,1,-3
76,10/17/1993,1993,7,LAC,LAC1993,KC1993,14,17,31,34,-3,0,-4
77,10/18/1993,1993,7,DEN,DEN1993,LV1993,20,23,43,39,4,1,-6.5
78,10/24/1993,1993,8,CLE,CLE1993,PIT1993,28,23,51,34.5,16.5,1,-2
79,10/24/1993,1993,8,TEN,TEN1993,CIN1993,28,12,40,39,1,1,-13.5
80,10/24/1993,1993,8,LAR,LAR1993,DET1993,13,16,29,37.5,-8.5,0,-1
81,10/24/1993,1993,8,MIA,MIA1993,IND1993,41,27,68,35.5,32.5,1,-7.5
82,10/24/1993,1993,8,NO,NO1993,ATL1993,15,26,41,43,-2,0,-11
83,10/24/1993,1993,8,NYJ,NYJ1993,BUF1993,10,19,29,41,-12,0,-3
84,10/24/1993,1993,8,SF,SF1993,ARI1993,28,14,42,42.5,-0.5,0,-10.5
85,10/24/1993,1993,8,SEA,SEA1993,NE1993,10,9,19,33,-14,0,-8.5
86,10/24/1993,1993,8,TB,TB1993,GB1993,14,37,51,36.5,14.5,1,-6
87,10/25/1993,1993,8,CHI,CHI1993,MIN1993,12,19,31,34,-3,0,-3
88,10/31/1993,1993,9,ATL,ATL1993,TB1993,24,31,55,42.5,12.5,1,-9.5
89,10/31/1993,1993,9,DEN,DEN1993,SEA1993,28,17,45,36.5,8.5,1,-8.5
90,10/31/1993,1993,9,GB,GB1993,CHI1993,17,3,20,35,-15,0,-6.5
91,10/31/1993,1993,9,IND,IND1993,NE1993,9,6,15,35.5,-20.5,0,-7
92,10/31/1993,1993,9,LV,LV1993,LAC1993,23,30,53,34.5,18.5,1,-4
93,10/31/1993,1993,9,MIA,MIA1993,KC1993,30,10,40,36,4,1,-1
94,10/31/1993,1993,9,MIN,MIN1993,DET1993,27,30,57,35,22,1,-4
95,10/31/1993,1993,9,NYG,NYG1993,NYJ1993,6,10,16,37,-21,0,-6.5
96,10/31/1993,1993,9,PHI,PHI1993,DAL1993,10,23,33,38.5,-5.5,0,-10.5
97,10/31/1993,1993,9,ARI,ARI1993,NO1993,17,20,37,38,-1,0,-3
98,10/31/1993,1993,9,SF,SF1993,LAR1993,40,17,57,43.5,13.5,1,-13
99,11/1/1993,1993,9,BUF,BUF1993,WAS1993,24,10,34,40.5,-6.5,0,-9
100,11/7/1993,1993,10,CHI,CHI1993,LV1993,14,16,30,33.5,-3.5,0,-2
101,11/7/1993,1993,10,CIN,CIN1993,PIT1993,16,24,40,35.5,4.5,1,-9.5
102,11/7/1993,1993,10,CLE,CLE1993,DEN1993,14,29,43,37,6,1,-2.5
103,11/7/1993,1993,10,DAL,DAL1993,NYG1993,31,9,40,37,3,1,-10
104,11/7/1993,1993,10,DET,DET1993,TB1993,23,0,23,40,-17,0,-12
105,11/7/1993,1993,10,TEN,TEN1993,SEA1993,24,14,38,37.5,0.5,1,-9
106,11/7/1993,1993,10,MIN,MIN1993,LAC1993,17,30,47,36,11,1,-4
107,11/7/1993,1993,10,NE,NE1993,BUF1993,10,13,23,37,-14,0,-9.5
108,11/7/1993,1993,10,NYJ,NYJ1993,MIA1993,27,10,37,38.5,-1.5,0,-1.5
109,11/7/1993,1993,10,ARI,ARI1993,PHI1993,16,3,19,36,-17,0,-2
110,11/7/1993,1993,10,WAS,WAS1993,IND1993,30,24,54,38,16,1,-6.5
111,11/8/1993,1993,10,KC,KC1993,GB1993,23,16,39,37,2,1,-4
112,11/14/1993,1993,11,CIN,CIN1993,TEN1993,3,38,41,37,4,1,-8
113,11/14/1993,1993,11,DAL,DAL1993,ARI1993,20,15,35,38,-3,0,-12.5
114,11/14/1993,1993,11,DEN,DEN1993,MIN1993,23,26,49,38,11,1,-7
115,11/14/1993,1993,11,IND,IND1993,NYJ1993,17,31,48,37.5,10.5,1,-4.5
116,11/14/1993,1993,11,LV,LV1993,KC1993,20,31,51,36.5,14.5,1,-3
117,11/14/1993,1993,11,LAR,LAR1993,ATL1993,0,13,13,43,-30,0,-3
118,11/14/1993,1993,11,NO,NO1993,GB1993,17,19,36,37.5,-1.5,0,-6
119,11/14/1993,1993,11,NYG,NYG1993,WAS1993,20,6,26,37,-11,0,-7.5
120,11/14/1993,1993,11,PHI,PHI1993,MIA1993,14,19,33,36.5,-3.5,0,-6
121,11/14/1993,1993,11,LAC,LAC1993,CHI1993,13,16,29,34.5,-5.5,0,-8.5
122,11/14/1993,1993,11,SEA,SEA1993,CLE1993,22,5,27,34,-7,0,-3
123,11/14/1993,1993,11,TB,TB1993,SF1993,21,45,66,42,24,1,-14.5
124,11/15/1993,1993,11,PIT,PIT1993,BUF1993,23,0,23,40,-17,0,-3
125,11/21/1993,1993,12,ATL,ATL1993,DAL1993,27,14,41,41.5,-0.5,0,-10
126,11/21/1993,1993,12,BUF,BUF1993,IND1993,23,9,32,37,-5,0,-13
127,11/21/1993,1993,12,CLE,CLE1993,TEN1993,20,27,47,36,11,1,-4.5
128,11/21/1993,1993,12,DEN,DEN1993,PIT1993,37,13,50,37.5,12.5,1,-3
129,11/21/1993,1993,12,GB,GB1993,DET1993,26,17,43,36.5,6.5,1,-3.5
130,11/21/1993,1993,12,KC,KC1993,CHI1993,17,19,36,35,1,1,-10
131,11/21/1993,1993,12,LAR,LAR1993,WAS1993,10,6,16,37.5,-21.5,0,-2
132,11/21/1993,1993,12,MIA,MIA1993,NE1993,17,13,30,34.5,-4.5,0,-8
133,11/21/1993,1993,12,NYJ,NYJ1993,CIN1993,17,12,29,37.5,-8.5,0,-15.5
134,11/21/1993,1993,12,PHI,PHI1993,NYG1993,3,7,10,34.5,-24.5,0,-5
135,11/21/1993,1993,12,LAC,LAC1993,LV1993,7,12,19,36.5,-17.5,0,-3.5
136,11/21/1993,1993,12,TB,TB1993,MIN1993,23,10,33,38,-5,0,-8
137,11/22/1993,1993,12,SF,SF1993,NO1993,42,7,49,41.5,7.5,1,-8
138,11/25/1993,1993,13,DAL,DAL1993,MIA1993,14,16,30,37,-7,0,-10
139,11/25/1993,1993,13,DET,DET1993,CHI1993,6,10,16,36,-20,0,-7
140,11/28/1993,1993,13,ATL,ATL1993,CLE1993,17,14,31,39,-8,0,-6.5
141,11/28/1993,1993,13,CIN,CIN1993,LV1993,16,10,26,35.5,-9.5,0,-9
142,11/28/1993,1993,13,GB,GB1993,TB1993,13,10,23,37.5,-14.5,0,-12.5
143,11/28/1993,1993,13,TEN,TEN1993,PIT1993,23,3,26,39.5,-13.5,0,-3.5
144,11/28/1993,1993,13,KC,KC1993,BUF1993,23,7,30,37,-7,0,-3
145,11/28/1993,1993,13,LAR,LAR1993,SF1993,10,35,45,43,2,1,-13
146,11/28/1993,1993,13,MIN,MIN1993,NO1993,14,17,31,37,-6,0,-2.5
147,11/28/1993,1993,13,NE,NE1993,NYJ1993,0,6,6,35,-29,0,-4
148,11/28/1993,1993,13,NYG,NYG1993,ARI1993,19,17,36,35.5,0.5,1,-7
149,11/28/1993,1993,13,SEA,SEA1993,DEN1993,9,17,26,37,-11,0,-3
150,11/28/1993,1993,13,WAS,WAS1993,PHI1993,14,17,31,34.5,-3.5,0,-2.5
151,11/29/1993,1993,13,IND,IND1993,LAC1993,0,31,31,37,-6,0,-2
152,12/5/1993,1993,14,BUF,BUF1993,LV1993,24,25,49,34,15,1,-7
153,12/5/1993,1993,14,CHI,CHI1993,GB1993,30,17,47,32,15,1,-1.5
154,12/5/1993,1993,14,CLE,CLE1993,NO1993,17,13,30,33,-3,0,-4
155,12/5/1993,1993,14,DET,DET1993,MIN1993,0,13,13,35.5,-22.5,0,-3
156,12/5/1993,1993,14,TEN,TEN1993,ATL1993,33,17,50,42,8,1,-7.5
157,12/5/1993,1993,14,MIA,MIA1993,NYG1993,14,19,33,36,-3,0,-3.5
158,12/5/1993,1993,14,NYJ,NYJ1993,IND1993,6,9,15,35,-20,0,-10.5
159,12/5/1993,1993,14,ARI,ARI1993,LAR1993,38,10,48,37,11,1,-7
160,12/5/1993,1993,14,PIT,PIT1993,NE1993,17,14,31,34,-3,0,-11
161,12/5/1993,1993,14,LAC,LAC1993,DEN1993,13,10,23,37.5,-14.5,0,-3
162,12/5/1993,1993,14,SF,SF1993,CIN1993,21,8,29,44,-15,0,-24
163,12/5/1993,1993,14,SEA,SEA1993,KC1993,16,31,47,35.5,11.5,1,-7
164,12/5/1993,1993,14,TB,TB1993,WAS1993,17,23,40,36.6,3.4,1,-2.5
165,12/6/1993,1993,14,DAL,DAL1993,PHI1993,23,17,40,37,3,1,-16
166,12/11/1993,1993,15,ATL,ATL1993,SF1993,27,24,51,48,3,1,-8
167,12/11/1993,1993,15,WAS,WAS1993,NYJ1993,0,3,3,34.5,-31.5,0,-3
168,12/12/1993,1993,15,DEN,DEN1993,KC1993,27,21,48,37,11,1,-1
169,12/12/1993,1993,15,TEN,TEN1993,CLE1993,19,17,36,39.5,-3.5,0,-10
170,12/12/1993,1993,15,LV,LV1993,SEA1993,27,23,50,36,14,1,-8.5
171,12/12/1993,1993,15,MIN,MIN1993,DAL1993,20,37,57,37,20,1,-7
172,12/12/1993,1993,15,NE,NE1993,CIN1993,7,2,9,31,-22,0,-5.5
173,12/12/1993,1993,15,NO,NO1993,LAR1993,20,23,43,36.5,6.5,1,-14
174,12/12/1993,1993,15,NYG,NYG1993,IND1993,20,6,26,33,-7,0,-11
175,12/12/1993,1993,15,PHI,PHI1993,BUF1993,7,10,17,33.5,-16.5,0,-4
176,12/12/1993,1993,15,LAC,LAC1993,GB1993,13,20,33,35.5,-2.5,0,-3
177,12/12/1993,1993,15,TB,TB1993,CHI1993,13,10,23,34,-11,0,-5
178,12/13/1993,1993,15,MIA,MIA1993,PIT1993,20,21,41,36.5,4.5,1,-3.5
179,12/18/1993,1993,16,CHI,CHI1993,DEN1993,3,13,16,33,-17,0,-1.5
180,12/18/1993,1993,16,NYJ,NYJ1993,DAL1993,7,28,35,36.5,-1.5,0,-7
181,12/19/1993,1993,16,CIN,CIN1993,LAR1993,15,3,18,32.5,-14.5,0,-1
182,12/19/1993,1993,16,CLE,CLE1993,NE1993,17,20,37,31,6,1,-5.5
183,12/19/1993,1993,16,DET,DET1993,SF1993,17,55,72,41,31,1,-8
184,12/19/1993,1993,16,GB,GB1993,MIN1993,17,21,38,33.5,4.5,1,-6.5
185,12/19/1993,1993,16,IND,IND1993,PHI1993,10,20,30,32.5,-2.5,0,-1.5
186,12/19/1993,1993,16,KC,KC1993,LAC1993,28,24,52,36,16,1,-8.5
187,12/19/1993,1993,16,LV,LV1993,TB1993,27,20,47,37,10,1,-9.5
188,12/19/1993,1993,16,MIA,MIA1993,BUF1993,34,47,81,36,45,1,-3.5
189,12/19/1993,1993,16,PIT,PIT1993,TEN1993,17,26,43,36,7,1,-3.5
190,12/19/1993,1993,16,SEA,SEA1993,ARI1993,27,30,57,35.5,21.5,1,-2
191,12/19/1993,1993,16,WAS,WAS1993,ATL1993,30,17,47,37,10,1,-3
192,12/20/1993,1993,16,NO,NO1993,NYG1993,14,24,38,35.5,2.5,1,-1
193,12/25/1993,1993,17,SF,SF1993,TEN1993,7,10,17,47,-30,0,-7.5
194,12/26/1993,1993,17,BUF,BUF1993,NYJ1993,16,14,30,31,-1,0,-7
195,12/26/1993,1993,17,CHI,CHI1993,DET1993,14,20,34,28,6,1,-3
196,12/26/1993,1993,17,CIN,CIN1993,ATL1993,21,17,38,34,4,1,-3.5
197,12/26/1993,1993,17,DAL,DAL1993,WAS1993,38,3,41,38,3,1,-17
198,12/26/1993,1993,17,DEN,DEN1993,TB1993,10,17,27,38,-11,0,-13.5
199,12/26/1993,1993,17,GB,GB1993,LV1993,28,0,28,32.5,-4.5,0,-3
200,12/26/1993,1993,17,LAR,LAR1993,CLE1993,14,42,56,35,21,1,-2
201,12/26/1993,1993,17,MIN,MIN1993,KC1993,30,10,40,37,3,1,-3
202,12/26/1993,1993,17,NE,NE1993,IND1993,38,0,38,28,10,1,-6
203,12/26/1993,1993,17,PHI,PHI1993,NO1993,37,26,63,29.5,33.5,1,-3
204,12/26/1993,1993,17,ARI,ARI1993,NYG1993,17,6,23,35,-12,0,-3
205,12/26/1993,1993,17,SEA,SEA1993,PIT1993,16,6,22,36,-14,0,-3
206,12/27/1993,1993,17,LAC,LAC1993,MIA1993,45,20,65,38,27,1,-1
207,12/31/1993,1993,18,WAS,WAS1993,MIN1993,9,14,23,33,-10,0,-7
208,1/2/1994,1993,18,ATL,ATL1993,ARI1993,10,27,37,41,-4,0,-2
209,1/2/1994,1993,18,DET,DET1993,GB1993,30,20,50,37,13,1,-1
210,1/2/1994,1993,18,TEN,TEN1993,NYJ1993,24,0,24,38.5,-14.5,0,-5.5
211,1/2/1994,1993,18,IND,IND1993,BUF1993,10,30,40,36,4,1,-11
212,1/2/1994,1993,18,KC,KC1993,SEA1993,34,24,58,34,24,1,-8.5
213,1/2/1994,1993,18,LV,LV1993,DEN1993,33,30,63,38.5,24.5,1,-3
214,1/2/1994,1993,18,LAR,LAR1993,CHI1993,20,6,26,33,-7,0,-3
215,1/2/1994,1993,18,NE,NE1993,MIA1993,33,27,60,34,26,1,0
216,1/2/1994,1993,18,NO,NO1993,CIN1993,20,13,33,34,-1,0,-6
217,1/2/1994,1993,18,NYG,NYG1993,DAL1993,13,16,29,35,-6,0,-6.5
218,1/2/1994,1993,18,PIT,PIT1993,CLE1993,16,9,25,33,-8,0,-5
219,1/2/1994,1993,18,TB,TB1993,LAC1993,17,32,49,38,11,1,0
220,1/3/1994,1993,18,SF,SF1993,PHI1993,34,37,71,41,30,1,-10.5
221,9/4/1994,1994,1,BUF,BUF1994,NYJ1994,3,23,26,41,-15,0,-7
222,9/4/1994,1994,1,CHI,CHI1994,TB1994,21,9,30,35.5,-5.5,0,-6
223,9/4/1994,1994,1,CIN,CIN1994,CLE1994,20,28,48,36,12,1,-4
224,9/4/1994,1994,1,DEN,DEN1994,LAC1994,34,37,71,45,26,1,-7
225,9/4/1994,1994,1,DET,DET1994,ATL1994,31,28,59,45,14,1,-5
226,9/4/1994,1994,1,GB,GB1994,MIN1994,16,10,26,38,-12,0,-3.5
227,9/4/1994,1994,1,IND,IND1994,TEN1994,45,21,66,37.5,28.5,1,-3
228,9/4/1994,1994,1,LAR,LAR1994,ARI1994,14,12,26,36,-10,0,-6.5
229,9/4/1994,1994,1,MIA,MIA1994,NE1994,39,35,74,39,35,1,-5
230,9/4/1994,1994,1,NO,NO1994,KC1994,17,30,47,39,8,1,-3
231,9/4/1994,1994,1,NYG,NYG1994,PHI1994,28,23,51,37,14,1,-3
232,9/4/1994,1994,1,PIT,PIT1994,DAL1994,9,26,35,39.5,-4.5,0,-5.5
233,9/4/1994,1994,1,WAS,WAS1994,SEA1994,7,28,35,36,-1,0,-1.5
234,9/5/1994,1994,1,SF,SF1994,LV1994,44,14,58,45.5,12.5,1,-7
235,9/11/1994,1994,2,ARI,ARI1994,NYG1994,17,20,37,35.5,1.5,1,-3.5
236,9/11/1994,1994,2,ATL,ATL1994,LAR1994,31,13,44,43.5,0.5,1,-8.5
237,9/11/1994,1994,2,CLE,CLE1994,PIT1994,10,17,27,38,-11,0,-2.5
238,9/11/1994,1994,2,DAL,DAL1994,TEN1994,20,17,37,43.5,-6.5,0,-14.5
239,9/11/1994,1994,2,GB,GB1994,MIA1994,14,24,38,43,-5,0,-3
240,9/11/1994,1994,2,KC,KC1994,SF1994,24,17,41,46.5,-5.5,0,-3
241,9/11/1994,1994,2,LV,LV1994,SEA1994,9,38,47,42.5,4.5,1,-6.5
242,9/11/1994,1994,2,MIN,MIN1994,DET1994,10,3,13,42.5,-29.5,0,-4.5
243,9/11/1994,1994,2,NE,NE1994,BUF1994,35,38,73,41,32,1,-2.5
244,9/11/1994,1994,2,NO,NO1994,WAS1994,24,38,62,38,24,1,-8
245,9/11/1994,1994,2,NYJ,NYJ1994,DEN1994,25,22,47,46,1,1,-3
246,9/11/1994,1994,2,LAC,LAC1994,CIN1994,27,10,37,42,-5,0,-9
247,9/11/1994,1994,2,TB,TB1994,IND1994,24,10,34,37.5,-3.5,0,-2
248,9/12/1994,1994,2,PHI,PHI1994,CHI1994,30,22,52,37.5,14.5,1,-3.5
249,9/18/1994,1994,3,ATL,ATL1994,KC1994,10,30,40,46.5,-6.5,0,-2.5
250,9/18/1994,1994,3,CHI,CHI1994,MIN1994,14,42,56,36,20,1,0
251,9/18/1994,1994,3,CIN,CIN1994,NE1994,28,31,59,43,16,1,-5.5
252,9/18/1994,1994,3,CLE,CLE1994,ARI1994,32,0,32,35.5,-3.5,0,-3
253,9/18/1994,1994,3,DEN,DEN1994,LV1994,16,48,64,50.5,13.5,1,-4.5
254,9/18/1994,1994,3,TEN,TEN1994,BUF1994,7,15,22,44,-22,0,-2.5
255,9/18/1994,1994,3,LAR,LAR1994,SF1994,19,34,53,45,8,1,-13.5
256,9/18/1994,1994,3,MIA,MIA1994,NYJ1994,28,14,42,45,-3,0,-3.5
257,9/18/1994,1994,3,NYG,NYG1994,WAS1994,31,23,54,39.5,14.5,1,-7
258,9/18/1994,1994,3,PHI,PHI1994,GB1994,13,7,20,42,-22,0,-3.5
259,9/18/1994,1994,3,PIT,PIT1994,IND1994,31,21,52,38,14,1,-8
260,9/18/1994,1994,3,SEA,SEA1994,LAC1994,10,24,34,40.5,-6.5,0,-3.5
261,9/18/1994,1994,3,TB,TB1994,NO1994,7,9,16,38.5,-22.5,0,-3.5
262,9/19/1994,1994,3,DAL,DAL1994,DET1994,17,20,37,44.5,-7.5,0,-13
263,9/25/1994,1994,4,DET,DET1994,NE1994,17,23,40,48,-8,0,-3
264,9/25/1994,1994,4,GB,GB1994,TB1994,30,3,33,37,-4,0,-7
265,9/25/1994,1994,4,TEN,TEN1994,CIN1994,20,13,33,41,-8,0,-8.5
266,9/25/1994,1994,4,IND,IND1994,CLE1994,14,21,35,39.5,-4.5,0,-1.5
267,9/25/1994,1994,4,KC,KC1994,LAR1994,0,16,16,44.5,-28.5,0,-14.5
268,9/25/1994,1994,4,LV,LV1994,LAC1994,24,26,50,47,3,1,-3.5
269,9/25/1994,1994,4,MIN,MIN1994,MIA1994,38,35,73,44,29,1,-3.5
270,9/25/1994,1994,4,NYJ,NYJ1994,CHI1994,7,19,26,38.5,-12.5,0,-7.5
271,9/25/1994,1994,4,SF,SF1994,NO1994,24,13,37,45,-8,0,-15
272,9/25/1994,1994,4,SEA,SEA1994,PIT1994,30,13,43,38.5,4.5,1,-1
273,9/25/1994,1994,4,WAS,WAS1994,ATL1994,20,27,47,48,-1,0,-1
274,9/26/1994,1994,4,BUF,BUF1994,DEN1994,27,20,47,49,-2,0,-6.5
275,10/2/1994,1994,5,ARI,ARI1994,MIN1994,17,7,24,36,-12,0,-2.5
276,10/2/1994,1994,5,CHI,CHI1994,BUF1994,20,13,33,38.5,-5.5,0,-2
277,10/2/1994,1994,5,CIN,CIN1994,MIA1994,7,23,30,44.5,-14.5,0,-8
278,10/2/1994,1994,5,CLE,CLE1994,NYJ1994,27,7,34,36,-2,0,-3.5
279,10/2/1994,1994,5,IND,IND1994,SEA1994,17,15,32,38,-6,0,-2.5
280,10/2/1994,1994,5,LAR,LAR1994,ATL1994,5,8,13,44,-31,0,-1.5
281,10/2/1994,1994,5,NE,NE1994,GB1994,17,16,33,44.5,-11.5,0,-3
282,10/2/1994,1994,5,NO,NO1994,NYG1994,27,22,49,40,9,1,-2
283,10/2/1994,1994,5,SF,SF1994,PHI1994,8,40,48,45,3,1,-9
284,10/2/1994,1994,5,TB,TB1994,DET1994,24,14,38,38.5,-0.5,0,-3
285,10/2/1994,1994,5,WAS,WAS1994,DAL1994,7,34,41,45,-4,0,-11.5
286,10/3/1994,1994,5,PIT,PIT1994,TEN1994,30,14,44,39,5,1,-8
287,10/9/1994,1994,6,ATL,ATL1994,TB1994,34,13,47,41,6,1,-7
288,10/9/1994,1994,6,BUF,BUF1994,MIA1994,21,11,32,44,-12,0,-2.5
289,10/9/1994,1994,6,CHI,CHI1994,NO1994,17,7,24,37,-13,0,-3.5
290,10/9/1994,1994,6,DAL,DAL1994,ARI1994,38,3,41,37.5,3.5,1,-12.5
291,10/9/1994,1994,6,DET,DET1994,SF1994,21,27,48,44,4,1,-4.5
292,10/9/1994,1994,6,GB,GB1994,LAR1994,24,17,41,35,6,1,-8.5
293,10/9/1994,1994,6,NE,NE1994,LV1994,17,21,38,48,-10,0,-3
294,10/9/1994,1994,6,NYJ,NYJ1994,IND1994,16,6,22,36.5,-14.5,0,-5.5
