index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
518,NYG,2005,NYG2005,27.39,29.78,28.585
519,NYJ,2005,NYJ2005,27.49,30.87,29.18
520,SEA,2005,SEA2005,27.5,27.78,27.64
521,NE,2005,NE2005,27.6,31.28,29.44
522,GB,2005,GB2005,27.6,30.41,29.005
523,LAR,2005,STL2005,27.64,30.85,29.245
524,CLE,2005,CLE2005,27.83,32.28,30.055
525,HOU,2005,HOU2005,27.85,30.89,29.37
526,NO,2005,NO2005,27.9,32.48,30.19
527,ATL,2005,ATL2005,27.91,30.66,29.285
528,KC,2005,KC2005,28.18,30.83,29.505
529,MIN,2005,MIN2005,28.24,31.28,29.76
530,CIN,2005,CIN2005,28.26,29.86,29.06
531,IND,2005,IND2005,28.45,29.63,29.04
532,DAL,2005,DAL2005,28.49,32.46,30.475
533,TEN,2005,TEN2005,28.58,32.01,30.295
534,CHI,2005,CHI2005,28.62,29.66,29.14
535,WAS,2005,WAS2005,28.77,30.57,29.67
536,BUF,2005,BUF2005,28.89,31.69,30.29
537,LAC,2005,SD2005,29.04,31.03,30.035
538,DET,2005,DET2005,29.04,31.94,30.49
539,JAX,2005,JAX2005,29.22,31.69,30.455
540,DEN,2005,DEN2005,29.57,30.75,30.16
541,CAR,2005,CAR2005,29.63,32.26,30.945
542,TB,2005,TB2005,29.65,32.29,30.97
543,SF,2005,SF2005,29.69,33.2,31.445
544,PIT,2005,PIT2005,30.82,31.91,31.365
545,MIA,2004,MIA2004,25.96,29.36,27.66
546,SEA,2004,SEA2004,26.33,28.32,27.325
547,LV,2004,OAK2004,26.57,29.43,28
548,SF,2004,SF2004,26.82,31.41,29.115
549,NO,2004,NO2004,27,30.43,28.715
550,GB,2004,GB2004,27.01,30.22,28.615
551,CIN,2004,CIN2004,27.25,28.97,28.11
552,CHI,2004,CHI2004,27.48,30.97,29.225
553,IND,2004,IND2004,27.76,29.23,28.495
554,DET,2004,DET2004,27.79,30.38,29.085
555,KC,2004,KC2004,27.8,30.72,29.26
556,ARI,2004,ARI2004,27.84,31.39,29.615
557,PHI,2004,PHI2004,27.84,29.84,28.84
558,BAL,2004,BAL2004,27.91,31.38,29.645
559,NE,2004,NE2004,28.13,29.95,29.04
560,NYG,2004,NYG2004,28.24,31.49,29.865
561,TEN,2004,TEN2004,28.27,31.11,29.69
562,HOU,2004,HOU2004,28.3,32.74,30.52
563,CAR,2004,CAR2004,28.33,32.5,30.415
564,ATL,2004,ATL2004,28.36,30.95,29.655
565,DEN,2004,DEN2004,28.37,30.11,29.24
566,DAL,2004,DAL2004,28.57,31.65,30.11
567,CLE,2004,CLE2004,28.59,31.14,29.865
568,WAS,2004,WAS2004,28.67,30.91,29.79
569,BUF,2004,BUF2004,28.73,30.59,29.66
570,JAX,2004,JAX2004,28.8,32.16,30.48
571,MIN,2004,MIN2004,28.91,31.91,30.41
572,TB,2004,TB2004,29.35,31.61,30.48
573,LAR,2004,STL2004,29.49,32.44,30.965
574,LAC,2004,SD2004,29.69,31.57,30.63
575,NYJ,2004,NYJ2004,30.44,32.44,31.44
576,PIT,2004,PIT2004,31.17,32.04,31.605
577,NYG,2003,NYG2003,25.84,30,27.92
578,SEA,2003,SEA2003,26.49,27.86,27.175
579,LV,2003,OAK2003,26.65,31.04,28.845
580,WAS,2003,WAS2003,27.1,28.72,27.91
581,LAC,2003,SD2003,27.3,31.38,29.34
582,DET,2003,DET2003,27.34,30.74,29.04
583,JAX,2003,JAX2003,27.4,30.72,29.06
584,CHI,2003,CHI2003,27.44,31.29,29.365
585,KC,2003,KC2003,27.67,30.31,28.99
586,SF,2003,SF2003,27.76,31.39,29.575
587,PHI,2003,PHI2003,27.94,30.12,29.03
588,NO,2003,NO2003,27.99,30.49,29.24
589,IND,2003,IND2003,28,30.65,29.325
590,CIN,2003,CIN2003,28.05,29.92,28.985
591,ATL,2003,ATL2003,28.11,30.97,29.54
592,PIT,2003,PIT2003,28.13,31.34,29.735
593,LAR,2003,STL2003,28.16,29.73,28.945
594,BAL,2003,BAL2003,28.22,30.69,29.455
595,NYJ,2003,NYJ2003,28.26,32.42,30.34
596,NE,2003,NE2003,28.27,29.72,28.995
597,BUF,2003,BUF2003,28.5,31.04,29.77
598,ARI,2003,ARI2003,28.59,32.77,30.68
599,CAR,2003,CAR2003,28.63,31.66,30.145
600,CLE,2003,CLE2003,28.64,32,30.32
601,DAL,2003,DAL2003,28.88,31.78,30.33
602,GB,2003,GB2003,29.07,31.49,30.28
603,MIN,2003,MIN2003,29.17,31.35,30.26
604,MIA,2003,MIA2003,29.18,30.95,30.065
605,TB,2003,TB2003,29.22,31.74,30.48
606,HOU,2003,HOU2003,29.35,32.97,31.16
607,TEN,2003,TEN2003,30.09,32.44,31.265
608,DEN,2003,DEN2003,30.29,32.73,31.51
609,DET,2002,DET2002,25.48,28.8,27.14
610,CIN,2002,CIN2002,25.89,28.56,27.225
611,SEA,2002,SEA2002,26.3,28.48,27.39
612,NE,2002,NE2002,26.58,29.42,28
613,WAS,2002,WAS2002,26.68,28.05,27.365
614,NO,2002,NO2002,26.88,28.91,27.895
615,CHI,2002,CHI2002,26.99,31.25,29.12
616,PHI,2002,PHI2002,27.2,28.46,27.83
617,DEN,2002,DEN2002,27.32,30.52,28.92
618,ARI,2002,ARI2002,27.39,30.3,28.845
619,BAL,2002,BAL2002,27.42,29.39,28.405
620,MIN,2002,MIN2002,27.61,30.94,29.275
621,IND,2002,IND2002,27.63,31.62,29.625
622,LV,2002,OAK2002,27.7,28.88,28.29
623,BUF,2002,BUF2002,27.71,30.62,29.165
624,HOU,2002,HOU2002,27.82,31.36,29.59
625,JAX,2002,JAX2002,27.93,32.03,29.98
626,LAR,2002,STL2002,27.96,31.71,29.835
627,NYG,2002,NYG2002,27.97,29.12,28.545
628,SF,2002,SF2002,28.04,30.54,29.29
629,DAL,2002,DAL2002,28.1,30.93,29.515
630,KC,2002,KC2002,28.22,31.32,29.77
631,GB,2002,GB2002,28.31,30.39,29.35
632,PIT,2002,PIT2002,28.35,30.28,29.315
633,LAC,2002,SD2002,28.38,30.59,29.485
634,CLE,2002,CLE2002,28.39,31.77,30.08
635,CAR,2002,CAR2002,28.53,31.74,30.135
636,MIA,2002,MIA2002,29.02,31.67,30.345
637,TB,2002,TB2002,29.09,31.61,30.35
638,NYJ,2002,NYJ2002,29.28,32.18,30.73
639,ATL,2002,ATL2002,29.65,31.89,30.77
640,TEN,2002,TEN2002,29.97,32.49,31.23
641,BAL,2001,BAL2001,25.49,29.02,27.255
642,DET,2001,DET2001,25.94,29.67,27.805
643,CIN,2001,CIN2001,25.97,30.07,28.02
644,NO,2001,NO2001,26.57,29.99,28.28
645,CAR,2001,CAR2001,26.73,28.78,27.755
646,KC,2001,KC2001,26.9,30,28.45
647,JAX,2001,JAX2001,26.97,29.36,28.165
648,BUF,2001,BUF2001,26.98,31.34,29.16
649,NYG,2001,NYG2001,27.18,29.95,28.565
650,ARI,2001,ARI2001,27.34,31.67,29.505
651,PHI,2001,PHI2001,27.56,29.33,28.445
652,IND,2001,IND2001,27.66,30.78,29.22
653,LAC,2001,SD2001,27.83,30.43,29.13
654,CHI,2001,CHI2001,28,30.04,29.02
655,MIN,2001,MIN2001,28.07,31.74,29.905
656,LV,2001,OAK2001,28.15,30.03,29.09
657,TB,2001,TB2001,28.23,31.91,30.07
658,DEN,2001,DEN2001,28.4,30.95,29.675
659,SEA,2001,SEA2001,28.47,30.44,29.455
660,CLE,2001,CLE2001,28.61,30.49,29.55
661,TEN,2001,TEN2001,28.68,33.05,30.865
662,NE,2001,NE2001,29.02,31.42,30.22
663,GB,2001,GB2001,29.18,30.68,29.93
664,SF,2001,SF2001,29.22,31.46,30.34
665,NYJ,2001,NYJ2001,29.25,32.02,30.635
666,WAS,2001,WAS2001,29.3,31.76,30.53
667,MIA,2001,MIA2001,29.6,32.33,30.965
668,DAL,2001,DAL2001,29.69,31.46,30.575
669,LAR,2001,STL2001,29.69,30.82,30.255
670,ATL,2001,ATL2001,29.77,32.33,31.05
671,PIT,2001,PIT2001,30.08,31.35,30.715
672,CIN,2000,CIN2000,25.52,28.17,26.845
673,KC,2000,KC2000,25.96,29.12,27.54
674,NYJ,2000,NYJ2000,26.43,30.17,28.3
675,NE,2000,NE2000,26.44,30.54,28.49
676,ARI,2000,ARI2000,26.61,30.92,28.765
677,CHI,2000,CHI2000,26.83,31.19,29.01
678,SEA,2000,SEA2000,26.9,29.85,28.375
679,PHI,2000,PHI2000,26.94,29.09,28.015
680,IND,2000,IND2000,26.98,30.59,28.785
681,LAC,2000,SD2000,27.07,29.36,28.215
682,JAX,2000,JAX2000,27.25,30.45,28.85
683,SF,2000,SF2000,27.48,29.8,28.64
684,GB,2000,GB2000,27.76,30.42,29.09
685,DEN,2000,DEN2000,27.77,30.17,28.97
686,BUF,2000,BUF2000,27.79,31.49,29.64
687,CAR,2000,CAR2000,27.81,30.56,29.185
688,NYG,2000,NYG2000,27.92,30.3,29.11
689,DET,2000,DET2000,28.03,30.02,29.025
690,NO,2000,NO2000,28.31,31.28,29.795
691,LAR,2000,STL2000,28.43,30.65,29.54
692,WAS,2000,WAS2000,28.46,32.14,30.3
693,CLE,2000,CLE2000,28.48,32.35,30.415
694,DAL,2000,DAL2000,28.72,32.1,30.41
695,TB,2000,TB2000,28.89,31.29,30.09
696,MIN,2000,MIN2000,28.95,32.15,30.55
697,BAL,2000,BAL2000,29.11,30.63,29.87
698,PIT,2000,PIT2000,29.18,31.23,30.205
699,LV,2000,OAK2000,29.29,30.51,29.9
700,ATL,2000,ATL2000,29.43,33.01,31.22
701,TEN,2000,TEN2000,30.35,32.43,31.39
702,MIA,2000,MIA2000,30.4,33.04,31.72
703,CHI,1999,CHI1999,24.74,27.67,26.205
704,ARI,1999,ARI1999,25.45,28.77,27.11
705,CLE,1999,CLE1999,26.18,29.24,27.71
706,SEA,1999,SEA1999,26.48,28.06,27.27
707,BAL,1999,BAL1999,26.52,27.68,27.1
708,GB,1999,GB1999,26.52,29.63,28.075
709,NE,1999,NE1999,26.54,29.27,27.905
710,NYG,1999,NYG1999,26.66,30.41,28.535
711,PHI,1999,PHI1999,26.77,29.39,28.08
712,LAC,1999,SD1999,26.99,28.74,27.865
713,CIN,1999,CIN1999,27,29.74,28.37
714,WAS,1999,WAS1999,27.02,30.3,28.66
715,MIA,1999,MIA1999,27.22,30.18,28.7
716,KC,1999,KC1999,27.22,31.06,29.14
717,JAX,1999,JAX1999,27.33,29.65,28.49
718,NO,1999,NO1999,27.42,30.92,29.17
719,DEN,1999,DEN1999,27.62,30.49,29.055
720,MIN,1999,MIN1999,27.63,29.81,28.72
721,PIT,1999,PIT1999,27.64,30.32,28.98
722,DET,1999,DET1999,27.86,30.17,29.015
723,CAR,1999,CAR1999,27.89,32.57,30.23
724,SF,1999,SF1999,28.08,32.55,30.315
725,LV,1999,OAK1999,28.38,30.38,29.38
726,NYJ,1999,NYJ1999,28.61,31.22,29.915
727,BUF,1999,BUF1999,28.7,30.82,29.76
728,IND,1999,IND1999,28.84,31.14,29.99
729,ATL,1999,ATL1999,29.09,32.77,30.93
730,DAL,1999,DAL1999,29.12,31.61,30.365
731,TEN,1999,TEN1999,29.27,32.49,30.88
732,LAR,1999,STL1999,29.9,31.41,30.655
733,TB,1999,TB1999,30.24,32.01,31.125
734,ARI,1998,ARI1998,26.02,28.02,27.02
735,NYG,1998,NYG1998,26.03,28.39,27.21
736,LV,1998,OAK1998,26.06,28.16,27.11
737,WAS,1998,WAS1998,26.07,28.99,27.53
738,NE,1998,NE1998,26.46,30.15,28.305
739,IND,1998,IND1998,26.5,30.86,28.68
740,SEA,1998,SEA1998,26.93,28.88,27.905
741,LAR,1998,STL1998,27.17,31.55,29.36
742,SF,1998,SF1998,27.38,28.92,28.15
743,CAR,1998,CAR1998,27.4,30.02,28.71
744,PHI,1998,PHI1998,27.41,30.09,28.75
745,JAX,1998,JAX1998,27.42,29.08,28.25
746,CIN,1998,CIN1998,27.46,29.81,28.635
747,NO,1998,NO1998,27.47,31.17,29.32
748,KC,1998,KC1998,27.49,30.16,28.825
749,MIN,1998,MIN1998,27.49,29.2,28.345
750,LAC,1998,SD1998,27.5,31.14,29.32
751,GB,1998,GB1998,27.68,29.57,28.625
752,PIT,1998,PIT1998,27.95,30.47,29.21
753,DET,1998,DET1998,28.02,30.44,29.23
754,CHI,1998,CHI1998,28.19,31.79,29.99
755,BAL,1998,BAL1998,28.25,31.81,30.03
756,NYJ,1998,NYJ1998,28.55,30.63,29.59
757,TEN,1998,TEN1998,28.76,32.43,30.595
758,DEN,1998,DEN1998,28.76,29.99,29.375
759,BUF,1998,BUF1998,28.85,30.25,29.55
760,MIA,1998,MIA1998,29.43,31.69,30.56
761,DAL,1998,DAL1998,29.82,30.94,30.38
762,TB,1998,TB1998,29.85,33.23,31.54
763,ATL,1998,ATL1998,31.13,33,32.065
764,ARI,1997,ARI1997,26.99,30.63,28.81
765,DET,1997,DET1997,27.11,30.28,28.695
766,BAL,1997,BAL1997,27.19,29.78,28.485
767,LV,1997,OAK1997,27.31,30.08,28.695
768,BUF,1997,BUF1997,27.35,32.51,29.93
769,NYJ,1997,NYJ1997,28.03,29.57,28.8
770,CIN,1997,CIN1997,28.12,29.73,28.925
771,PHI,1997,PHI1997,28.34,29.81,29.075
772,WAS,1997,WAS1997,28.38,30.42,29.4
773,MIN,1997,MIN1997,28.61,31.63,30.12
774,LAC,1997,SD1997,28.74,30.07,29.405
775,GB,1997,GB1997,28.86,30.25,29.555
776,NYG,1997,NYG1997,28.92,29.4,29.16
777,DAL,1997,DAL1997,29,31.51,30.255
778,CHI,1997,CHI1997,29.12,31.84,30.48
779,NE,1997,NE1997,29.14,30.29,29.715
780,KC,1997,KC1997,29.19,30.12,29.655
781,MIA,1997,MIA1997,29.34,31.54,30.44
782,SEA,1997,SEA1997,29.36,31.04,30.2
783,DEN,1997,DEN1997,29.42,30.14,29.78
784,JAX,1997,JAX1997,29.56,30.86,30.21
785,CAR,1997,CAR1997,29.65,31.21,30.43
786,PIT,1997,PIT1997,29.87,30.99,30.43
787,NO,1997,NO1997,30.27,32.51,31.39
788,LAR,1997,STL1997,30.61,31.38,30.995
789,SF,1997,SF1997,31.18,33.03,32.105
790,ATL,1997,ATL1997,31.37,34.21,32.79
791,TEN,1997,TEN1997,31.42,33.7,32.56
792,IND,1997,IND1997,31.5,34.51,33.005
793,TB,1997,TB1997,32.05,33.38,32.715
794,LAC,1996,SD1996,25.09,27.63,26.36
795,BUF,1996,BUF1996,25.3,27.77,26.535
796,BAL,1996,BAL1996,25.4,29.24,27.32
797,NYJ,1996,NYJ1996,25.7,31.22,28.46
798,NE,1996,NE1996,25.96,27.83,26.895
799,ARI,1996,ARI1996,25.97,29.71,27.84
800,DET,1996,DET1996,26.47,29.2,27.835
801,SEA,1996,SEA1996,26.77,29.95,28.36
802,LAR,1996,STL1996,27.02,30.01,28.515
803,WAS,1996,WAS1996,27.16,29.06,28.11
804,CHI,1996,CHI1996,27.27,31.04,29.155
805,CIN,1996,CIN1996,27.37,29.04,28.205
806,KC,1996,KC1996,27.53,30.76,29.145
807,CAR,1996,CAR1996,27.67,29.27,28.47
808,MIN,1996,MIN1996,27.83,29.98,28.905
809,PHI,1996,PHI1996,27.95,30.08,29.015
810,NO,1996,NO1996,27.95,32.19,30.07
811,PIT,1996,PIT1996,28.04,29.74,28.89
812,NYG,1996,NYG1996,28.11,30.67,29.39
813,LV,1996,OAK1996,28.35,30.65,29.5
814,GB,1996,GB1996,28.37,29.54,28.955
815,JAX,1996,JAX1996,28.4,30.97,29.685
816,SF,1996,SF1996,28.42,30.33,29.375
817,DEN,1996,DEN1996,28.59,29.44,29.015
818,ATL,1996,ATL1996,28.7,32.71,30.705
819,MIA,1996,MIA1996,29,31.54,30.27
820,IND,1996,IND1996,29.02,32.44,30.73
821,TB,1996,TB1996,29.35,33.07,31.21
822,DAL,1996,DAL1996,29.4,31.35,30.375
823,TEN,1996,HOIL1996,30.66,32.24,31.45
824,NE,1995,NE1995,23.43,26.62,25.025
825,BUF,1995,BUF1995,24.66,25.68,25.17
826,CIN,1995,CIN1995,25.67,28.74,27.205
827,SEA,1995,SEA1995,26.12,29.14,27.63
828,DET,1995,DET1995,26.19,29.17,27.68
829,WAS,1995,WAS1995,26.32,28.92,27.62
830,DEN,1995,DEN1995,26.4,27.92,27.16
831,LAC,1995,SD1995,26.6,29.61,28.105
832,CAR,1995,CAR1995,26.96,29.41,28.185
833,CLE,1995,CLE1995,27.1,31.23,29.165
834,MIN,1995,MIN1995,27.13,29.91,28.52
835,NO,1995,NO1995,27.22,30.14,28.68
836,CHI,1995,CHI1995,27.3,29.17,28.235
837,LAR,1995,STL1995,27.35,31.53,29.44
838,PHI,1995,PHI1995,27.41,30,28.705
839,SF,1995,SF1995,27.48,29.15,28.315
840,PIT,1995,PIT1995,27.49,29.5,28.495
841,NYJ,1995,NYJ1995,27.71,31.36,29.535
842,NYG,1995,NYG1995,27.77,30.97,29.37
843,JAX,1995,JAX1995,27.8,30.25,29.025
844,LV,1995,OAK1995,27.82,30.7,29.26
845,KC,1995,KC1995,27.93,29.55,28.74
846,TB,1995,TB1995,28.17,31.04,29.605
847,ATL,1995,ATL1995,28.19,30.34,29.265
848,MIA,1995,MIA1995,28.2,31.36,29.78
849,GB,1995,GB1995,28.32,29.63,28.975
850,TEN,1995,HOIL1995,29.03,32.46,30.745
851,ARI,1995,ARI1995,29.15,32.37,30.76
852,DAL,1995,DAL1995,29.26,32.73,30.995
853,IND,1995,IND1995,31.35,34.54,32.945
854,NE,1994,NE1994,25.18,28.76,26.97
855,CIN,1994,CIN1994,25.46,28.52,26.99
856,BUF,1994,BUF1994,25.85,28.44,27.145
857,WAS,1994,WAS1994,26.16,29.09,27.625
858,DEN,1994,DEN1994,26.37,29.69,28.03
859,SEA,1994,SEA1994,26.7,30.13,28.415
860,KC,1994,KC1994,26.7,29.62,28.16
861,TEN,1994,HOIL1994,26.71,30.37,28.54
862,MIN,1994,MIN1994,27.03,30.11,28.57
863,LAC,1994,SD1994,27.24,29.69,28.465
864,GB,1994,GB1994,27.53,30.45,28.99
865,ATL,1994,ATL1994,27.55,30.87,29.21
866,PHI,1994,PHI1994,27.62,30.48,29.05
867,CLE,1994,CLE1994,27.67,29.96,28.815
868,NO,1994,NO1994,27.68,31.4,29.54
869,LAR,1994,LAR1994,27.82,31.8,29.81
870,DET,1994,DET1994,28.03,31.51,29.77
871,MIA,1994,MIA1994,28.06,31.7,29.88
872,LV,1994,LARD1994,28.67,31.49,30.08
873,NYJ,1994,NYJ1994,28.74,32.19,30.465
874,SF,1994,SF1994,28.77,30.7,29.735
875,TB,1994,TB1994,29.2,32.7,30.95
876,PIT,1994,PIT1994,29.24,31.46,30.35
877,NYG,1994,NYG1994,29.39,31.67,30.53
878,ARI,1994,ARI1994,29.52,34.53,32.025
879,CHI,1994,CHI1994,29.58,31.46,30.52
880,DAL,1994,DAL1994,29.64,30.9,30.27
881,IND,1994,IND1994,29.64,31.64,30.64
882,BUF,1993,BUF1993,24.07,24.86,24.465
883,NE,1993,NE1993,26.21,29.92,28.065
884,IND,1993,IND1993,26.33,30.6,28.465
885,LAC,1993,SD1993,26.34,29.15,27.745
886,MIA,1993,MIA1993,26.47,28.72,27.595
887,SEA,1993,SEA1993,26.79,30.6,28.695
888,WAS,1993,WAS1993,26.92,29.88,28.4
889,CIN,1993,CIN1993,27.37,29.95,28.66
890,LAR,1993,LAR1993,27.55,31.24,29.395
891,TEN,1993,HOIL1993,27.57,29.85,28.71
892,DEN,1993,DEN1993,27.74,30.2,28.97
893,MIN,1993,MIN1993,27.91,30.96,29.435
894,SF,1993,SF1993,28.04,30.5,29.27
895,NO,1993,NO1993,28.1,30.68,29.39
896,PIT,1993,PIT1993,28.14,30.26,29.2
897,PHI,1993,PHI1993,28.16,31.3,29.73
898,TB,1993,TB1993,28.33,31.63,29.98
899,KC,1993,KC1993,28.44,30.28,29.36
900,GB,1993,GB1993,28.47,30.7,29.585
901,DAL,1993,DAL1993,28.89,31.01,29.95
902,LV,1993,LARD1993,29.04,31.99,30.515
903,CHI,1993,CHI1993,29.05,31.74,30.395
904,DET,1993,DET1993,29.3,32,30.65
905,CLE,1993,CLE1993,29.37,33.08,31.225
906,ATL,1993,ATL1993,29.4,35.02,32.21
907,ARI,1993,PHO1993,29.52,31.75,30.635
908,NYJ,1993,NYJ1993,29.67,32.76,31.215
909,NYG,1993,NYG1993,29.7,32.21,30.955
