index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
120,DAL,2018,DAL2018,28.73,31.67,30.2
121,LV,2018,OAK2018,29.05,32.07,30.56
122,SEA,2018,SEA2018,29.1,31.36,30.23
123,PHI,2018,PHI2018,29.39,32.69,31.04
124,TEN,2018,TEN2018,29.52,31.93,30.725
125,NO,2018,NO2018,29.53,31.07,30.3
126,CHI,2018,CHI2018,29.82,32.32,31.07
127,MIA,2018,MIA2018,30.08,32.74,31.41
128,LAC,2018,LAC2018,30.25,31.25,30.75
129,SF,2017,SF2017,25.58,29.31,27.445
130,NYG,2017,NYG2017,25.99,29.1,27.545
131,BUF,2017,BUF2017,26.08,29.63,27.855
132,CLE,2017,CLE2017,26.35,31.19,28.77
133,NE,2017,NE2017,26.5,27.92,27.21
134,TB,2017,TB2017,26.74,29.83,28.285
135,BAL,2017,BAL2017,27.08,29.42,28.25
136,ARI,2017,ARI2017,27.2,30.72,28.96
137,SEA,2017,SEA2017,27.29,30.02,28.655
138,DEN,2017,DEN2017,27.31,29.64,28.475
139,HOU,2017,HOU2017,27.5,29.57,28.535
140,GB,2017,GB2017,27.57,31.54,29.555
141,CIN,2017,CIN2017,27.68,29.23,28.455
142,LAR,2017,LAR2017,27.72,27.9,27.81
143,LAC,2017,LAC2017,27.78,30.43,29.105
144,IND,2017,IND2017,27.79,31.21,29.5
145,MIA,2017,MIA2017,27.8,32.02,29.91
146,JAX,2017,JAX2017,27.92,30.12,29.02
147,DAL,2017,DAL2017,28.06,30.98,29.52
148,ATL,2017,ATL2017,28.14,31.14,29.64
149,DET,2017,DET2017,28.21,31.7,29.955
150,PIT,2017,PIT2017,28.25,31.69,29.97
151,WAS,2017,WAS2017,28.31,30.95,29.63
152,PHI,2017,PHI2017,28.32,30.75,29.535
153,MIN,2017,MIN2017,28.46,29.5,28.98
154,TEN,2017,TEN2017,28.51,31.72,30.115
155,LV,2017,OAK2017,28.55,32.5,30.525
156,NYJ,2017,NYJ2017,28.61,31.39,30
157,NO,2017,NO2017,28.81,30.53,29.67
158,KC,2017,KC2017,28.85,32.57,30.71
159,CHI,2017,CHI2017,29.16,33.31,31.235
160,CAR,2017,CAR2017,29.35,30.98,30.165
161,SF,2016,SF2016,25.43,28.97,27.2
162,JAX,2016,JAX2016,25.79,30.08,27.935
163,NO,2016,NO2016,26.13,28.95,27.54
164,NYG,2016,NYG2016,26.14,28.72,27.43
165,BAL,2016,BAL2016,26.42,30.18,28.3
166,DEN,2016,DEN2016,26.46,29.19,27.825
167,ARI,2016,ARI2016,26.63,30.56,28.595
168,CIN,2016,CIN2016,26.81,29.65,28.23
169,CLE,2016,CLE2016,26.86,30.26,28.56
170,TB,2016,TB2016,27.13,29.79,28.46
171,CAR,2016,CAR2016,27.18,30.24,28.71
172,CHI,2016,CHI2016,27.21,31.08,29.145
173,HOU,2016,HOU2016,27.32,30.5,28.91
174,SEA,2016,SEA2016,27.48,30.75,29.115
175,NE,2016,NE2016,27.51,29.23,28.37
176,BUF,2016,BUF2016,27.54,30.23,28.885
177,WAS,2016,WAS2016,27.55,31.08,29.315
178,IND,2016,IND2016,27.77,30.36,29.065
179,PHI,2016,PHI2016,27.89,31.45,29.67
180,PIT,2016,PIT2016,28.09,31.06,29.575
181,LAC,2016,SD2016,28.14,30.87,29.505
182,LV,2016,OAK2016,28.14,30.78,29.46
183,ATL,2016,ATL2016,28.29,29.1,28.695
184,MIN,2016,MIN2016,28.35,30.36,29.355
185,GB,2016,GB2016,28.37,30.81,29.59
186,TEN,2016,TEN2016,28.45,33.08,30.765
187,DET,2016,DET2016,28.49,31.27,29.88
188,NYJ,2016,NYJ2016,28.53,31.43,29.98
189,KC,2016,KC2016,28.71,31.76,30.235
190,LAR,2016,LAR2016,28.73,31.79,30.26
191,DAL,2016,DAL2016,29.48,32.19,30.835
192,MIA,2016,MIA2016,29.84,32.44,31.14
193,PHI,2015,PHI2015,22.21,23.94,23.075
194,NYG,2015,NYG2015,25.2,28.5,26.85
195,HOU,2015,HOU2015,25.58,28.28,26.93
196,JAX,2015,JAX2015,25.75,29.5,27.625
197,SF,2015,SF2015,25.78,28.57,27.175
198,BAL,2015,BAL2015,26.12,29.37,27.745
199,TB,2015,TB2015,26.36,29.9,28.13
200,MIA,2015,MIA2015,26.46,30.13,28.295
201,NE,2015,NE2015,26.73,28.24,27.485
202,GB,2015,GB2015,26.77,29.4,28.085
203,DEN,2015,DEN2015,26.86,28.92,27.89
204,IND,2015,IND2015,26.91,29.63,28.27
205,NO,2015,NO2015,26.93,29.46,28.195
206,LAC,2015,SD2015,26.99,29.74,28.365
207,PIT,2015,PIT2015,27.12,30.55,28.835
208,NYJ,2015,NYJ2015,27.23,30.11,28.67
209,LV,2015,OAK2015,27.45,30.61,29.03
210,CLE,2015,CLE2015,27.72,31.03,29.375
211,CAR,2015,CAR2015,28.13,29.74,28.935
212,ATL,2015,ATL2015,28.19,30.38,29.285
213,CHI,2015,CHI2015,28.46,31.74,30.1
214,LAR,2015,STL2015,28.55,31.93,30.24
215,TEN,2015,TEN2015,28.61,31.7,30.155
216,DET,2015,DET2015,28.7,32.73,30.715
217,ARI,2015,ARI2015,28.72,31.04,29.88
218,BUF,2015,BUF2015,28.86,31.39,30.125
219,MIN,2015,MIN2015,28.93,31.57,30.25
220,SEA,2015,SEA2015,29.05,31.7,30.375
221,CIN,2015,CIN2015,29.1,30.52,29.81
222,WAS,2015,WAS2015,29.25,32.49,30.87
223,KC,2015,KC2015,29.94,33.71,31.825
224,DAL,2015,DAL2015,29.95,32.95,31.45
225,PHI,2014,PHI2014,21.95,22.22,22.085
226,NE,2014,NE2014,25.54,26.61,26.075
227,JAX,2014,JAX2014,25.74,29.41,27.575
228,CLE,2014,CLE2014,26.01,27.85,26.93
229,NO,2014,NO2014,26.32,29.54,27.93
230,ATL,2014,ATL2014,26.52,29,27.76
231,NYG,2014,NYG2014,26.55,29.65,28.1
232,LV,2014,OAK2014,26.78,29.8,28.29
233,IND,2014,IND2014,26.91,27.94,27.425
234,DEN,2014,DEN2014,26.95,29.28,28.115
235,MIA,2014,MIA2014,26.95,30.06,28.505
236,BUF,2014,BUF2014,26.97,29.71,28.34
237,BAL,2014,BAL2014,26.97,28.63,27.8
238,HOU,2014,HOU2014,27.15,29.24,28.195
239,TB,2014,TB2014,27.25,30.22,28.735
240,NYJ,2014,NYJ2014,27.29,30.92,29.105
241,MIN,2014,MIN2014,27.31,30.7,29.005
242,CIN,2014,CIN2014,27.87,29.42,28.645
243,ARI,2014,ARI2014,27.93,30.01,28.97
244,DET,2014,DET2014,28.07,31.28,29.675
