Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SEA,1,31.7%,1,12-4,1,34.9%,4,17.4%,2,-16.0%,19,-1.7%,2,12.6,2,27.6%,11,1.2%,1,11.9,10,14.0%
DEN,2,28.9%,2,12-4,3,24.2%,3,20.3%,4,-12.3%,27,-3.7%,1,13.2,1,28.4%,13,1.2%,4,11.0,4,8.4%
GB,3,23.0%,23,12-4,4,23.8%,1,25.2%,16,0.0%,22,-2.3%,5,10.7,4,22.5%,16,-0.7%,3,11.2,9,13.0%
BAL,4,22.1%,24,10-6,6,22.5%,9,9.8%,9,-4.3%,2,8.0%,3,11.5,3,25.5%,30,-5.1%,5,10.9,5,9.5%
NE,5,21.6%,5,12-4,2,28.3%,6,13.9%,12,-2.0%,5,5.7%,4,10.8,5,19.3%,14,0.9%,2,11.8,20,17.3%
DAL,6,16.6%,16,12-4,5,22.7%,5,17.2%,18,1.5%,13,0.9%,6,10.7,6,19.2%,31,-5.3%,6,10.8,26,19.5%
PHI,7,12.5%,9,10-6,9,13.9%,13,1.1%,10,-3.1%,1,8.3%,7,9.6,9,10.3%,27,-3.2%,10,9.7,14,16.2%
PIT,8,11.3%,17,11-5,7,15.1%,2,22.9%,30,12.5%,12,0.9%,9,9.3,8,12.0%,29,-4.2%,11,9.7,13,15.9%
BUF,9,10.7%,18,9-7,10,13.2%,26,-11.2%,3,-15.7%,4,6.2%,11,9.0,10,9.7%,12,1.2%,12,9.6,6,10.3%
KC,10,9.8%,7,9-7,8,14.2%,12,5.4%,20,2.3%,3,6.7%,8,9.3,11,8.3%,9,1.8%,8,10.1,29,21.8%
DET,11,7.5%,15,11-5,14,3.7%,19,-3.5%,1,-16.7%,31,-5.7%,10,9.1,7,12.2%,23,-2.2%,13,9.2,2,7.8%
SF,12,6.3%,6,8-8,12,7.4%,14,-0.3%,5,-9.6%,24,-3.0%,12,8.9,17,1.9%,5,2.8%,24,7.0,18,16.9%
CIN,13,4.5%,8,10-5-1,16,2.3%,17,-0.9%,14,-1.2%,6,4.2%,13,8.9,15,3.0%,15,0.2%,14,8.6,31,24.0%
