Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
PHI,1,30.6%,10,9-6-1,1,31.7%,12,6.8%,3,-22.2%,13,1.7%,4,11.4,1,27.8%,14,0.8%,5,11.4,13,14.9%
NYG,2,27.8%,15,12-4,5,24.0%,1,19.3%,8,-6.6%,11,1.9%,3,11.7,3,25.5%,11,1.6%,4,11.5,23,19.2%
BAL,3,27.7%,21,11-5,3,28.7%,19,0.0%,2,-27.6%,16,0.1%,2,11.7,2,27.0%,6,2.9%,2,12.0,22,19.1%
PIT,4,26.4%,6,12-4,2,30.3%,21,-1.2%,1,-29.2%,23,-1.5%,5,11.4,5,22.1%,4,5.6%,3,11.8,7,11.0%
TEN,5,24.2%,11,13-3,6,23.6%,15,4.6%,5,-18.3%,14,1.3%,1,11.8,4,24.0%,25,-2.3%,1,12.1,5,10.1%
CAR,6,18.2%,26,12-4,4,24.6%,6,13.3%,11,-2.1%,10,2.7%,7,10.3,7,17.4%,17,0.4%,8,10.2,25,19.6%
IND,7,15.2%,2,12-4,7,18.9%,5,14.2%,10,-3.3%,24,-2.3%,6,10.5,8,16.2%,9,2.2%,9,10.2,26,20.5%
SD,8,13.2%,7,8-8,10,12.0%,2,18.9%,25,7.5%,12,1.8%,9,10.0,9,15.8%,23,-1.6%,7,10.3,17,17.4%
NE,9,11.6%,1,11-5,8,18.6%,7,12.4%,21,5.0%,6,4.2%,8,10.2,10,14.5%,28,-6.0%,6,10.7,30,27.1%
NO,10,11.5%,19,8-8,9,16.4%,4,16.5%,19,4.0%,22,-0.9%,10,9.6,11,12.5%,19,-0.8%,11,9.7,8,11.8%
TB,11,9.3%,8,9-7,15,5.2%,20,-0.3%,6,-10.2%,18,-0.5%,14,8.9,13,9.7%,22,-1.4%,14,9.1,14,15.5%
ATL,12,9.2%,27,11-5,12,8.6%,9,8.9%,17,3.5%,7,3.8%,11,9.0,14,8.7%,20,-0.9%,10,9.8,21,18.2%
GB,13,8.9%,5,6-10,13,5.9%,11,7.5%,13,-2.0%,19,-0.5%,16,8.5,15,7.4%,21,-1.0%,15,9.0,10,12.7%
WAS,14,7.8%,13,8-8,19,0.7%,10,8.4%,12,-2.0%,25,-2.6%,12,8.9,17,3.3%,15,0.6%,22,7.0,1,6.2%
MIA,15,7.0%,28,11-5,11,9.0%,8,12.2%,14,-0.8%,29,-5.9%,15,8.7,6,18.1%,30,-6.9%,16,8.8,15,16.3%
CHI,16,5.3%,20,9-7,17,1.9%,23,-9.1%,7,-9.7%,5,4.7%,13,8.9,16,4.5%,18,-0.1%,17,8.7,4,9.6%
MIN,17,4.2%,14,10-6,16,5.1%,24,-10.0%,4,-22.0%,32,-7.9%,20,7.4,18,1.7%,8,2.4%,13,9.3,11,12.8%
DAL,18,2.4%,4,9-7,14,5.9%,17,1.7%,9,-4.2%,27,-3.6%,19,8.2,20,-1.2%,5,4.5%,19,7.9,31,27.5%
NYJ,19,2.2%,24,9-7,18,1.2%,18,0.2%,16,1.2%,8,3.2%,17,8.5,12,9.8%,31,-7.3%,12,9.3,12,14.8%
JAX,20,-2.3%,3,5-11,20,-5.8%,13,6.2%,26,7.7%,21,-0.8%,18,8.3,22,-3.4%,10,1.7%,24,6.1,3,9.4%
ARI,21,-4.0%,23,9-7,22,-13.1%,16,4.4%,18,3.9%,28,-4.6%,21,7.3,19,-0.5%,27,-4.1%,18,8.0,29,25.3%
BUF,22,-8.1%,22,7-9,23,-14.4%,25,-10.1%,22,5.1%,1,7.1%,22,6.7,21,-1.7%,32,-7.6%,20,7.8,9,12.6%
HOU,23,-8.8%,17,8-8,21,-6.0%,14,5.9%,28,14.7%,17,-0.1%,23,6.3,25,-11.0%,7,2.6%,21,7.3,6,11.0%
DEN,24,-9.6%,18,8-8,24,-15.6%,3,18.9%,32,21.5%,31,-7.0%,24,6.2,23,-7.2%,26,-2.9%,25,6.1,27,22.1%
SF,25,-15.8%,32,7-9,26,-18.0%,27,-15.8%,24,5.2%,3,5.2%,25,5.9,24,-9.5%,29,-6.1%,23,6.8,2,6.9%
CLE,26,-21.5%,12,4-12,30,-26.0%,29,-21.3%,23,5.2%,4,4.9%,27,5.6,28,-28.6%,1,9.0%,28,4.4,24,19.5%
CIN,27,-22.0%,16,4-11-1,25,-16.0%,28,-18.7%,15,0.5%,26,-2.8%,29,4.4,29,-29.2%,2,8.4%,30,3.3,18,17.9%
OAK,28,-24.1%,30,5-11,28,-22.0%,31,-26.3%,20,4.4%,2,6.5%,26,5.7,27,-24.4%,12,1.6%,27,4.5,32,33.9%
SEA,29,-24.3%,9,4-12,27,-20.7%,26,-14.8%,27,12.3%,9,2.9%,28,4.8,26,-23.4%,24,-1.8%,26,5.3,20,18.2%
KC,30,-30.6%,25,2-14,29,-23.3%,22,-8.9%,29,14.8%,30,-7.0%,30,3.4,30,-29.6%,13,1.4%,29,4.2,16,16.3%
STL,31,-44.7%,31,2-14,31,-36.8%,32,-29.0%,30,15.1%,20,-0.6%,32,2.0,31,-42.6%,16,0.5%,32,2.5,28,23.4%
DET,32,-45.2%,29,0-16,32,-42.3%,30,-25.6%,31,20.9%,15,1.3%,31,2.3,32,-46.9%,3,6.6%,31,2.5,19,18.2%

