Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SF,1,40.0%,3,11-5,1,40.6%,4,19.5%,1,-22.7%,22,-2.2%,1,12.8,1,35.4%,13,0.7%,1,12.9,14,13.7%
DAL,2,32.7%,1,12-4,3,27.6%,1,30.1%,13,1.4%,6,4.0%,2,12.5,2,30.6%,10,2.0%,2,11.7,7,9.7%
KC,3,27.1%,6,13-3,2,32.3%,13,2.7%,2,-16.3%,1,8.0%,3,11.9,3,28.7%,24,-1.9%,3,11.5,12,13.2%
PIT,4,19.6%,2,11-5,5,23.3%,12,3.3%,6,-12.2%,5,4.1%,4,10.6,4,21.2%,27,-3.3%,6,10.1,25,19.7%
ATL,5,17.4%,23,9-7,4,26.6%,7,14.9%,16,2.9%,3,5.4%,6,10.1,5,18.5%,18,-1.0%,15,8.4,29,23.2%
MIN,6,15.6%,10,8-8,8,14.4%,11,3.4%,4,-12.8%,16,-0.5%,5,10.2,9,10.1%,2,4.6%,11,8.7,3,8.3%
DET,7,13.2%,12,10-6,7,17.1%,6,15.7%,12,-1.4%,28,-3.9%,8,9.7,6,12.4%,8,2.4%,4,10.5,19,15.3%
GB,8,13.2%,4,11-5,6,19.2%,2,20.8%,22,6.5%,19,-1.1%,7,10.0,8,11.4%,11,1.6%,5,10.4,4,8.5%
DEN,9,9.9%,22,8-8,9,9.8%,5,18.2%,27,11.3%,7,3.0%,12,8.8,7,11.7%,17,-0.9%,8,9.2,15,13.8%
CHI,10,9.4%,16,9-7,12,5.1%,3,20.5%,24,7.4%,26,-3.7%,9,9.7,10,7.9%,15,-0.5%,9,8.9,6,9.5%
OAK,11,4.6%,15,8-8,22,-9.0%,15,-0.9%,9,-5.6%,13,-0.2%,10,9.4,11,6.0%,7,3.0%,12,8.5,30,25.0%
SD,12,4.0%,7,9-7,11,6.0%,9,5.3%,14,1.9%,12,0.6%,11,9.1,14,2.4%,6,3.1%,16,7.9,2,6.6%
MIA,13,0.4%,5,9-7,21,-6.2%,8,6.4%,23,6.6%,11,0.7%,13,7.8,12,4.1%,23,-1.7%,7,9.8,1,6.3%
BUF,14,-1.0%,13,10-6,16,-2.6%,20,-5.4%,10,-5.2%,17,-0.8%,16,7.3,15,0.3%,28,-5.6%,14,8.4,13,13.5%
NO,15,-1.4%,14,7-9,13,0.7%,10,3.8%,19,4.1%,18,-1.0%,14,7.7,18,-5.0%,9,2.0%,20,7.2,8,10.4%
HOIL,16,-1.5%,28,7-9,10,7.3%,26,-12.8%,5,-12.6%,20,-1.2%,15,7.6,13,2.8%,20,-1.3%,10,8.7,22,18.8%
PHI,17,-5.8%,8,10-6,14,-0.3%,25,-11.8%,3,-13.9%,30,-7.9%,19,7.1,16,-1.6%,26,-2.4%,18,7.4,17,14.2%
WAS,18,-6.2%,25,6-10,18,-5.4%,16,-1.5%,25,8.8%,4,4.2%,22,6.8,17,-4.8%,21,-1.3%,21,7.1,18,14.5%
NYG,19,-8.0%,19,5-11,15,-2.3%,21,-6.4%,15,2.5%,10,0.9%,18,7.2,24,-14.1%,3,4.1%,23,6.5,11,11.9%
CIN,20,-8.1%,27,7-9,23,-12.6%,14,2.4%,28,12.5%,9,2.1%,17,7.3,21,-8.1%,25,-2.2%,19,7.3,21,18.4%
CLE1,21,-8.8%,9,5-11,25,-17.0%,19,-5.1%,26,9.3%,2,5.6%,25,6.3,20,-8.1%,14,-0.3%,24,6.0,28,19.9%
STL,22,-9.3%,24,7-9,24,-17.0%,23,-9.5%,11,-3.8%,25,-3.5%,20,7.0,23,-13.4%,4,4.0%,26,5.1,16,14.0%
IND,23,-9.9%,20,9-7,19,-5.4%,17,-2.1%,18,3.4%,29,-4.4%,23,6.6,19,-5.2%,29,-6.6%,13,8.4,5,9.0%
CAR,24,-11.3%,0,7-9,20,-6.0%,29,-25.8%,7,-11.6%,8,2.9%,21,6.8,25,-14.3%,16,-0.8%,22,6.9,24,19.5%
SEA,25,-12.0%,18,8-8,17,-5.0%,18,-4.3%,21,6.2%,21,-1.5%,24,6.5,22,-8.2%,22,-1.3%,17,7.9,26,19.7%
TB,26,-20.2%,26,7-9,29,-22.4%,27,-13.8%,20,6.0%,15,-0.4%,26,5.5,27,-20.6%,5,3.2%,27,5.0,20,18.0%
NE,27,-22.3%,11,6-10,26,-20.2%,22,-9.5%,29,12.6%,14,-0.2%,27,4.6,28,-24.1%,12,1.3%,25,5.7,10,11.3%
NYJ,28,-25.2%,17,3-13,27,-21.6%,30,-31.3%,8,-8.4%,23,-2.3%,28,4.3,26,-19.7%,30,-6.7%,30,3.7,27,19.7%
JAX,29,-27.3%,0,4-12,28,-22.0%,24,-9.9%,30,14.1%,24,-3.3%,30,3.4,29,-25.9%,19,-1.2%,28,4.5,9,11.1%
ARI,30,-30.3%,21,4-12,30,-26.6%,28,-23.7%,17,2.9%,27,-3.7%,29,3.6,30,-35.9%,1,5.6%,29,4.1,23,19.0%

