Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
STL,1,31.2%,10,14-2,1,28.3%,1,21.3%,1,-16.2%,29,-6.4%,1,12.3,1,35.9%,20,-0.9%,1,13.2,10,13.3%
PHI,2,26.9%,9,11-5,10,14.8%,12,3.3%,3,-14.7%,1,8.9%,2,11.5,2,25.3%,23,-1.5%,4,12.2,6,12.5%
SF,3,20.3%,21,12-4,2,26.7%,2,21.2%,15,0.1%,20,-0.7%,6,9.9,4,22.8%,27,-2.4%,6,11.4,20,16.3%
TB,4,18.7%,7,9-7,4,20.5%,13,3.2%,2,-15.1%,17,0.5%,7,9.8,8,16.8%,13,0.7%,10,9.4,9,13.2%
OAK,5,17.9%,5,10-6,7,18.2%,3,18.4%,19,1.4%,14,0.9%,5,10.6,7,16.8%,18,-0.3%,8,9.9,1,6.8%
GB,6,17.8%,13,12-4,6,18.4%,6,8.5%,8,-7.2%,10,2.2%,4,10.7,3,24.7%,30,-4.9%,5,11.5,19,16.3%
PIT,7,16.3%,4,13-3,5,18.7%,4,14.9%,11,-5.4%,26,-4.1%,3,10.8,5,21.8%,31,-6.4%,2,12.2,24,18.5%
CHI,8,15.9%,24,13-3,3,23.9%,18,-0.3%,6,-11.3%,4,5.0%,9,9.5,6,20.0%,28,-3.3%,3,12.2,15,14.5%
NYJ,9,10.9%,12,10-6,12,8.2%,10,4.2%,9,-6.0%,15,0.7%,8,9.7,9,12.9%,15,-0.1%,12,8.4,3,10.1%
MIA,10,8.4%,2,11-5,11,11.3%,20,-3.1%,10,-6.0%,2,5.5%,11,8.8,13,3.6%,16,-0.2%,9,9.6,22,17.1%
NE,11,7.7%,22,11-5,9,15.3%,11,3.6%,13,-1.0%,6,3.1%,15,8.2,10,11.9%,29,-3.9%,7,10.9,8,12.9%
SD,12,6.5%,27,5-11,17,-3.0%,17,-0.1%,12,-4.7%,11,1.9%,10,8.8,12,5.5%,21,-1.4%,13,8.3,17,15.2%
BAL,13,5.9%,3,10-6,13,6.0%,24,-7.1%,5,-11.6%,12,1.4%,12,8.7,14,3.2%,22,-1.5%,11,9.2,7,12.7%
DEN,14,1.0%,8,8-8,19,-6.3%,15,0.7%,20,2.0%,8,2.2%,18,7.8,11,6.9%,14,0.5%,15,8.0,28,21.0%
WAS,15,-0.8%,14,8-8,8,18.1%,27,-11.6%,7,-8.3%,7,2.6%,13,8.4,15,-1.1%,25,-1.8%,22,6.5,31,30.0%
SEA,16,-1.1%,25,9-7,15,3.3%,14,1.9%,16,1.0%,23,-2.0%,16,7.9,16,-3.1%,10,0.9%,17,7.3,25,19.4%
KC,17,-2.3%,16,6-10,16,-2.8%,5,10.9%,27,11.2%,21,-2.0%,19,7.0,18,-5.1%,3,3.8%,16,7.3,5,11.6%
TEN,18,-3.1%,1,7-9,14,4.0%,7,7.6%,26,10.5%,18,-0.2%,14,8.4,17,-4.0%,19,-0.3%,20,6.6,29,22.6%
NO,19,-5.5%,18,7-9,22,-12.6%,23,-6.8%,14,-0.3%,13,1.1%,17,7.8,20,-6.7%,17,-0.3%,24,6.0,27,20.6%
JAX,20,-6.7%,17,6-10,18,-5.5%,19,-2.0%,22,2.7%,22,-2.0%,21,6.7,21,-7.2%,26,-2.1%,14,8.3,21,16.5%
CLE,21,-8.0%,31,7-9,25,-16.7%,30,-19.9%,4,-12.4%,19,-0.6%,22,6.7,22,-10.7%,12,0.8%,19,6.9,16,15.1%
NYG,22,-8.3%,11,7-9,23,-12.7%,16,0.1%,18,1.3%,31,-7.1%,24,6.3,19,-5.3%,11,0.8%,18,7.2,12,13.7%
IND,23,-11.0%,6,6-10,20,-7.1%,8,6.8%,30,14.9%,24,-2.9%,23,6.6,23,-11.7%,2,3.9%,23,6.3,26,20.2%
ATL,24,-14.1%,28,7-9,29,-24.9%,25,-11.3%,24,7.7%,5,4.9%,20,6.8,25,-15.2%,9,1.4%,25,5.6,11,13.3%
ARI,25,-15.7%,30,7-9,21,-9.3%,9,5.4%,31,21.8%,16,0.6%,26,5.6,24,-14.7%,24,-1.6%,21,6.6,14,14.2%
DET,26,-19.3%,15,2-14,26,-17.3%,28,-11.9%,25,9.6%,9,2.2%,25,5.6,30,-25.6%,4,3.5%,29,4.0,13,14.0%
CIN,27,-19.6%,29,6-10,28,-23.7%,26,-11.5%,17,1.1%,30,-7.0%,27,5.6,26,-20.3%,5,3.1%,26,5.3,23,17.6%
DAL,28,-21.0%,23,5-11,27,-19.0%,29,-15.6%,21,2.2%,25,-3.1%,28,5.3,27,-23.0%,7,2.1%,28,5.2,18,15.8%
BUF,29,-22.9%,19,3-13,24,-15.5%,21,-4.6%,28,13.3%,28,-5.0%,30,4.1,28,-24.9%,8,1.4%,30,3.9,2,9.8%
MIN,30,-24.3%,20,5-11,30,-26.6%,22,-5.0%,29,14.5%,27,-4.8%,29,4.6,31,-26.6%,1,4.2%,27,5.2,30,25.7%
CAR,31,-24.7%,26,1-15,31,-27.7%,31,-27.2%,23,2.9%,3,5.4%,31,4.0,29,-25.0%,6,2.8%,31,3.8,4,11.4%

