Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
DAL,1,23.59,1,24.17,1,23.07,20,30.08,1,24.44,1,21.04,2,27.48
ARI,2,25.06,2,24.29,6,25.81,1,26.71,2,25.27,5,23.68,1,27.14
PHI,3,25.91,15,27.37,2,24.45,2,26.82,16,27.96,3,23.35,17,30.40
TEN,4,25.99,5,26.22,5,25.80,14,29.06,3,25.88,4,23.43,3,28.56
DEN,5,26.13,11,26.92,4,25.34,16,29.42,10,27.46,6,24.03,10,29.75
JAX,6,26.18,12,27.07,3,25.28,32,36.50,14,27.67,10,24.88,24,31.08
DET,7,26.32,8,26.61,7,26.04,19,29.91,4,26.38,16,25.36,9,29.65
ATL,8,26.32,6,26.40,8,26.23,5,27.47,6,26.59,8,24.71,8,29.58
TB,9,26.49,3,25.90,15,27.10,3,27.32,7,26.78,15,25.25,4,28.82
WAS,10,26.52,10,26.76,9,26.30,17,29.56,13,27.51,9,24.77,14,29.92
LAC,11,26.53,9,26.65,11,26.40,4,27.38,9,27.09,13,25.14,5,29.14
HOU,12,27.00,7,26.59,17,27.45,12,28.88,18,28.10,21,25.78,15,30.27
KC,13,27.05,4,26.04,22,28.05,10,28.67,5,26.51,25,26.27,7,29.37
CHI,14,27.21,23,27.86,12,26.60,9,28.56,20,28.26,11,24.99,27,31.50
NYJ,15,27.46,24,27.93,14,26.89,8,28.45,26,28.83,27,26.55,20,30.59
LAR,16,27.62,16,27.51,19,27.74,11,28.74,19,28.26,19,25.58,12,29.80
MIN,17,27.62,25,28.10,16,27.21,28,31.34,17,28.03,17,25.46,26,31.38
NE,18,27.66,29,28.63,13,26.76,23,30.56,8,26.91,29,27.62,13,29.83
SEA,19,27.72,17,27.53,21,27.91,15,29.24,12,27.51,28,26.68,22,30.68
PIT,20,27.72,13,27.11,26,28.38,18,29.63,11,27.46,22,26.06,6,29.24
NYG,21,27.72,18,27.55,20,27.88,6,28.08,28,29.02,12,25.00,19,30.55
LV,22,27.90,14,27.33,27,28.39,31,33.27,15,27.90,24,26.26,23,30.99
IND,23,27.92,20,27.63,23,28.21,25,30.81,21,28.31,7,24.05,18,30.55
CIN,24,27.93,26,28.20,18,27.67,21,30.09,22,28.40,23,26.26,16,30.31
SF,25,28.07,31,29.79,10,26.34,30,31.81,30,29.38,2,23.22,31,32.63
MIA,26,28.35,28,28.48,24,28.24,27,30.95,23,28.65,18,25.49,25,31.34
CLE,27,28.40,22,27.81,28,29.03,22,30.23,29,29.06,14,25.15,21,30.61
BUF,28,28.65,19,27.59,29,29.76,13,29.05,24,28.76,26,26.38,11,29.78
NO,29,28.83,21,27.77,30,29.90,26,30.92,27,28.96,20,25.70,28,31.54
CAR,30,28.90,30,29.54,25,28.28,29,31.39,25,28.77,30,27.66,29,31.86
BAL,31,29.57,27,28.44,31,30.86,7,28.35,31,30.60,32,30.48,30,32.63
GB,32,31.09,32,30.82,32,31.40,24,30.78,32,31.61,31,29.95,32,32.83
NFL,,27.33,,27.38,,27.28,,29.42,,27.85,,25.19,,30.30

