Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
GB,1,26.31,1,25.73,6,26.88,2,27.41,6,26.98,8,24.51,2,28.01
SEA,2,26.60,2,26.12,8,27.09,13,30.00,1,26.37,4,23.72,4,28.35
DET,3,26.71,8,27.27,2,26.23,23,31.16,4,26.77,19,26.05,6,29.31
CIN,4,26.82,7,26.94,5,26.70,4,28.23,2,26.70,11,25.31,3,28.14
MIA,5,26.98,11,27.80,1,26.19,16,30.42,10,28.18,2,22.89,11,29.78
TEN,6,27.04,5,26.80,10,27.29,19,30.49,8,27.47,13,25.51,10,29.75
IND,7,27.25,9,27.28,9,27.23,1,27.30,9,27.69,15,25.60,8,29.39
STL,8,27.32,18,28.42,3,26.29,6,28.56,13,28.33,9,24.87,13,30.21
TB,9,27.48,14,28.04,7,26.89,22,31.10,23,29.80,10,24.98,22,31.20
CHI,10,27.51,4,26.54,20,28.50,15,30.31,5,26.79,5,24.08,1,27.67
PHI,11,27.60,3,26.27,26,28.99,8,29.40,3,26.75,31,26.97,7,29.31
ARI,12,27.79,16,28.22,11,27.40,12,29.88,12,28.25,17,25.85,16,30.76
NO,13,27.80,6,26.89,23,28.72,10,29.69,7,27.28,28,26.58,5,28.89
OAK,14,27.85,23,29.04,4,26.57,3,27.57,21,29.45,24,26.47,18,30.85
NYG,15,27.89,12,27.82,18,27.95,14,30.02,17,28.87,3,23.23,17,30.78
ATL,16,27.93,13,27.94,17,27.92,21,30.96,19,29.03,12,25.42,12,29.80
NE,17,27.98,10,27.79,19,28.18,9,29.44,11,28.19,7,24.20,9,29.46
KC,18,28.28,25,29.24,12,27.49,17,30.46,16,28.85,14,25.55,25,31.70
PIT,19,28.35,24,29.14,13,27.63,25,31.24,27,30.27,6,24.18,26,31.79
DAL,20,28.52,17,28.28,25,28.75,20,30.71,15,28.64,22,26.32,14,30.23
NYJ,21,28.62,15,28.21,27,29.10,18,30.48,14,28.41,30,26.95,19,30.90
CAR,22,28.65,26,29.67,14,27.71,31,32.74,20,29.14,1,22.52,28,32.22
HOU,23,28.78,27,29.76,15,27.73,5,28.55,29,30.46,20,26.21,23,31.21
WAS,24,28.81,21,28.97,22,28.65,29,32.41,22,29.61,25,26.51,24,31.56
SD,25,29.09,19,28.68,29,29.53,7,28.87,28,30.35,16,25.83,20,30.97
MIN,26,29.16,31,30.60,16,27.80,24,31.24,26,30.13,23,26.42,30,32.79
DEN,27,29.19,20,28.78,30,29.56,11,29.73,25,29.91,18,25.94,15,30.71
BUF,28,29.21,28,29.88,21,28.57,30,32.70,18,28.94,27,26.57,21,31.03
SF,29,29.24,22,29.02,28,29.45,26,31.88,30,30.93,29,26.91,27,31.95
CLE,30,29.37,29,30.02,24,28.73,32,32.82,31,31.46,26,26.56,31,33.44
BAL,31,30.19,30,30.02,32,30.36,28,32.10,24,29.90,21,26.31,29,32.66
JAX,32,30.36,32,30.79,31,29.94,27,31.92,32,31.63,32,27.27,32,33.59
NFL,0,28.13,0,28.28,0,27.98,0,30.17,0,28.75,0,25.60,0,30.55

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NYJ,1,26.70,8,27.73,3,25.83,15,30.08,14,28.52,1,22.60,13,30.38
JAX,2,26.74,11,27.85,1,25.70,2,27.88,19,29.08,3,23.30,7,29.48
SD,3,26.94,12,27.88,5,26.06,11,29.86,15,28.53,11,24.96,21,31.09
MIN,4,26.96,1,26.41,12,27.51,8,29.47,1,26.78,7,24.38,1,28.38
NYG,5,27.19,4,27.17,10,27.21,14,30.05,8,27.93,8,24.67,3,29.25
BAL,6,27.20,24,28.72,2,25.80,5,28.99,10,28.35,15,25.69,22,31.16
CHI,7,27.23,21,28.49,4,26.02,3,28.45,7,27.90,18,25.91,27,31.43
GB,8,27.26,9,27.75,7,26.75,23,30.56,5,27.73,5,24.29,4,29.29
