Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
BUF,1,24.07,1,22.94,2,25.31,1,26.95,1,23.66,1,22.04,1,24.86
NE,2,26.21,4,26.57,3,25.89,25,32.04,3,26.35,4,23.28,6,29.92
IND,3,26.33,11,27.85,1,24.71,28,0.00,13,28.58,6,24.32,12,30.60
SD,4,26.34,2,25.51,9,27.12,10,29.17,2,25.49,18,26.14,3,29.15
MIA,5,26.47,3,26.54,7,26.41,14,30.10,5,26.56,2,23.10,2,28.72
SEA,6,26.79,7,27.41,4,26.21,7,29.08,4,26.53,14,25.53,13,30.60
WAS,7,26.92,9,27.64,5,26.24,18,30.70,6,27.59,13,25.25,5,29.88
CIN,8,27.37,17,28.43,6,26.38,8,29.13,10,28.34,15,25.61,7,29.95
LAR,9,27.55,18,28.48,8,26.56,4,27.62,27,30.80,10,24.92,18,31.24
HOIL,10,27.57,5,27.17,14,28.00,3,27.35,15,28.85,12,25.17,4,29.85
DEN,11,27.74,13,28.00,10,27.50,9,29.13,9,28.18,8,24.75,8,30.20
MIN,12,27.91,14,28.12,11,27.69,22,31.65,7,27.95,17,25.88,16,30.96
SF,13,28.04,8,27.44,21,28.68,2,27.04,26,30.38,11,24.93,11,30.50
NO,14,28.10,15,28.13,15,28.07,13,29.95,14,28.58,19,26.20,14,30.68
PIT,15,28.14,12,27.98,18,28.28,26,32.08,20,29.65,5,24.22,9,30.26
PHI,16,28.16,20,28.62,12,27.71,5,28.52,8,28.17,27,27.98,19,31.30
TB,17,28.33,19,28.50,17,28.17,16,30.37,19,29.53,25,26.87,20,31.63
KC,18,28.44,16,28.20,20,28.66,15,30.21,11,28.41,20,26.42,10,30.28
GB,19,28.47,6,27.40,25,29.70,12,29.60,12,28.47,9,24.91,15,30.70
DAL,20,28.89,10,27.77,28,30.05,6,29.02,22,29.99,21,26.48,17,31.01
LARD,21,29.04,25,29.69,19,28.33,19,30.89,21,29.97,3,23.13,23,31.99
CHI,22,29.05,21,28.96,24,29.13,11,29.44,23,30.00,24,26.86,21,31.74
