Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SEA,1,24.67,1,25.51,1,23.88,4,27.17,1,25.33,1,23.24,1,26.80
KC,2,25.64,3,25.98,3,25.32,1,25.55,5,27.32,4,23.74,3,28.31
DET,3,26.14,10,27.46,2,24.82,3,26.18,19,28.79,7,24.23,17,30.75
IND,4,26.58,2,25.80,14,27.49,2,26.11,4,27.26,13,25.00,2,28.19
ATL,5,26.65,6,26.72,5,26.57,8,28.15,2,26.89,11,24.69,6,29.39
PHI,6,26.77,4,26.07,15,27.52,9,28.36,6,27.44,3,23.34,7,29.47
TEN,7,26.99,7,26.83,9,27.16,20,30.20,11,28.17,5,23.91,18,30.78
BAL,8,27.19,5,26.49,17,27.82,15,29.81,3,27.25,6,23.96,4,29.22
DEN,9,27.21,9,27.33,7,27.10,12,29.56,10,28.13,9,24.46,5,29.29
STL,10,27.42,23,28.63,4,26.19,5,27.28,20,29.01,18,26.23,16,30.75
MIA,11,27.52,15,27.84,11,27.24,19,30.13,18,28.71,8,24.29,26,32.21
CHI,12,27.57,13,27.72,13,27.42,10,28.94,8,27.58,27,27.03,9,30.04
CAR,13,27.58,17,27.97,8,27.14,25,30.63,16,28.67,2,23.29,20,31.03
CLE,14,27.84,20,28.44,12,27.26,28,31.00,12,28.38,15,25.84,13,30.41
OAK,15,27.97,24,28.71,10,27.21,23,30.41,21,29.17,24,26.57,29,32.32
WAS,16,28.03,8,26.99,20,28.91,16,29.83,9,27.68,30,28.11,8,29.47
TB,17,28.07,28,29.20,6,26.98,31,31.39,25,29.75,22,26.53,30,32.60
JAX,18,28.13,25,28.74,16,27.60,6,27.62,23,29.32,19,26.31,22,31.37
HOU,19,28.51,18,28.01,21,29.02,14,29.81,15,28.58,28,27.09,12,30.32
ARI,20,28.60,16,27.86,24,29.38,11,28.98,31,30.42,16,25.96,23,31.49
NO,21,28.62,14,27.77,25,29.45,21,30.24,17,28.69,23,26.56,19,30.84
BUF,22,28.64,21,28.55,19,28.73,7,27.99,24,29.45,26,27.03,21,31.09
NE,23,28.72,11,27.48,30,30.07,13,29.79,13,28.49,20,26.31,11,30.27
SD,24,28.73,19,28.32,22,29.13,30,31.21,7,27.56,17,26.03,14,30.47
NYJ,25,28.87,12,27.53,31,30.31,22,30.34,14,28.58,25,26.89,10,30.23
NYG,26,28.99,29,29.30,18,28.68,26,30.74,30,30.28,21,26.50,28,32.24
MIN,27,29.12,26,28.91,23,29.33,18,30.04,22,29.29,14,25.19,24,31.58
GB,28,29.44,27,28.93,28,29.97,29,31.04,27,30.00,12,25.00,15,30.55
DAL,29,29.58,30,29.56,26,29.60,32,31.50,26,29.80,10,24.63,25,31.91
SF,30,29.64,22,28.58,32,30.70,17,29.84,32,30.55,29,27.22,27,32.23
CIN,31,30.01,31,30.00,29,30.03,27,30.90,29,30.20,31,28.20,32,32.74
PIT,32,30.22,32,30.49,27,29.95,24,30.57,28,30.12,32,29.99,31,32.74
NFL,0,27.98,0,27.92,0,28.05,0,29.69,0,28.66,0,25.58,0,30.66

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NO,1,26.21,4,26.86,1,25.56,20,30.12,2,26.98,7,24.08,10,30.14
SF,2,26.80,2,26.60,9,27.02,8,28.85,5,27.35,9,24.41,3,29.90
GB,3,26.82,14,27.60,3,26.09,9,28.86,26,29.65,8,24.24,28,31.66
MIA,4,26.93,11,27.41,4,26.42,2,27.53,3,27.13,16,25.85,4,29.99
DAL,5,26.94,5,26.98,7,26.91,1,25.94,21,29.29,5,23.85,18,30.53
CIN,6,27.06,1,26.22,16,27.91,29,32.00,6,27.53,4,23.84,23,30.89
HOU,7,27.12,6,27.20,10,27.04,3,27.65,10,28.08,15,25.53,9,30.14
NE,8,27.20,12,27.44,8,26.97,28,31.37,9,28.05,17,25.88,8,30.11
ARI,9,27.22,26,28.77,2,25.81,22,30.39,14,28.54,10,24.70,14,30.40
PIT,10,27.29,9,27.35,12,27.24,27,31.15,7,27.59,23,26.44,2,29.66
MIN,11,27.34,22,28.26,5,26.44,7,28.73,19,28.79,19,26.05,21,30.80
IND,12,27.75,18,27.96,14,27.55,23,30.39,17,28.64,20,26.08,29,31.82
CLE,13,27.79,19,28.12,13,27.49,18,29.94,11,28.45,2,22.73,19,30.69
DEN,14,27.85,30,29.07,6,26.62,4,27.78,27,29.66,3,23.51,5,30.04
DET,15,28.02,3,26.68,27,29.38,14,29.61,1,26.71,30,27.11,1,29.35
BUF,16,28.09,7,27.30,22,28.91,5,28.24,20,29.09,12,25.09,20,30.78
NYJ,17,28.14,25,28.38,15,27.90,15,29.70,28,29.73,11,25.03,22,30.88
NYG,18,28.19,13,27.44,23,28.95,10,29.06,12,28.46,29,27.11,13,30.30
SD,19,28.29,31,29.56,11,27.05,32,33.46,25,29.64,22,26.20,32,32.49
TB,20,28.40,8,27.34,29,29.49,19,30.05,4,27.33,24,26.71,7,30.09
ATL,21,28.41,23,28.30,19,28.52,13,29.41,13,28.47,32,27.88,17,30.51
CAR,22,28.51,24,28.31,21,28.69,24,30.43,24,29.60,21,26.18,31,31.91
CHI,23,28.61,27,28.89,17,28.35,16,29.74,16,28.64,28,26.98,16,30.44
JAX,24,28.62,17,27.96,26,29.38,26,30.86,18,28.78,14,25.31,12,30.25
KC,25,28.65,21,28.25,24,29.06,11,29.25,15,28.60,27,26.87,15,30.44
TEN,26,28.68,16,27.92,28,29.42,12,29.25,23,29.56,18,25.93,30,31.83
OAK,27,28.70,10,27.40,31,30.05,25,30.78,8,27.84,6,23.99,6,30.08
PHI,28,28.75,29,29.05,18,28.45,31,32.96,22,29.43,31,27.20,24,30.99
STL,29,28.97,15,27.86,30,30.04,6,28.31,31,29.83,1,22.53,11,30.16
WAS,30,29.11,28,28.91,25,29.36,17,29.85,30,29.82,13,25.19,25,31.16
BAL,31,29.25,32,29.87,20,28.57,30,32.22,29,29.81,26,26.81,27,31.64
SEA,32,29.58,20,28.24,32,31.04,21,30.17,32,30.23,25,26.77,26,31.46
NFL,0,27.98,0,27.92,0,28.05,0,29.69,0,28.66,0,25.58,0,30.66

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
NE,1,33:05,23,5:25,1,19:41,4,7:59,27,10:59,1,37:08,3,11:53
GB,2,33:03,12,7:24,2,18:36,1,7:03,13,12:58,2,35:18,2,11:43
MIN,3,32:45,17,6:45,3,17:32,5,8:28,19,12:00,3,34:21,5,13:38
DAL,4,32:07,10,7:31,7,15:22,7,9:14,12,13:42,10,29:43,7,16:35
PIT,5,31:59,2,9:14,6,15:23,2,7:21,6,15:58,7,32:41,1,11:21
MIA,6,31:56,3,8:39,21,8:28,24,14:49,7,15:56,22,18:54,21,25:10
CIN,7,31:56,1,9:51,16,11:45,12,10:19,4,16:24,18,22:43,15,20:53
HOU,8,31:54,7,7:58,17,10:51,20,13:05,9,14:56,16,24:13,14,20:51
NYJ,9,31:43,29,4:05,4,17:27,11,10:11,30,9:45,8,32:10,9,18:05
NYG,10,31:25,20,5:47,14,12:13,21,13:25,29,10:16,14,24:49,20,24:55
NO,11,31:16,18,6:14,8,15:20,9,9:42,26,11:00,9,31:32,8,17:28
CAR,12,30:13,13,6:52,13,12:35,14,10:46,24,11:24,13,26:42,17,21:53
SD,13,29:58,14,6:49,5,15:48,3,7:22,14,12:41,5,33:44,4,13:35
JAX,14,29:54,31,3:39,25,7:50,28,18:25,31,8:58,24,18:34,27,32:28
ATL,15,29:54,15,6:48,19,10:14,18,12:52,20,11:53,17,23:18,19,24:49
DEN,16,29:54,22,5:27,18,10:27,23,13:59,15,12:36,20,21:18,22,26:07
ARI,17,29:52,19,6:02,12,13:14,13,10:36,18,12:03,12,27:21,13,20:37
