Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CHI,1,25.57,2,26.02,1,25.07,11,29.28,1,25.82,3,22.98,3,28.99
SEA,2,26.36,4,26.42,6,26.31,5,27.69,3,26.89,1,22.72,2,28.16
DET,3,26.61,3,26.35,9,26.86,1,26.34,16,28.45,6,24.28,9,30.00
NYJ,4,26.66,13,28.10,2,25.37,20,30.68,4,27.05,7,24.40,26,31.89
ATL,5,27.08,8,27.66,8,26.46,24,30.99,12,28.05,11,25.51,6,29.73
CAR,6,27.10,20,28.41,4,26.00,26,31.09,21,29.33,4,23.41,13,30.59
CIN,7,27.15,22,28.71,3,25.78,3,27.65,17,28.69,8,24.63,11,30.36
IND,8,27.24,1,25.52,26,29.07,8,28.80,2,26.40,13,25.70,1,28.16
STL,9,27.40,21,28.57,5,26.25,19,30.67,8,27.73,15,25.83,23,31.50
CLE,10,27.43,9,27.71,12,27.14,7,28.59,7,27.56,18,26.21,15,30.77
PHI,11,27.50,10,27.73,13,27.25,16,29.77,5,27.09,23,26.63,7,29.83
WAS,12,27.54,5,26.94,19,28.17,15,29.60,9,27.91,5,24.07,8,29.88
NO,13,27.62,7,27.18,16,28.08,14,29.59,13,28.06,12,25.56,4,29.09
SF,14,27.64,25,29.05,7,26.45,27,31.18,18,28.78,19,26.30,29,32.21
BAL,15,27.79,17,28.28,14,27.29,2,26.65,15,28.29,29,27.60,22,31.21
MIA,16,27.99,24,28.99,11,27.07,32,35.00,28,29.86,20,26.32,24,31.61
KC,17,28.08,26,29.25,10,26.99,4,27.68,22,29.35,24,26.74,16,30.78
ARI,18,28.15,14,28.14,18,28.15,22,30.72,10,27.99,25,27.17,12,30.47
DEN,19,28.15,23,28.82,15,27.58,30,32.31,6,27.25,22,26.58,14,30.67
NYG,20,28.24,18,28.36,17,28.13,9,28.94,25,29.42,21,26.53,28,31.98
TEN,21,28.39,19,28.39,22,28.39,6,28.58,20,29.26,17,26.09,27,31.92
HOU,22,28.49,15,28.21,24,28.78,29,31.78,24,29.39,10,25.26,19,31.00
GB,23,28.50,6,27.03,29,29.98,13,29.33,14,28.22,27,27.46,20,31.18
SD,24,28.58,12,27.92,27,29.25,21,30.70,23,29.36,2,22.73,10,30.06
MIN,25,28.74,27,29.25,20,28.25,28,31.20,19,29.22,14,25.72,21,31.19
NE,26,28.95,11,27.81,31,30.17,17,29.83,11,28.02,30,27.67,5,29.34
TB,27,29.03,30,29.43,23,28.60,23,30.88,26,29.42,9,24.75,25,31.70
DAL,28,29.20,16,28.27,30,30.15,25,31.03,27,29.54,16,25.91,18,30.92
OAK,29,29.20,28,29.34,25,29.05,18,30.61,29,29.97,32,28.02,31,32.42
BUF,30,29.31,31,30.28,21,28.39,10,28.94,31,30.52,28,27.49,30,32.23
JAX,31,29.51,29,29.39,28,29.64,12,29.30,30,30.24,31,28.01,17,30.89
PIT,32,31.31,32,30.64,32,31.98,31,32.62,32,32.54,26,27.45,32,33.94
NFL,0,28.00,0,28.15,0,27.86,0,29.87,0,28.55,0,25.84,0,30.73

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
WAS,1,26.79,4,27.17,4,26.42,1,26.75,2,27.12,24,26.47,10,30.46
JAX,2,26.94,5,27.32,5,26.55,2,28.05,25,29.34,8,24.69,15,30.64
PIT,3,27.02,13,27.82,3,26.22,21,30.28,6,27.74,7,24.64,6,30.31
MIN,4,27.06,1,26.65,13,27.49,13,29.45,1,26.82,18,25.93,8,30.43
NYG,5,27.17,10,27.71,6,26.60,22,30.30,7,27.80,5,23.52,19,30.76
DAL,6,27.17,9,27.68,9,26.67,17,30.06,4,27.60,16,25.63,14,30.63
CLE,7,27.21,14,27.89,7,26.61,10,29.41,5,27.71,15,25.62,16,30.66
TEN,8,27.35,26,28.76,1,26.07,3,28.22,21,28.73,3,22.93,5,30.27
SEA,9,27.45,19,28.32,10,26.68,19,30.19,20,28.73,9,24.91,7,30.41
PHI,10,27.54,3,27.12,18,27.94,29,31.78,3,27.56,21,26.19,3,30.17
STL,11,27.54,7,27.41,14,27.67,4,28.26,12,28.22,11,25.34,24,31.18
BUF,12,27.79,12,27.78,16,27.80,23,30.43,10,27.99,10,24.93,31,31.61
NE,13,27.79,27,28.79,11,26.85,32,39.67,27,29.43,25,26.88,17,30.66
