Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SF,1,25.43,6,26.97,1,23.80,2,26.66,8,27.21,2,23.85,3,28.97
JAX,2,25.79,13,27.48,2,24.25,1,24.42,6,27.19,7,24.76,9,30.08
NO,3,26.13,2,26.49,4,25.73,3,27.08,1,26.52,13,25.30,2,28.95
NYG,4,26.14,8,27.02,3,25.26,10,28.06,3,26.76,3,24.28,1,28.72
BAL,5,26.42,1,25.45,17,27.53,9,28.00,4,26.89,1,23.66,10,30.18
DEN,6,26.46,3,26.66,6,26.28,6,27.45,2,26.69,20,25.65,5,29.19
ARI,7,26.63,4,26.70,10,26.56,7,27.70,5,27.16,9,25.05,17,30.56
CIN,8,26.81,11,27.33,7,26.30,5,27.42,9,27.26,11,25.18,7,29.65
CLE,9,26.86,19,28.04,5,25.78,12,28.45,17,28.14,19,25.63,13,30.26
TB,10,27.13,17,27.80,8,26.46,14,29.09,14,27.70,10,25.16,8,29.79
CAR,11,27.18,5,26.96,15,27.38,13,28.88,12,27.69,5,24.49,12,30.24
CHI,12,27.21,20,28.05,9,26.47,19,29.74,15,27.83,15,25.50,23,31.08
HOU,13,27.32,12,27.40,12,27.23,11,28.31,28,29.24,8,24.82,16,30.50
SEA,14,27.48,9,27.10,19,27.82,15,29.19,7,27.19,24,26.27,18,30.75
NE,15,27.51,7,26.97,22,28.10,4,27.14,18,28.37,17,25.54,6,29.23
BUF,16,27.54,18,27.81,13,27.27,8,27.79,25,28.81,14,25.49,11,30.23
WAS,17,27.55,14,27.71,16,27.40,17,29.36,13,27.69,26,26.37,24,31.08
IND,18,27.77,21,28.13,14,27.38,24,30.42,11,27.51,23,26.26,15,30.36
PHI,19,27.89,15,27.75,21,28.02,30,31.65,19,28.38,16,25.51,27,31.45
PIT,20,28.09,23,28.27,20,27.92,28,30.98,20,28.39,6,24.61,22,31.06
SD,21,28.14,31,29.23,11,27.09,20,29.87,16,28.07,28,26.71,21,30.87
OAK,22,28.14,28,28.78,18,27.54,18,29.69,24,28.65,25,26.35,19,30.78
ATL,23,28.29,10,27.28,30,29.38,16,29.32,10,27.49,29,27.35,4,29.10
MIN,24,28.35,25,28.43,24,28.29,25,30.65,26,28.88,22,25.98,14,30.36
GB,25,28.37,16,27.79,29,28.93,21,30.12,27,28.89,12,25.20,20,30.81
TEN,26,28.45,24,28.27,25,28.64,23,30.33,32,30.41,18,25.54,32,33.08
DET,27,28.49,22,28.22,26,28.77,26,30.72,21,28.41,30,27.53,25,31.27
NYJ,28,28.53,29,28.83,23,28.24,29,31.56,29,29.55,27,26.53,26,31.43
KC,29,28.71,27,28.62,27,28.79,27,30.81,31,29.74,4,24.45,28,31.76
LAR,30,28.73,26,28.60,28,28.86,31,32.90,23,28.64,31,27.76,29,31.79
DAL,31,29.48,30,28.85,31,30.16,22,30.17,30,29.69,21,25.87,30,32.19
MIA,32,29.84,32,29.30,32,30.33,32,33.37,22,28.48,32,30.20,31,32.44
NFL,0,27.57,0,27.72,0,27.42,0,29.16,0,28.08,0,25.68,0,30.56

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CAR,1,26.11,6,27.10,2,25.09,10,28.16,1,26.51,4,24.41,3,29.46
DAL,2,26.33,8,27.11,3,25.62,2,26.32,3,26.79,17,25.83,2,29.45
ATL,3,26.49,23,28.13,1,25.03,26,30.33,23,28.71,8,24.79,25,31.36
PHI,4,26.55,12,27.35,4,25.72,7,27.53,6,27.15,3,24.26,12,30.11
TEN,5,26.62,9,27.15,6,26.11,12,28.45,9,27.49,5,24.48,14,30.14
NO,6,26.75,2,26.63,10,26.86,14,28.64,5,26.91,12,25.03,1,29.35
IND,7,26.75,1,26.08,14,27.38,8,28.12,11,27.66,7,24.67,4,29.48
NE,8,26.93,5,27.04,9,26.82,1,26.23,27,28.92,18,25.94,6,29.62
KC,9,27.00,20,27.97,5,26.05,19,29.64,13,27.85,14,25.14,9,29.80
GB,10,27.15,11,27.29,12,27.01,9,28.16,12,27.75,24,26.40,15,30.23
SD,11,27.21,22,28.09,7,26.44,6,27.52,26,28.91,10,24.95,18,30.37
TB,12,27.36,3,26.76,24,27.93,5,27.21,20,28.34,15,25.40,7,29.67
WAS,13,27.44,27,28.43,8,26.51,21,29.65,7,27.16,26,26.75,19,30.38
ARI,14,27.50,10,27.27,19,27.71,3,26.86,24,28.75,22,26.33,16,30.26
CIN,15,27.55,4,26.99,25,28.08,4,27.01,21,28.43,21,26.27,8,29.73
NYJ,16,27.59,15,27.52,17,27.65,22,29.67,10,27.60,1,22.93,5,29.58
NYG,17,27.61,13,27.47,20,27.75,11,28.39,18,28.17,16,25.83,24,31.23
MIA,18,27.66,16,27.69,16,27.62,16,28.98,19,28.17,13,25.08,31,32.51
OAK,19,27.68,18,27.88,15,27.48,20,29.64,14,27.93,19,26.09,10,29.82
DEN,20,27.70,26,28.31,13,27.11,18,29.18,22,28.60,11,24.97,11,30.00
JAX,21,27.75,17,27.71,22,27.79,17,29.12,8,27.37,28,27.11,17,30.30
BAL,22,27.76,28,28.70,11,26.93,15,28.93,17,28.02,27,26.87,20,30.50
LAR,23,27.84,19,27.92,21,27.75,13,28.50,4,26.90,31,28.64,23,31.01
MIN,24,27.92,24,28.14,18,27.67,32,31.64,25,28.79,2,23.40,30,32.08
PIT,25,28.06,21,28.00,26,28.12,31,31.15,31,29.38,6,24.58,21,30.54
SF,26,28.32,7,27.11,29,29.44,24,29.69,2,26.53,32,28.83,13,30.14
SEA,27,28.32,30,28.79,23,27.82,27,30.41,29,29.27,20,26.11,26,31.44
HOU,28,28.33,25,28.23,28,28.45,23,29.67,30,29.35,9,24.94,29,32.02
BUF,29,28.46,29,28.75,27,28.19,28,30.79,16,27.99,30,27.74,22,30.79
CLE,30,28.88,14,27.50,32,30.30,29,30.84,15,27.94,23,26.39,28,31.59
CHI,31,29.27,31,28.94,30,29.63,30,31.07,28,29.06,25,26.72,27,31.57
DET,32,29.41,32,29.11,31,29.70,25,30.26,32,29.93,29,27.72,32,32.98
NFL,0,27.57,0,27.72,0,27.42,0,29.16,0,28.08,0,25.68,0,30.56

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
PHI,1,32:31,25,4:45,12,11:53,25,15:53,28,9:19,17,23:54,22,26:47
DAL,2,31:28,10,5:54,3,15:53,3,9:40,18,10:31,3,35:13,3,14:16
HOU,3,31:21,1,8:33,23,8:48,19,14:00,2,15:55,25,18:32,20,25:33
GB,4,31:14,7,6:15,7,14:14,6,10:45,16,10:38,4,31:23,4,17:59
NE,5,31:13,23,4:52,1,21:16,1,5:04,32,7:51,1,44:03,1,8:06
OAK,6,31:03,6,6:36,14,11:33,14,12:54,5,13:19,14,24:35,13,22:06
NO,7,30:57,8,6:13,25,8:10,29,16:34,8,12:54,26,18:07,25,28:59
CAR,8,30:50,16,5:20,6,14:30,7,11:01,15,10:41,9,28:43,7,20:37
TB,9,30:49,9,6:13,17,10:43,18,13:52,7,12:59,18,23:12,15,23:49
BAL,10,30:46,14,5:33,8,13:25,9,11:48,27,9:24,7,29:25,10,21:10
IND,11,30:39,24,4:52,11,12:28,15,13:19,11,11:34,16,24:25,16,24:02
MIN,12,30:37,20,5:00,15,11:04,22,14:32,10,11:44,20,22:57,19,25:19
TEN,13,30:32,15,5:24,13,11:42,16,13:25,30,8:31,13,24:52,21,26:37
PIT,14,30:29,21,4:58,5,14:58,5,10:32,23,9:41,6,30:33,6,19:46
ARI,15,30:27,2,8:26,18,10:27,8,11:34,4,13:30,15,24:33,12,21:57
NYJ,16,30:25,26,4:41,28,7:02,32,18:43,31,8:15,30,15:31,31,36:14
SD,17,30:21,12,5:42,10,12:34,10,12:05,21,10:10,10,28:35,11,21:15
ATL,18,30:12,18,5:13,2,16:55,2,8:04,22,9:45,2,37:07,2,13:08
CIN,19,29:57,28,4:31,16,10:59,21,14:27,25,9:38,11,26:14,17,24:08
KC,20,29:56,29,4:23,4,15:34,4,9:58,20,10:14,5,31:00,5,18:46
DET,21,29:42,3,7:47,20,9:47,11,12:08,1,15:57,19,23:05,9,20:59
SEA,22,29:34,30,3:50,9,13:22,13,12:22,19,10:24,8,28:44,8,20:52
WAS,23,29:32,13,5:39,27,7:28,28,16:25,9,11:48,24,19:40,24,28:32
LAR,24,29:21,4,6:53,29,6:41,24,15:47,6,13:08,28,16:46,27,30:05
BUF,25,29:15,17,5:15,19,10:19,17,13:41,17,10:37,12,25:15,18,24:09
JAX,26,29:09,11,5:53,30,6:28,30,16:48,12,11:22,29,16:30,29,32:08
MIA,27,28:28,31,3:31,24,8:41,26,16:16,24,9:39,23,20:18,26,30:03
DEN,28,28:28,19,5:07,22,9:04,20,14:16,14,11:01,22,21:31,23,27:29
NYG,29,28:19,5,6:46,21,9:13,12,12:20,3,13:51,21,22:23,14,23:46
CHI,30,28:07,22,4:54,26,7:51,23,15:23,13,11:12,27,17:43,28,31:06
CLE,31,27:33,32,3:22,32,5:41,31,18:30,26,9:30,32,13:23,32,37:08
SF,32,26:48,27,4:40,31,5:49,27,16:18,29,9:06,31,14:45,30,36:09

