Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
BAL,1,25.49,1,25.88,3,25.11,1,26.17,1,26.25,3,23.28,2,29.02
DET,2,25.94,7,27.19,2,24.73,7,28.55,4,27.13,7,24.72,5,29.67
CIN,3,25.97,14,27.82,1,24.33,8,28.82,15,28.51,2,22.60,11,30.07
NO,4,26.57,3,26.96,4,26.19,4,28.12,13,28.25,6,24.60,7,29.99
CAR,5,26.73,4,26.97,5,26.50,13,29.43,2,26.45,15,26.23,1,28.78
KC,6,26.90,8,27.29,6,26.52,3,27.54,18,28.78,4,23.84,8,30.00
JAX,7,26.97,5,27.01,9,26.92,9,28.93,3,26.92,8,24.86,4,29.36
BUF,8,26.98,9,27.41,7,26.58,31,34.50,14,28.35,9,24.97,19,31.34
NYG,9,27.18,10,27.43,10,26.95,10,28.99,5,27.37,14,26.12,6,29.95
ARI,10,27.34,18,28.14,8,26.62,2,26.30,11,28.11,22,26.86,24,31.67
PHI,11,27.56,2,26.17,21,28.94,6,28.45,6,27.59,13,25.99,3,29.33
IND,12,27.66,15,27.90,13,27.40,12,29.10,9,27.94,17,26.36,16,30.78
SD,13,27.83,19,28.61,11,27.05,17,30.19,10,27.97,11,25.54,12,30.43
CHI,14,28.00,6,27.19,20,28.88,16,30.00,19,28.81,5,24.46,10,30.04
MIN,15,28.07,17,28.00,16,28.14,23,31.08,20,28.89,16,26.28,25,31.74
OAK,16,28.15,20,28.91,12,27.37,15,29.65,8,27.87,18,26.40,9,30.03
TB,17,28.23,21,28.95,14,27.48,18,30.21,23,29.21,1,22.08,27,31.91
DEN,18,28.40,16,27.92,19,28.87,14,29.50,28,29.73,10,25.42,18,30.95
SEA,19,28.47,13,27.81,24,29.15,5,28.41,26,29.35,19,26.50,13,30.44
CLE,20,28.61,22,29.01,17,28.23,21,30.66,16,28.58,25,27.24,14,30.49
TEN,21,28.68,27,29.54,15,27.85,25,31.74,17,28.67,23,26.98,31,33.05
NE,22,29.02,24,29.09,22,28.96,20,30.58,22,29.11,12,25.79,21,31.42
GB,23,29.18,12,27.65,29,30.80,28,32.44,7,27.64,20,26.73,15,30.68
SF,24,29.22,26,29.49,23,28.97,24,31.69,21,29.01,24,27.02,23,31.46
NYJ,25,29.25,31,30.02,18,28.53,11,29.01,29,29.94,28,27.48,28,32.02
WAS,26,29.30,25,29.36,25,29.25,29,32.50,27,29.38,29,27.63,26,31.76
MIA,27,29.60,28,29.60,27,29.60,26,31.95,24,29.33,30,27.97,30,32.33
DAL,28,29.69,29,29.66,28,29.73,30,32.51,30,30.51,27,27.38,22,31.46
STL,29,29.69,11,27.46,31,31.93,22,30.78,12,28.14,31,30.51,17,30.82
ATL,30,29.77,30,29.97,26,29.57,19,30.23,31,31.54,21,26.84,29,32.33
PIT,31,30.08,23,29.05,30,31.15,27,32.15,25,29.34,26,27.31,20,31.35
NFL,0,28.06,0,28.17,0,27.96,0,30.06,0,28.55,0,25.75,0,30.79

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
TEN,1,26.77,4,27.06,7,26.50,6,28.21,3,27.37,6,24.57,3,29.61
NE,2,26.79,6,27.58,2,26.04,26,31.53,7,28.07,2,24.06,14,30.58
PIT,3,26.83,19,28.42,1,25.44,25,31.39,16,28.59,5,24.50,22,31.04
CHI,4,26.95,8,27.69,3,26.25,28,31.79,5,27.52,4,24.16,7,30.24
OAK,5,27.15,10,27.89,8,26.52,4,27.16,15,28.57,14,25.48,10,30.44
SF,6,27.18,13,28.00,4,26.38,5,27.79,29,29.61,1,23.36,5,30.22
IND,7,27.23,1,26.46,17,27.97,9,29.48,1,27.08,18,25.81,4,29.78
SD,8,27.29,3,27.00,13,27.55,2,26.41,8,28.15,16,25.53,2,29.58
GB,9,27.29,16,28.09,6,26.47,31,33.06,14,28.55,7,24.72,6,30.22
SEA,10,27.33,5,27.33,11,27.32,8,28.89,4,27.50,20,26.01,1,29.14
CLE,11,27.34,9,27.73,10,26.96,14,30.22,2,27.24,17,25.79,16,30.67
STL,12,27.90,29,29.27,5,26.46,1,26.11,30,29.73,28,27.10,19,30.99
BAL,13,27.91,26,28.94,9,26.93,27,31.76,11,28.30,10,25.25,23,31.26
DEN,14,27.93,12,27.94,14,27.93,16,30.29,9,28.17,21,26.04,11,30.50
NYJ,15,27.94,22,28.55,12,27.34,17,30.34,18,28.74,11,25.33,28,31.77
TB,16,28.01,15,28.08,16,27.94,22,30.78,6,27.98,24,26.77,8,30.31
DAL,17,28.11,2,26.80,26,29.46,7,28.23,20,28.92,13,25.38,12,30.55
JAX,18,28.14,7,27.62,22,28.70,3,26.63,22,28.94,25,26.84,26,31.44
ARI,19,28.28,23,28.62,15,27.94,23,31.04,17,28.63,15,25.50,18,30.96
WAS,20,28.32,14,28.06,21,28.60,12,29.85,12,28.30,22,26.16,20,30.99
ATL,21,28.49,25,28.75,18,28.26,10,29.50,25,29.12,27,27.08,29,32.23
NYG,22,28.52,24,28.63,19,28.42,21,30.63,23,29.01,9,25.15,17,30.90
CIN,23,28.72,27,28.97,20,28.49,15,30.22,19,28.84,3,24.16,21,31.01
PHI,24,28.85,21,28.52,23,29.21,29,32.02,28,29.57,23,26.54,25,31.37
MIN,25,28.89,11,27.91,30,29.99,19,30.55,24,29.03,12,25.34,24,31.30
KC,26,28.91,20,28.46,25,29.35,11,29.59,13,28.51,30,29.22,15,30.63
CAR,27,28.94,18,28.28,28,29.65,13,29.98,21,28.92,26,27.00,13,30.58
DET,28,28.98,17,28.15,29,29.82,24,31.18,10,28.19,8,24.94,9,30.40
MIA,29,29.37,30,29.51,24,29.23,30,32.92,31,30.06,19,25.88,30,32.32
BUF,30,29.78,31,29.93,27,29.63,20,30.63,26,29.46,29,28.46,27,31.63
NO,31,30.03,28,29.19,31,30.94,18,30.52,27,29.53,31,30.06,31,32.49
NFL,0,28.06,0,28.17,0,27.96,0,30.06,0,28.55,0,25.75,0,30.79

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
PIT,1,34:04,1,9:05,2,19:05,2,5:54,2,15:43,2,35:02,2,9:15
STL,2,31:46,20,5:21,1,21:23,1,5:02,31,9:10,1,42:40,1,8:10
ATL,3,31:35,10,7:19,15,11:15,20,13:02,17,12:08,14,24:51,18,23:01
TB,4,31:35,4,8:16,10,12:42,8,10:36,9,14:19,9,26:46,6,18:55
TEN,5,31:27,3,8:26,13,11:39,13,11:22,6,14:49,15,24:35,10,20:36
SF,6,31:26,18,5:35,7,13:15,17,12:36,18,11:56,10,26:13,14,21:51
DEN,7,31:20,19,5:29,8,13:06,19,12:45,22,11:32,13,25:16,19,23:13
OAK,8,30:59,2,8:35,6,13:40,5,8:44,13,13:40,4,32:10,4,14:10
NE,9,30:43,12,7:08,3,15:56,3,7:39,16,12:11,3,33:55,3,13:54
CHI,10,30:35,13,6:50,9,13:00,9,10:45,12,13:43,7,27:01,7,19:16
IND,11,30:32,29,4:33,18,10:26,25,15:33,29,9:31,20,22:36,22,27:53
SD,12,30:30,9,7:25,16,10:30,16,12:35,1,17:01,21,21:28,12,21:31
DAL,13,30:16,7,7:32,26,7:35,24,15:09,5,14:55,27,16:43,25,28:22
WAS,14,30:12,8,7:29,22,8:27,22,14:15,7,14:28,25,17:26,24,28:06
MIA,15,30:04,11,7:12,14,11:36,11,11:15,10,14:09,17,23:28,16,22:23
NYG,16,29:41,23,5:15,19,10:25,21,14:01,19,11:53,16,23:28,20,24:39
SEA,17,29:39,6,7:33,12,11:53,7,10:13,14,13:32,11,25:57,9,20:31
BAL,18,29:39,14,6:47,20,10:07,18,12:44,8,14:23,19,22:39,17,22:59
GB,19,29:32,21,5:20,4,15:31,4,8:42,23,11:16,5,31:26,5,17:18
CIN,20,29:24,17,5:48,29,5:46,29,17:51,24,11:10,29,13:04,29,35:46
NO,21,29:24,26,4:49,24,8:16,26,16:19,30,9:29,24,17:39,28,32:52
NYJ,22,29:13,25,5:09,11,12:40,14,11:24,25,11:02,8,26:53,15,22:05
MIN,23,29:11,22,5:18,27,6:57,28,16:56,26,10:39,28,16:32,27,32:49
KC,24,29:10,5,8:16,23,8:23,15,12:31,3,15:38,23,19:10,21,25:12
BUF,25,29:01,24,5:11,31,3:49,31,20:02,11,13:44,31,8:53,30,37:23
PHI,26,28:38,31,4:15,5,14:50,6,9:33,28,10:12,6,30:10,8,19:38
DET,27,28:34,30,4:23,30,4:18,30,19:53,20,11:42,30,10:55,31,37:24
CLE,28,28:26,15,6:46,17,10:30,10,11:10,15,13:16,12,25:26,11,21:18
JAX,29,28:01,16,6:41,21,10:03,12,11:17,4,15:01,18,23:20,13,21:39
ARI,30,27:42,28,4:40,25,8:05,23,14:56,21,11:40,22,20:16,23,28:03
CAR,31,27:41,27,4:42,28,6:29,27,16:30,27,10:26,26,16:57,26,32:37

