Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NE,1,24.12,1,23.77,2,24.42,2,25.68,1,23.51,1,20.99,1,24.53
BAL,2,25.64,2,25.38,7,25.91,6,27.45,3,25.34,9,24.45,3,27.54
NO,3,25.69,6,26.43,5,24.94,12,29.35,2,25.12,8,24.18,4,27.82
PHI,4,25.73,7,26.56,4,24.90,1,24.09,4,26.64,11,24.61,8,29.23
DET,5,25.75,13,27.35,1,24.22,27,30.85,6,26.76,7,23.53,11,29.70
IND,6,25.84,3,25.74,8,25.94,13,29.39,9,27.18,4,22.32,10,29.47
JAX,7,26.35,17,27.85,3,24.84,3,26.52,22,28.91,5,23.16,18,30.69
CLE,8,26.36,9,26.93,6,25.78,14,29.47,5,26.73,14,24.94,5,28.26
MIN,9,26.52,8,26.76,10,26.28,4,27.10,24,29.05,2,22.00,12,29.72
OAK,10,26.58,11,27.07,9,26.15,24,30.61,10,27.45,19,25.69,17,30.57
DEN,11,26.73,4,26.12,18,27.35,8,28.30,8,27.06,6,23.23,2,27.45
TEN,12,26.88,10,26.99,16,26.78,10,28.96,17,28.27,12,24.70,20,31.04
ARI,13,26.94,14,27.35,13,26.52,25,30.71,11,27.50,15,25.40,14,30.11
GB,14,27.19,5,26.33,22,28.01,5,27.13,7,26.86,30,28.25,6,28.69
MIA,15,27.54,22,28.75,11,26.40,7,27.75,14,27.95,25,26.57,9,29.23
NYJ,16,27.55,20,28.14,17,26.94,21,30.41,23,29.05,10,24.58,15,30.43
STL,17,27.64,18,27.96,19,27.37,18,29.87,18,28.51,18,25.66,26,31.79
DAL,18,27.68,26,29.05,14,26.53,32,35.34,21,28.66,20,25.77,25,31.72
CIN,19,27.77,19,28.05,20,27.47,9,28.68,16,28.12,13,24.93,7,28.82
KC,20,27.83,27,29.28,12,26.49,28,30.96,28,29.91,21,25.88,24,31.57
NYG,21,27.83,15,27.36,23,28.39,11,29.03,13,27.88,24,26.43,19,30.79
TB,22,27.95,29,29.51,15,26.69,20,30.41,30,30.24,3,22.13,23,31.53
ATL,23,27.97,21,28.37,21,27.55,15,29.57,12,27.62,23,26.26,13,29.91
CAR,24,28.40,12,27.22,27,29.68,16,29.66,15,28.02,28,27.90,21,31.12
HOU,25,28.75,16,27.54,29,29.99,19,30.12,19,28.59,26,27.08,16,30.52
BUF,26,28.75,25,28.85,24,28.66,17,29.78,20,28.66,31,28.37,29,32.19
WAS,27,29.24,28,29.37,25,29.14,26,30.74,29,30.11,22,26.19,28,31.96
PIT,28,29.34,24,28.83,28,29.85,30,32.26,25,29.73,16,25.42,27,31.89
CHI,29,29.55,23,28.75,30,30.32,23,30.48,26,29.75,29,27.91,22,31.27
SD,30,29.94,31,30.26,26,29.63,31,32.92,27,29.79,17,25.55,30,32.79
SF,31,30.18,30,29.84,32,30.53,22,30.46,32,31.22,27,27.75,32,33.17
SEA,32,30.55,32,30.78,31,30.34,29,31.36,31,30.48,32,28.84,31,33.00
NFL,0,27.47,0,27.71,0,27.25,0,29.24,0,28.15,0,25.16,0,30.19

