Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
IND,1,25.74,1,26.39,3,25.02,2,27.25,1,25.57,8,24.40,1,28.36
DEN,2,25.93,2,26.67,5,25.23,5,27.80,4,26.94,7,24.34,2,28.80
DET,3,26.15,6,27.14,4,25.15,9,28.80,8,27.30,2,23.05,4,29.57
ARI,4,26.40,17,28.02,2,24.65,1,25.84,21,28.52,9,24.48,12,30.17
CAR,5,26.54,23,28.97,1,24.54,32,32.97,10,27.56,14,25.35,18,30.83
SEA,6,26.58,3,26.72,9,26.45,6,28.33,14,27.83,11,24.75,5,29.71
WAS,7,26.74,14,27.81,6,25.80,31,32.21,2,26.32,17,26.01,13,30.19
TEN,8,26.77,13,27.74,7,25.83,12,29.24,11,27.57,6,24.25,8,29.94
HOU,9,26.80,7,27.24,8,26.44,24,31.04,6,27.22,13,24.86,15,30.45
STL,10,27.26,9,27.47,11,27.04,8,28.71,15,28.04,4,23.94,6,29.73
MIA,11,27.42,10,27.49,13,27.35,20,30.40,5,27.20,18,26.31,11,30.14
OAK,12,27.70,16,27.90,17,27.50,25,31.06,12,27.76,10,24.72,19,30.96
NYJ,13,27.78,12,27.64,19,27.91,30,32.19,3,26.78,23,26.78,10,30.09
CIN,14,27.87,21,28.93,10,26.85,18,30.38,13,27.76,24,27.23,20,31.01
KC,15,27.88,15,27.85,18,27.90,15,29.80,17,28.16,1,23.01,16,30.63
NE,16,27.90,4,26.87,24,28.87,10,28.81,7,27.22,21,26.55,3,29.17
ATL,17,27.93,8,27.45,21,28.47,13,29.35,9,27.49,22,26.67,14,30.45
PHI,18,28.00,11,27.53,22,28.48,11,29.02,16,28.06,19,26.53,7,29.85
NO,19,28.12,5,27.06,27,29.12,3,27.28,20,28.52,29,28.02,17,30.63
BUF,20,28.13,20,28.89,16,27.49,14,29.47,19,28.50,27,27.43,21,31.07
DAL,21,28.25,25,29.20,12,27.34,4,27.37,25,29.86,16,25.99,29,32.54
SF,22,28.43,28,29.54,15,27.42,28,31.60,28,30.31,3,23.91,24,31.80
CLE,23,28.53,22,28.95,20,28.09,23,30.93,22,29.28,5,24.09,22,31.36
BAL,24,28.86,19,28.75,26,28.97,19,30.39,18,28.23,28,27.99,9,29.96
MIN,25,29.20,32,31.18,14,27.37,7,28.65,31,30.68,25,27.36,30,32.67
JAX,26,29.27,30,29.95,23,28.66,26,31.35,23,29.58,31,28.19,26,32.08
CHI,27,29.38,29,29.88,25,28.89,17,30.36,27,30.30,12,24.78,27,32.41
NYG,28,29.52,26,29.35,28,29.70,22,30.81,30,30.62,20,26.55,28,32.43
SD,29,29.63,27,29.42,29,29.84,29,31.96,24,29.81,26,27.43,25,31.98
GB,30,29.92,18,28.73,31,31.12,16,30.16,26,30.10,15,25.77,23,31.53
TB,31,30.15,31,30.22,30,30.09,27,31.49,32,30.75,30,28.15,31,32.92
PIT,32,30.20,24,29.04,32,31.44,21,30.68,29,30.46,32,28.43,32,33.34
NFL,0,27.96,0,28.28,0,27.65,0,29.79,0,28.44,0,25.78,0,30.84

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NYG,1,26.37,5,27.57,1,25.21,3,27.88,23,28.75,1,22.87,10,30.58
STL,2,26.62,4,27.17,5,26.12,1,25.09,10,27.97,14,25.52,1,29.43
