Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NE,1,24.76,1,23.43,7,25.99,1,26.26,1,23.90,10,24.45,1,26.43
IND,2,25.78,13,27.71,1,23.88,19,30.18,3,26.46,15,24.96,2,28.64
STL,3,26.06,5,26.74,3,25.37,6,28.22,9,27.29,14,24.92,4,29.11
TEN,4,26.41,14,27.74,2,25.22,5,27.85,10,27.32,3,23.46,17,30.53
SEA,5,26.45,8,27.21,5,25.71,15,29.58,2,26.40,9,24.31,6,29.34
MIN,6,26.64,15,27.75,4,25.45,13,29.25,4,26.54,21,25.85,9,29.86
DET,7,26.67,7,27.20,8,26.12,14,29.38,8,27.05,8,24.25,7,29.40
NO,8,26.68,2,25.69,19,27.65,3,27.69,6,26.79,7,24.17,3,28.99
CLE,9,26.72,12,27.56,6,25.96,12,29.15,14,27.84,12,24.65,15,30.50
NYG,10,26.94,4,26.56,17,27.30,10,28.78,15,27.89,13,24.69,12,30.17
KC,11,27.01,6,27.14,13,26.89,11,28.82,13,27.78,19,25.61,11,30.09
ARI,12,27.12,19,28.16,9,26.25,7,28.26,17,28.14,17,25.37,16,30.52
WAS,13,27.27,16,27.88,12,26.67,28,31.29,12,27.78,16,25.32,13,30.18
BAL,14,27.28,3,26.28,23,28.37,9,28.77,11,27.41,5,23.77,5,29.26
OAK,15,27.38,11,27.51,16,27.24,8,28.71,26,29.16,2,23.40,23,31.05
DEN,16,27.39,22,28.69,10,26.29,18,30.11,24,29.10,6,24.13,20,30.83
CIN,17,27.68,28,29.01,11,26.45,2,27.41,18,28.36,24,26.74,14,30.46
JAX,18,28.07,17,28.02,22,28.12,31,31.56,20,28.56,23,26.57,22,30.96
TB,19,28.08,29,29.09,15,27.13,4,27.80,27,29.29,30,27.56,32,33.50
NYJ,20,28.10,30,29.21,14,26.97,32,32.09,22,28.70,18,25.39,26,31.57
ATL,21,28.18,26,28.79,18,27.61,27,31.23,25,29.16,1,21.79,27,31.61
CAR,22,28.26,25,28.76,20,27.75,17,30.10,23,28.83,20,25.62,30,31.97
PHI,23,28.28,10,27.44,27,29.23,20,30.20,7,26.84,31,27.63,10,30.02
BUF,24,28.33,18,28.15,24,28.50,24,30.56,21,28.66,26,26.82,25,31.47
DAL,25,28.63,32,29.55,21,27.77,26,30.89,16,27.98,27,26.88,28,31.87
MIA,26,28.64,24,28.75,25,28.53,29,31.39,30,29.68,4,23.49,19,30.70
SD,27,28.78,20,28.20,28,29.31,21,30.36,31,30.01,22,26.04,29,31.95
GB,28,28.80,9,27.32,30,30.29,22,30.42,5,26.68,32,28.83,8,29.72
CHI,29,28.89,23,28.70,26,29.07,16,29.73,28,29.38,29,27.40,24,31.11
HOU,30,29.01,21,28.59,29,29.47,30,31.39,19,28.50,11,24.58,21,30.94
SF,31,29.56,27,28.83,31,30.38,23,30.50,29,29.49,28,26.97,18,30.65
PIT,32,29.95,31,29.37,32,30.50,25,30.75,32,30.24,25,26.75,31,32.03
NFL,0,27.61,0,27.83,0,27.40,0,29.74,0,28.05,0,25.41,0,30.45

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NO,1,26.22,14,27.56,2,24.91,6,28.02,6,26.98,12,25.13,21,30.74
HOU,2,26.35,2,26.66,10,26.06,5,28.00,1,25.66,26,26.55,2,29.11
OAK,3,26.37,5,27.01,4,25.79,17,30.01,5,26.71,3,23.41,4,29.69
GB,4,26.39,18,27.93,1,24.84,32,32.35,8,27.40,15,25.45,23,30.75
DET,5,26.41,1,26.41,12,26.42,3,27.70,10,27.59,5,23.94,17,30.51
CHI,6,26.55,9,27.33,5,25.80,27,31.20,4,26.49,8,24.21,10,30.25
PIT,7,26.56,7,27.15,7,25.94,30,31.91,2,26.01,16,25.86,1,28.63
MIA,8,26.62,4,27.01,11,26.28,4,27.72,18,28.15,7,24.11,12,30.28
NYG,9,26.65,10,27.41,6,25.85,12,29.61,3,26.32,14,25.41,8,30.08
SF,10,26.89,17,27.91,8,25.98,1,26.18,25,29.14,6,24.06,26,30.96
ATL,11,27.18,16,27.75,13,26.64,7,28.06,16,28.06,20,26.05,13,30.35
ARI,12,27.28,3,26.99,18,27.59,11,29.20,9,27.49,2,23.39,11,30.25
NYJ,13,27.29,6,27.04,16,27.53,16,29.99,11,27.71,4,23.80,6,30.04
PHI,14,27.36,8,27.15,17,27.56,18,30.01,12,27.75,23,26.20,24,30.77
BAL,15,27.37,29,28.88,9,25.99,29,31.39,24,28.89,11,24.92,15,30.42
CIN,16,27.55,12,27.50,19,27.61,24,30.50,15,28.01,9,24.45,16,30.44
NE,17,27.68,32,29.75,3,25.57,2,27.11,32,29.77,22,26.05,22,30.75
TEN,18,27.84,27,28.57,14,27.14,31,31.92,27,29.23,1,23.23,29,31.40
CLE,19,27.85,26,28.37,15,27.35,14,29.65,7,26.98,28,26.73,19,30.55
BUF,20,27.87,11,27.44,22,28.33,23,30.31,22,28.43,10,24.75,14,30.35
DEN,21,28.01,13,27.55,25,28.47,8,28.14,21,28.40,18,25.90,9,30.19
WAS,22,28.15,19,27.95,23,28.34,26,30.83,14,27.98,13,25.24,3,29.52
DAL,23,28.33,25,28.29,24,28.37,28,31.38,13,27.80,30,27.22,7,30.06
MIN,24,28.40,21,28.06,26,28.70,19,30.11,20,28.34,25,26.49,25,30.85
SD,25,28.41,28,28.86,20,27.96,13,29.62,28,29.35,27,26.62,32,31.58
SEA,26,28.50,22,28.10,27,28.89,9,28.62,31,29.75,21,26.05,20,30.67
CAR,27,28.50,30,28.99,21,28.05,25,30.80,19,28.33,31,27.52,30,31.40
JAX,28,28.60,24,28.16,28,29.10,20,30.20,23,28.52,17,25.89,28,31.15
STL,29,28.72,15,27.61,30,29.86,10,28.92,26,29.14,24,26.32,18,30.51
TB,30,28.79,20,27.99,29,29.66,15,29.91,17,28.10,19,25.91,5,29.84
KC,31,29.49,31,29.01,31,29.98,22,30.28,29,29.47,32,28.10,27,31.03
IND,32,29.61,23,28.13,32,31.12,21,30.27,30,29.60,29,27.03,31,31.46
NFL,0,27.61,0,27.83,0,27.40,0,29.74,0,28.05,0,25.41,0,30.45

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
HOU,1,32:41,5,6:54,3,18:06,3,7:40,25,10:21,2,37:03,2,12:36
PIT,2,32:33,25,5:15,4,18:03,7,9:15,24,10:49,4,33:49,7,15:21
ATL,3,32:10,11,6:34,8,15:15,9,10:20,21,11:04,9,30:24,9,18:32
SF,4,32:00,21,5:46,5,17:07,6,9:08,12,12:45,8,32:44,5,14:31
SD,5,31:48,15,6:23,11,13:11,17,12:15,17,11:34,11,27:15,12,21:11
NO,6,31:43,30,4:12,2,18:25,5,9:06,30,8:49,3,36:10,6,15:01
PHI,7,31:20,23,5:35,7,16:03,8,9:42,27,10:06,7,32:57,8,16:58
DAL,8,31:08,7,6:54,13,12:36,15,11:38,10,13:24,15,26:10,11,20:26
NYJ,9,30:49,13,6:24,19,9:29,23,14:56,6,14:09,22,18:50,21,27:01
BAL,10,30:35,14,6:23,6,16:56,1,7:16,16,12:02,5,33:49,4,14:09
GB,11,30:29,32,2:38,1,20:30,2,7:20,32,7:19,1,41:22,1,11:19
MIA,12,30:23,18,6:11,10,13:32,10,10:40,20,11:21,10,28:49,10,19:51
CIN,13,30:19,12,6:33,21,8:55,22,14:51,9,13:33,20,20:47,18,25:40
CHI,14,30:17,17,6:13,12,12:41,12,11:23,15,12:02,13,26:46,13,21:11
CAR,15,30:16,8,6:52,14,11:54,13,11:29,18,11:33,12,26:50,14,21:37
BUF,16,30:11,10,6:38,20,9:21,19,14:12,7,13:58,21,19:34,19,26:28
WAS,17,30:05,2,7:29,26,6:23,28,16:14,3,14:46,26,15:27,25,29:47
DET,18,30:02,29,4:27,17,10:55,21,14:41,31,8:34,17,24:54,20,26:32
JAX,19,30:02,3,7:26,23,8:31,18,14:05,5,14:23,25,16:50,23,28:47
OAK,20,29:47,19,6:10,15,11:53,16,11:45,23,10:51,14,26:40,15,22:29
NYG,21,29:30,1,7:35,25,6:44,24,15:11,4,14:34,24,18:21,22,27:05
CLE,22,29:06,4,6:59,27,6:11,26,15:56,8,13:57,27,14:18,28,31:45
KC,23,29:04,27,5:13,24,7:59,25,15:53,26,10:19,23,18:33,27,31:08
TB,24,29:01,31,3:45,30,4:15,32,21:01,29,8:55,32,9:17,32,41:48
DEN,25,28:49,9,6:40,28,5:35,29,16:33,11,13:20,29,14:09,29,32:31
NE,26,28:47,20,5:54,9,14:44,4,8:10,13,12:39,6,33:36,3,13:44
MIN,27,28:43,22,5:45,22,8:41,20,14:18,28,9:33,18,21:28,24,28:59
SEA,28,28:19,16,6:20,18,10:22,14,11:36,1,15:48,19,20:53,17,23:19
STL,29,28:04,26,5:14,31,4:12,31,18:37,22,10:58,30,10:53,31,38:09
ARI,30,27:54,6,6:54,29,4:57,27,16:04,2,15:33,28,14:09,26,30:18
TEN,31,27:54,24,5:31,16,11:11,11,11:12,19,11:25,16,25:48,16,22:48
IND,32,26:13,28,4:44,32,3:01,30,18:28,14,12:35,31,9:55,30,37:30

