Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
MIA,1,25.96,5,27.22,1,24.91,1,27.92,1,25.98,14,25.45,4,29.36
SEA,2,26.33,1,25.68,6,27.03,4,28.21,4,27.36,2,23.69,1,28.32
OAK,3,26.57,4,26.96,3,26.15,8,28.71,2,26.95,15,25.49,5,29.43
SF,4,26.82,16,28.27,2,25.54,21,30.56,20,29.07,4,24.43,21,31.41
NO,5,27.00,6,27.22,5,26.78,19,30.44,7,27.61,17,25.83,11,30.43
GB,6,27.01,3,26.69,9,27.32,25,30.95,5,27.41,3,24.02,9,30.22
CIN,7,27.25,13,27.85,4,26.65,2,28.11,6,27.57,20,26.19,2,28.97
CHI,8,27.48,14,27.86,8,27.11,22,30.84,8,27.64,23,26.52,16,30.97
IND,9,27.76,2,26.48,27,29.21,13,29.51,3,27.30,13,25.45,3,29.23
DET,10,27.79,18,28.43,7,27.08,5,28.23,14,28.81,21,26.24,10,30.38
KC,11,27.80,10,27.59,16,27.99,20,30.53,9,27.80,19,25.95,13,30.72
ARI,12,27.84,9,27.59,18,28.10,16,29.82,18,29.06,11,25.36,20,31.39
PHI,13,27.84,17,28.38,10,27.35,7,28.53,11,28.24,6,24.78,6,29.84
BAL,14,27.91,15,28.10,14,27.70,6,28.42,12,28.60,8,25.12,19,31.38
NE,15,28.13,7,27.32,24,29.01,14,29.58,10,28.06,1,20.64,7,29.95
NYG,16,28.24,23,28.78,12,27.67,9,28.87,29,30.03,7,24.82,22,31.49
TEN,17,28.27,26,28.84,13,27.69,17,30.07,23,29.35,12,25.38,17,31.11
HOU,18,28.30,24,28.81,15,27.80,27,31.14,22,29.31,18,25.89,32,32.74
CAR,19,28.33,27,29.08,11,27.63,28,31.47,15,28.90,9,25.20,31,32.50
ATL,20,28.36,12,27.83,23,28.92,12,29.40,19,29.06,16,25.53,15,30.95
DEN,21,28.37,8,27.58,26,29.12,18,30.18,21,29.09,5,24.59,8,30.11
DAL,22,28.57,19,28.47,21,28.68,15,29.67,13,28.63,30,27.93,25,31.65
CLE,23,28.59,21,28.63,20,28.55,11,29.13,28,29.96,25,26.91,18,31.14
WAS,24,28.67,25,28.82,19,28.52,32,32.25,16,29.00,10,25.29,14,30.91
BUF,25,28.73,11,27.74,28,29.60,10,29.00,26,29.73,22,26.49,12,30.59
JAX,26,28.80,29,29.55,17,28.09,24,30.93,17,29.03,26,27.31,28,32.16
MIN,27,28.91,22,28.76,25,29.06,3,28.18,27,29.95,29,27.74,26,31.91
TB,28,29.35,31,29.90,22,28.76,30,31.66,24,29.53,32,28.22,24,31.61
STL,29,29.49,28,29.36,29,29.61,23,30.85,31,30.80,28,27.36,29,32.44
SD,30,29.69,20,28.55,31,30.79,26,30.99,25,29.55,24,26.71,23,31.57
NYJ,31,30.44,32,30.30,30,30.59,29,31.52,30,30.68,27,27.31,30,32.44
PIT,32,31.17,30,29.81,32,32.60,31,32.08,32,31.21,31,28.10,27,32.04
NFL,0,28.18,0,28.19,0,28.16,0,29.95,0,28.80,0,25.85,0,30.91

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SD,1,26.84,22,28.66,1,25.02,31,31.80,7,28.13,11,25.15,14,30.71
KC,2,27.04,1,26.54,13,27.60,4,28.37,1,27.43,16,25.50,1,29.37
TEN,3,27.21,10,27.78,4,26.69,3,28.28,8,28.19,13,25.23,8,30.39
STL,4,27.25,5,27.29,5,27.20,7,28.94,4,27.69,4,24.43,6,30.29
NE,5,27.25,15,28.05,3,26.51,32,32.96,23,29.27,7,24.92,25,31.63
PIT,6,27.44,26,28.85,2,26.09,17,30.30,18,28.89,17,25.51,20,30.94
WAS,7,27.59,13,27.98,7,27.21,1,27.79,15,28.78,9,25.11,15,30.83
CAR,8,27.62,8,27.76,9,27.48,10,29.57,19,29.04,3,23.85,10,30.50
SEA,9,27.66,16,28.07,8,27.27,18,30.33,5,27.86,15,25.43,11,30.54
CIN,10,27.67,3,27.09,16,28.25,8,29.05,14,28.70,6,24.82,12,30.56
ARI,11,27.70,18,28.22,6,27.21,11,29.71,10,28.39,1,22.70,7,30.30
MIN,12,27.72,11,27.97,10,27.48,28,31.19,2,27.54,18,25.90,5,30.24
NO,13,27.80,2,26.92,22,28.75,5,28.42,6,28.03,8,25.02,2,29.57
DEN,14,27.82,6,27.45,17,28.26,16,30.03,27,29.44,10,25.11,24,31.62
NYJ,15,27.95,9,27.78,14,28.11,2,28.25,28,29.52,12,25.22,22,31.16
BUF,16,28.14,23,28.68,11,27.52,9,29.41,13,28.67,27,26.96,21,30.97
IND,17,28.14,24,28.74,12,27.58,25,31.07,32,30.20,20,26.33,30,31.93
BAL,18,28.16,7,27.75,19,28.54,24,31.07,17,28.88,19,26.06,13,30.65
CHI,19,28.19,14,28.00,18,28.39,6,28.85,12,28.65,5,24.79,17,30.92
DET,20,28.32,4,27.13,27,29.43,21,30.51,3,27.66,28,27.37,16,30.84
