Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
IND,29,28.48,16,27.69,30,29.31,30,31.98,18,28.73,24,26.25,29,31.77
ARI,30,28.48,27,28.66,22,28.32,25,30.85,12,28.13,27,26.60,24,31.12
WAS,31,28.70,21,27.92,31,29.44,18,29.66,23,28.86,15,25.23,14,30.50
LAC,32,29.67,29,29.04,32,30.27,32,33.11,27,29.17,29,26.65,30,32.32
NFL,0,27.63,0,27.72,0,27.54,0,29.45,0,28.45,0,25.18,0,30.63

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
BAL,1,34:33,1,7:33,1,21:32,1,5:28,11,12:22,1,38:54,1,8:44
PHI,2,32:48,19,5:15,14,11:12,25,16:21,30,8:49,18,23:24,23,27:47
NO,3,32:19,7,6:38,2,17:58,3,7:43,15,11:53,3,35:51,2,12:17
NE,4,31:42,17,5:26,3,17:37,4,8:39,23,10:09,4,34:23,5,15:28
GB,5,31:28,32,3:28,6,15:38,10,12:22,32,7:39,6,32:27,8,19:55
SF,6,31:26,9,6:11,5,16:35,5,8:41,3,12:49,5,33:44,4,13:27
OAK,7,31:01,4,7:17,12,11:35,9,12:10,18,11:20,10,27:16,9,21:24
ATL,8,30:56,11,5:52,25,8:11,28,16:53,27,9:19,25,19:44,26,30:57
TB,9,30:55,25,4:57,10,11:47,22,14:11,29,9:02,11,26:34,16,24:24
SEA,10,30:45,22,5:07,19,10:17,23,15:21,14,11:53,21,21:51,19,26:16
JAX,11,30:29,31,4:11,30,5:26,32,20:51,19,10:59,31,11:38,32,37:23
LAC,12,30:28,20,5:14,23,9:04,24,16:11,20,10:49,23,20:20,25,28:51
CHI,13,30:16,14,5:38,15,10:51,19,13:47,17,11:43,22,21:47,21,26:30
IND,14,30:11,2,7:19,18,10:23,12,12:29,5,12:42,16,24:29,13,22:49
HOU,15,30:02,5,7:11,20,9:38,16,13:14,2,14:35,19,22:14,14,23:11
BUF,16,29:59,10,6:09,13,11:15,13,12:35,6,12:35,15,24:49,12,22:36
CLE,17,29:43,28,4:49,16,10:50,21,14:03,31,8:22,13,25:04,22,26:35
DAL,18,29:33,18,5:21,11,11:43,11,12:29,22,10:30,14,24:52,17,24:38
KC,19,29:27,29,4:45,4,17:04,2,7:38,24,10:05,2,37:23,3,12:32
CIN,20,29:25,30,4:41,31,4:55,31,19:49,13,11:54,30,12:39,30,35:28
DEN,21,29:21,21,5:13,9,12:22,8,11:46,26,9:53,9,28:26,10,21:41
LAR,22,29:01,6,6:46,8,13:34,6,8:42,7,12:33,8,29:42,7,17:45
CAR,23,28:55,12,5:46,27,6:44,26,16:24,12,12:00,27,16:20,27,31:41
NYJ,24,28:53,23,5:05,17,10:44,15,13:04,28,9:05,17,24:26,20,26:29
DET,25,28:52,8,6:35,21,9:33,14,12:45,9,12:27,12,25:51,11,21:42
MIN,26,28:50,15,5:31,7,14:24,7,8:54,25,9:59,7,32:18,6,17:43
PIT,27,28:48,13,5:42,22,9:22,18,13:44,10,12:25,20,22:02,18,25:34
TEN,28,28:31,3,7:18,26,7:53,17,13:21,1,17:13,26,19:27,15,23:20
MIA,29,28:30,16,5:30,28,6:20,27,16:40,21,10:36,28,16:00,28,33:24
NYG,30,28:22,27,4:52,29,5:40,29,17:50,4,12:44,29,13:52,29,33:25
ARI,31,27:20,24,5:04,24,8:22,20,13:55,16,11:45,24,19:53,24,28:21
WAS,32,27:12,26,4:56,32,3:58,30,18:18,8,12:31,32,11:04,31,36:25

