Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SD,1,25.09,2,25.27,4,24.89,4,26.76,2,26.11,2,22.04,1,27.63
BUF,2,25.30,1,24.89,5,25.65,2,25.84,1,25.93,7,23.59,2,27.77
BAL,3,25.40,4,26.63,1,24.14,3,26.11,5,26.60,8,23.60,7,29.24
NYJ,4,25.70,12,27.16,2,24.25,8,28.24,9,27.74,3,22.69,23,31.22
NE,5,25.96,3,25.98,7,25.93,7,28.01,3,26.12,5,23.00,3,27.83
ARI,6,25.97,16,27.54,3,24.71,6,27.74,13,28.14,6,23.29,11,29.71
DET,7,26.47,11,27.07,6,25.91,9,28.35,17,28.35,9,24.29,6,29.20
SEA,8,26.77,7,26.83,12,26.72,11,28.57,6,27.31,15,25.11,13,29.95
STL,9,27.02,15,27.48,10,26.58,15,28.91,18,28.36,13,24.98,15,30.01
WAS,10,27.16,10,26.94,15,27.38,16,29.16,4,26.56,19,25.52,5,29.06
CHI,11,27.27,18,28.13,8,26.46,21,30.03,20,28.65,4,22.89,22,31.04
CIN,12,27.37,8,26.90,16,27.83,1,25.70,11,27.98,24,26.80,4,29.04
KC,13,27.53,22,28.40,11,26.61,26,30.95,7,27.60,14,25.04,20,30.76
CAR,14,27.67,6,26.79,20,28.58,14,28.85,15,28.28,10,24.78,8,29.27
MIN,15,27.83,23,28.56,14,27.11,5,27.48,16,28.30,21,26.23,14,29.98
PHI,16,27.95,14,27.24,22,28.75,18,29.29,8,27.67,23,26.77,16,30.08
NO,17,27.95,27,29.47,9,26.48,23,30.87,26,29.92,18,25.51,26,32.19
PIT,18,28.04,13,27.21,23,28.90,20,29.81,14,28.25,12,24.95,12,29.74
NYG,19,28.11,26,29.30,13,26.95,10,28.36,24,29.77,20,25.79,19,30.67
