Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
LAC,1,26.07,6,26.82,4,25.37,5,27.28,5,27.21,1,22.41,6,29.48
DAL,2,26.30,2,26.05,10,26.61,12,28.29,1,25.53,15,25.41,1,28.38
JAX,3,26.51,11,27.80,2,25.32,9,27.90,10,28.02,18,25.61,19,31.36
TB,4,26.58,1,25.36,20,27.88,3,26.92,4,27.16,8,24.46,2,28.66
PIT,5,26.63,26,29.20,1,24.55,13,29.00,13,28.10,6,24.04,10,30.31
SEA,6,26.68,5,26.77,9,26.60,10,27.93,3,27.12,9,24.48,8,30.18
NYJ,7,26.77,17,28.47,3,25.33,1,26.47,22,29.14,12,25.15,13,30.68
MIN,8,26.97,10,27.50,7,26.49,11,28.03,9,27.91,4,23.50,17,31.15
KC,9,27.06,4,26.69,16,27.42,8,27.87,14,28.17,2,22.65,3,29.20
NYG,10,27.09,23,29.02,5,25.51,18,29.50,21,29.11,10,24.53,12,30.54
LAR,11,27.24,13,27.89,8,26.54,16,29.38,12,28.08,3,23.06,4,29.27
ARI,12,27.41,7,27.13,17,27.67,14,29.20,15,28.17,5,23.53,7,30.07
DET,13,27.43,14,28.00,13,26.89,2,26.88,25,29.62,16,25.48,29,32.64
BUF,14,27.50,8,27.25,18,27.75,17,29.45,2,26.43,11,25.03,9,30.24
MIA,15,27.63,3,26.56,25,28.84,19,29.54,8,27.73,17,25.50,15,31.04
PHI,16,27.63,9,27.46,19,27.80,22,30.09,6,27.24,23,26.35,5,29.31
CAR,17,27.68,19,28.67,11,26.70,26,30.68,19,28.72,7,24.08,18,31.32
ATL,18,27.75,15,28.15,15,27.32,15,29.26,7,27.53,26,27.53,11,30.35
HOU,19,27.77,27,29.43,6,26.14,4,27.21,30,30.45,13,25.26,23,32.16
BAL,20,27.86,22,28.93,12,26.87,20,29.98,18,28.67,14,25.29,26,32.42
CHI,21,28.02,21,28.83,14,27.22,6,27.34,16,28.49,28,27.84,22,31.88
LV,22,28.16,12,27.82,23,28.47,27,31.23,17,28.61,20,26.10,16,31.06
