Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
PHI,1,22.21,1,22.05,1,22.36,1,25.25,1,22.10,1,20.79,1,23.94
NYG,2,25.20,2,24.83,6,25.57,5,28.24,2,25.16,4,22.99,4,28.50
HOU,3,25.58,3,25.32,8,25.86,12,28.98,8,26.68,2,22.64,3,28.28
JAX,4,25.75,5,26.41,3,25.10,17,29.56,7,26.64,5,23.85,10,29.50
SF,5,25.78,10,26.95,2,24.59,9,28.57,3,26.03,14,25.23,5,28.57
BAL,6,26.12,13,27.09,4,25.30,3,26.88,4,26.25,20,25.78,7,29.37
TB,7,26.36,11,27.03,7,25.78,11,28.91,14,27.56,7,24.17,14,29.90
MIA,8,26.46,4,26.20,13,26.71,13,29.00,10,26.93,18,25.46,16,30.13
NE,9,26.73,6,26.47,15,26.98,2,26.84,11,27.18,9,24.61,2,28.24
GB,10,26.77,14,27.35,10,26.20,6,28.45,5,26.59,12,25.06,8,29.40
DEN,11,26.86,12,27.04,12,26.70,14,29.12,6,26.64,16,25.31,6,28.92
IND,12,26.91,17,27.71,9,26.19,7,28.51,16,27.74,11,25.01,11,29.63
NO,13,26.93,22,28.56,5,25.49,4,28.23,12,27.19,15,25.25,9,29.46
SD,14,26.99,8,26.82,16,27.15,21,30.00,15,27.67,17,25.34,13,29.74
PIT,15,27.12,7,26.61,19,27.69,8,28.57,9,26.81,26,26.85,19,30.55
NYJ,16,27.23,15,27.58,14,26.89,19,29.86,18,28.11,3,22.79,15,30.11
OAK,17,27.45,23,28.70,11,26.34,15,29.13,20,28.20,13,25.09,20,30.61
CLE,18,27.72,19,27.92,17,27.51,26,30.61,17,28.04,27,26.90,21,31.03
CAR,19,28.13,9,26.91,29,29.36,10,28.76,13,27.47,32,29.01,12,29.74
ATL,20,28.19,18,27.83,25,28.55,16,29.48,21,28.25,29,27.54,17,30.38
CHI,21,28.46,27,29.35,18,27.61,30,31.92,22,28.36,31,28.22,27,31.74
STL,22,28.55,21,28.40,26,28.69,20,29.87,28,29.65,22,26.34,28,31.93
TEN,23,28.61,26,29.21,20,28.03,32,37.76,19,28.20,30,27.70,25,31.70
DET,24,28.70,25,29.15,24,28.29,23,30.33,32,31.06,6,24.03,30,32.73
ARI,25,28.72,16,27.59,31,29.90,18,29.79,24,29.03,8,24.50,22,31.04
BUF,26,28.86,28,29.53,21,28.15,27,31.04,27,29.51,24,26.71,23,31.39
MIN,27,28.93,20,28.39,30,29.55,22,30.09,25,29.06,28,27.12,24,31.57
SEA,28,29.05,24,28.98,28,29.11,25,30.43,23,28.86,23,26.56,26,31.70
CIN,29,29.10,30,30.09,22,28.22,24,30.37,26,29.14,19,25.60,18,30.52
WAS,30,29.25,31,30.20,23,28.28,29,31.49,30,30.22,10,24.74,29,32.49
KC,31,29.94,29,29.88,32,30.00,28,31.31,29,30.13,25,26.79,32,33.71
DAL,32,29.95,32,30.97,27,28.91,31,33.74,31,30.99,21,26.28,31,32.95
NFL,0,27.42,0,27.68,0,27.17,0,29.45,0,27.84,0,25.35,0,30.24

