Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SF,1,25.58,3,25.73,2,25.43,6,28.89,6,26.99,3,23.01,5,29.31
NYG,2,25.99,7,26.94,1,25.12,14,29.41,5,26.70,7,24.02,3,29.10
BUF,3,26.08,4,25.98,7,26.18,8,28.96,3,26.49,1,22.55,9,29.63
CLE,4,26.35,9,27.27,3,25.47,4,28.28,19,28.64,9,24.38,22,31.19
NE,5,26.50,2,25.53,13,27.58,2,27.61,2,26.36,4,23.60,2,27.92
TB,6,26.74,6,26.75,8,26.72,1,27.44,1,26.35,29,27.02,11,29.83
BAL,7,27.08,5,26.31,18,27.81,13,29.40,18,28.57,2,22.89,6,29.42
ARI,8,27.20,22,28.40,5,26.01,23,30.55,7,27.01,18,25.75,16,30.72
SEA,9,27.29,13,27.57,9,27.02,22,30.44,8,27.23,23,26.16,12,30.02
DEN,10,27.31,10,27.32,10,27.31,24,30.69,11,27.75,17,25.72,10,29.64
HOU,11,27.50,11,27.35,15,27.65,5,28.74,15,28.30,22,25.85,8,29.57
GB,12,27.57,31,29.85,4,25.73,18,29.87,30,29.84,12,25.30,25,31.54
CIN,13,27.68,12,27.45,19,27.94,12,29.09,10,27.54,28,26.78,4,29.23
LAR,14,27.72,1,25.37,31,30.02,21,30.21,4,26.63,10,24.69,1,27.90
LAC,15,27.78,8,27.21,25,28.39,10,29.02,13,28.19,13,25.32,14,30.43
IND,16,27.79,21,28.26,11,27.34,16,29.45,20,28.64,11,25.19,23,31.21
MIA,17,27.80,30,29.82,6,26.05,28,31.68,31,30.09,16,25.71,29,32.02
JAX,18,27.92,19,28.16,16,27.65,17,29.69,14,28.29,6,23.95,13,30.12
DAL,19,28.06,24,28.48,14,27.61,3,28.13,22,28.77,15,25.52,19,30.98
ATL,20,28.14,18,28.12,21,28.17,9,28.99,17,28.46,21,25.80,21,31.14
DET,21,28.21,20,28.19,22,28.22,29,31.75,16,28.35,20,25.76,27,31.70
PIT,22,28.25,15,27.95,26,28.56,19,29.96,12,27.97,26,26.57,26,31.69
WAS,23,28.31,28,29.08,12,27.56,20,29.96,23,28.79,19,25.75,18,30.95
PHI,24,28.32,16,27.98,27,28.68,7,28.93,24,28.95,5,23.89,17,30.75
MIN,25,28.46,14,27.85,28,29.08,25,30.97,9,27.50,14,25.43,7,29.50
TEN,26,28.51,26,28.73,23,28.30,15,29.42,21,28.66,31,27.50,28,31.72
OAK,27,28.55,29,29.47,17,27.71,30,31.82,29,29.28,25,26.56,30,32.50
NYJ,28,28.61,27,28.93,24,28.32,32,32.40,28,29.25,24,26.46,24,31.39
NO,29,28.81,17,28.00,30,29.57,27,31.55,25,29.01,8,24.13,15,30.53
KC,30,28.85,23,28.46,29,29.22,11,29.03,27,29.24,30,27.08,31,32.57
CHI,31,29.16,32,30.35,20,28.14,31,32.09,32,30.58,27,26.78,32,33.31
CAR,32,29.35,25,28.65,32,30.07,26,31.40,26,29.07,32,28.11,20,30.98
NFL,0,27.72,0,27.81,0,27.63,0,29.82,0,28.18,0,25.43,0,30.55

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
PHI,1,26.27,5,26.95,4,25.62,4,28.19,5,27.39,11,24.61,8,29.98
BAL,2,26.46,3,26.81,6,26.08,2,27.83,6,27.59,10,24.60,2,29.56
KC,3,26.57,18,27.91,2,25.23,11,29.12,7,27.60,8,24.44,9,30.20
NE,4,26.84,21,28.01,5,25.76,18,30.04,21,28.28,16,25.28,19,30.55
MIN,5,26.85,32,29.38,1,24.60,7,28.51,31,29.94,4,23.82,30,31.98
TEN,6,26.91,7,27.04,9,26.78,10,29.10,4,27.33,3,23.76,5,29.70
WAS,7,26.92,1,26.20,18,27.68,9,28.99,3,27.26,13,24.80,12,30.24
NO,8,26.95,26,28.49,3,25.39,3,28.08,22,28.38,14,25.26,28,31.47
NYJ,9,27.01,6,27.03,12,26.99,6,28.32,20,28.27,2,22.47,4,29.67
CAR,10,27.02,9,27.25,10,26.78,26,31.18,1,26.80,15,25.28,1,28.98
JAX,11,27.13,14,27.71,8,26.66,13,29.52,9,27.67,19,25.46,17,30.50
DET,12,27.24,13,27.52,11,26.97,5,28.22,8,27.65,21,26.04,11,30.23
LAR,13,27.30,17,27.87,7,26.62,1,25.93,12,27.96,28,26.97,10,30.22
SEA,14,27.31,11,27.37,14,27.25,28,31.24,2,27.08,12,24.68,3,29.58
ARI,15,27.38,2,26.50,21,28.20,15,29.68,11,27.92,9,24.58,15,30.42
SF,16,27.87,8,27.12,24,28.59,16,29.79,27,28.71,1,21.84,6,29.79
CIN,17,27.91,12,27.45,23,28.36,32,32.18,23,28.43,7,24.38,16,30.46
DAL,18,27.95,25,28.46,16,27.49,20,30.33,30,29.33,17,25.28,27,31.34
DEN,19,27.96,19,27.93,19,27.99,8,28.61,10,27.89,27,26.64,20,30.69
PIT,20,28.06,30,29.18,13,27.03,27,31.22,15,28.04,29,27.20,26,31.32
BUF,21,28.08,23,28.13,20,28.03,25,31.12,14,28.04,23,26.18,13,30.32
NYG,22,28.10,4,26.95,27,29.32,14,29.60,19,28.22,18,25.30,22,30.76
TB,23,28.18,22,28.05,22,28.32,22,30.62,13,28.02,6,24.36,7,29.97
ATL,24,28.20,28,29.04,15,27.44,29,31.25,17,28.14,30,27.47,32,32.35
LAC,25,28.24,29,29.04,17,27.52,31,31.30,28,28.78,20,25.97,24,31.03
IND,26,28.45,16,27.80,26,29.07,30,31.28,16,28.12,26,26.54,14,30.41
HOU,27,28.57,10,27.25,30,30.02,12,29.26,18,28.21,32,28.78,23,30.88
MIA,28,28.67,15,27.75,29,29.68,17,29.86,25,28.62,5,24.35,31,32.14
OAK,29,28.81,27,29.00,25,28.61,24,30.75,24,28.59,24,26.39,18,30.55
GB,30,28.96,20,27.97,31,30.07,21,30.35,26,28.66,31,27.71,25,31.04
CHI,31,29.38,31,29.24,28,29.53,19,30.05,32,30.42,22,26.05,29,31.60
CLE,32,29.64,24,28.25,32,31.11,23,30.72,29,29.24,25,26.47,21,30.71
NFL,0,27.72,0,27.81,0,27.63,0,29.82,0,28.18,0,25.43,0,30.55

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
PHI,1,32:41,11,7:05,5,16:48,5,8:49,5,15:07,4,32:37,1,12:15
MIN,2,32:26,21,6:10,4,16:57,9,9:19,12,13:31,6,32:05,4,14:24
CAR,3,32:17,5,7:23,9,13:50,14,11:04,18,12:56,11,27:44,11,19:19
PIT,4,31:59,3,8:11,7,15:19,3,8:28,17,12:58,5,32:35,5,14:27
JAX,5,31:43,10,7:05,6,15:53,4,8:45,20,11:54,7,30:54,9,17:12
DEN,6,31:28,19,6:15,25,7:36,29,17:38,30,10:19,27,15:51,30,33:50
NO,7,31:04,29,5:01,3,17:05,7,8:57,29,10:40,3,33:17,6,16:03
ARI,8,30:56,27,5:24,16,10:17,23,15:14,21,11:51,20,21:10,22,26:59
BAL,9,30:48,28,5:13,8,14:51,12,10:44,31,10:13,10,29:41,12,20:05
KC,10,30:40,17,6:29,10,13:29,11,10:42,24,11:30,8,30:15,10,18:15
NE,11,30:37,22,6:08,2,17:18,1,7:11,25,11:29,2,36:08,2,12:23
LAC,12,30:17,4,7:32,13,11:35,15,11:11,7,14:44,14,23:54,13,21:22
DAL,13,30:12,1,10:01,14,11:13,8,8:59,2,16:25,12,26:43,8,16:52
HOU,14,30:06,16,6:32,24,7:45,26,15:49,26,11:25,24,18:37,26,29:58
LAR,15,30:06,30,4:46,1,17:52,2,7:28,32,10:02,1,36:38,3,13:20
NYJ,16,29:52,13,6:53,26,7:24,25,15:35,1,16:30,26,16:01,23,27:29
ATL,17,29:50,2,8:11,11,12:43,6,8:56,11,13:38,9,29:45,7,16:37
DET,18,29:48,12,6:53,18,9:58,17,12:57,14,13:24,16,22:37,17,23:59
TEN,19,29:45,7,7:19,20,9:21,18,13:05,10,13:54,18,22:32,16,23:35
TB,20,29:43,24,5:46,29,5:38,30,18:19,23,11:38,28,15:41,29,32:41
WAS,21,29:41,9,7:10,12,11:36,13,10:54,22,11:47,13,25:58,15,22:15
MIA,22,29:25,25,5:32,31,4:30,31,19:23,15,13:14,31,9:47,31,37:00
SEA,23,29:19,15,6:39,21,9:19,21,13:21,6,14:44,21,21:01,18,24:15
IND,24,29:10,20,6:12,19,9:37,20,13:21,16,13:01,19,22:02,19,24:56
OAK,25,28:53,6,7:19,23,8:28,19,13:06,13,13:27,22,19:48,21,26:46
SF,26,28:40,23,6:01,28,5:56,27,16:44,19,12:52,29,15:23,28,31:46
GB,27,28:37,18,6:29,30,5:22,28,16:46,8,14:33,30,15:13,27,30:15
CHI,28,28:28,31,4:26,22,9:01,22,15:01,27,11:25,23,19:44,25,28:51
NYG,29,28:27,14,6:43,27,6:10,24,15:34,3,16:10,25,16:13,24,27:36
CLE,30,27:57,26,5:28,32,1:50,32,20:39,9,13:59,32,6:11,32,39:51
BUF,31,27:55,8,7:14,17,10:11,10,10:29,4,15:08,17,22:37,14,22:15
CIN,32,27:10,32,4:24,15,10:38,16,12:07,28,11:23,15,23:22,20,25:14

