Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NE,1,25.18,4,26.50,1,24.04,3,27.34,2,26.29,1,21.67,3,28.76
CIN,2,25.46,1,25.80,2,25.14,1,25.28,1,25.98,13,25.02,2,28.52
BUF,3,25.85,2,26.17,4,25.51,2,26.02,4,26.48,4,24.13,1,28.44
WAS,4,26.16,3,26.28,6,26.05,12,29.43,5,26.97,7,24.28,4,29.09
DEN,5,26.37,5,26.62,7,26.15,4,27.51,9,27.43,3,23.68,7,29.69
SEA,6,26.70,6,26.66,9,26.74,9,28.38,10,27.55,5,24.13,10,30.13
KC,7,26.70,15,27.87,5,25.69,5,27.53,7,27.12,9,24.71,5,29.62
HOIL,8,26.71,20,28.39,3,25.32,19,30.48,13,28.04,6,24.26,11,30.37
MIN,9,27.03,8,26.96,11,27.10,11,29.10,3,26.29,19,25.92,9,30.11
SD,10,27.24,9,27.03,13,27.44,18,30.19,6,27.04,8,24.41,6,29.69
GB,11,27.53,7,26.73,19,28.43,6,27.81,15,28.16,14,25.10,12,30.45
ATL,12,27.55,11,27.47,14,27.64,7,28.27,12,27.92,22,26.32,15,30.87
PHI,13,27.62,10,27.33,17,27.93,16,30.08,11,27.66,15,25.54,13,30.48
CLE,14,27.67,13,27.69,15,27.65,10,29.02,17,28.45,2,23.26,8,29.96
NO,15,27.68,19,28.33,10,27.03,8,28.34,16,28.37,21,26.30,17,31.40
LAR,16,27.82,23,29.18,8,26.63,23,32.16,18,29.01,10,24.80,25,31.80
DET,17,28.03,21,28.83,12,27.41,24,32.35,19,29.30,11,24.94,21,31.51
MIA,18,28.06,12,27.49,21,28.64,21,31.05,14,28.12,17,25.77,24,31.70
LARD,19,28.67,22,28.86,20,28.45,13,29.70,23,29.68,18,25.79,20,31.49
NYJ,20,28.74,24,29.44,18,28.10,14,29.83,27,30.30,16,25.75,26,32.19
SF,21,28.77,14,27.77,25,29.84,15,29.90,8,27.26,28,29.26,14,30.70
TB,22,29.20,25,29.45,22,28.94,28,34.76,21,29.58,25,27.57,27,32.70
PIT,23,29.24,16,27.95,26,30.54,22,31.23,20,29.30,20,26.17,18,31.46
NYG,24,29.39,18,28.22,27,30.55,25,32.47,24,29.78,23,26.50,23,31.67
ARI,25,29.52,28,31.43,16,27.74,26,32.95,25,29.96,26,27.83,28,34.53
CHI,26,29.58,27,29.98,23,29.20,20,30.96,28,30.45,24,26.83,19,31.46
DAL,27,29.64,17,28.14,28,31.22,17,30.18,22,29.62,27,28.67,16,30.90
IND,28,29.64,26,29.94,24,29.34,27,33.83,26,29.99,12,25.01,22,31.64
NFL,0,27.74,0,27.90,0,27.58,0,29.57,0,28.30,0,25.38,0,30.74

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
NE,1,26.08,7,27.21,1,24.99,4,27.78,4,27.08,1,21.78,2,29.15
DAL,2,26.62,8,27.33,4,25.94,2,27.04,21,28.79,11,24.74,6,29.81
PIT,3,26.66,14,27.91,2,25.54,3,27.75,14,28.04,4,23.79,9,30.36
SF,4,26.74,5,27.09,8,26.39,26,30.90,3,26.75,18,25.87,7,29.88
GB,5,26.76,6,27.21,7,26.36,8,28.76,8,27.67,16,25.26,5,29.77
DEN,6,26.77,3,26.84,11,26.69,23,30.50,2,26.60,5,23.89,1,28.77
MIN,7,26.79,11,27.72,5,25.97,10,28.91,13,28.04,10,24.54,20,31.20
IND,8,26.93,2,26.78,13,27.07,12,29.09,11,27.90,3,23.66,11,30.61
CLE,9,26.96,22,28.50,3,25.67,21,30.19,15,28.13,12,25.03,17,30.88
CHI,10,27.09,1,25.80,20,28.52,11,28.96,1,26.53,22,26.44,4,29.51
MIA,11,27.14,13,27.87,9,26.47,18,29.75,19,28.65,2,22.04,19,31.00
SEA,12,27.30,4,26.94,16,27.67,5,28.25,10,27.87,15,25.22,3,29.47
NO,13,27.32,18,28.05,10,26.66,7,28.56,9,27.69,9,24.54,21,31.24
