Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
ARI,1,26.02,3,26.28,4,25.78,2,26.02,3,26.30,15,25.55,1,28.02
NYG,2,26.03,1,25.88,6,26.17,3,26.48,12,28.11,4,22.98,3,28.39
OAK,3,26.06,2,25.93,7,26.18,8,28.51,2,26.03,11,25.14,2,28.16
WAS,4,26.07,6,26.77,2,25.29,13,28.95,1,25.90,12,25.15,6,28.99
NE,5,26.46,8,27.24,3,25.68,6,27.04,6,27.39,6,24.33,14,30.15
IND,6,26.50,19,28.09,1,25.19,11,28.76,5,27.34,8,24.57,20,30.86
SEA,7,26.93,10,27.40,8,26.51,14,28.97,7,27.39,3,22.88,4,28.88
STL,8,27.17,12,27.60,10,26.76,17,29.35,9,27.77,24,26.30,24,31.55
SF,9,27.38,5,26.63,22,28.19,15,29.00,4,26.88,17,25.66,5,28.92
CAR,10,27.40,25,29.07,5,25.89,28,32.13,10,27.94,16,25.56,12,30.02
PHI,11,27.41,13,27.62,14,27.20,12,28.92,23,28.87,5,24.29,13,30.09
JAX,12,27.42,7,27.11,16,27.69,7,28.45,14,28.30,2,22.68,7,29.08
CIN,13,27.46,14,27.68,15,27.24,4,26.59,8,27.68,26,27.37,10,29.81
NO,14,27.47,16,27.95,13,27.04,16,29.30,22,28.81,10,25.07,23,31.17
KC,15,27.49,18,28.08,11,26.86,10,28.59,13,28.16,20,26.03,15,30.16
MIN,16,27.49,4,26.53,24,28.66,5,26.89,11,28.02,30,30.30,8,29.20
SD,17,27.50,22,28.49,9,26.55,1,25.09,20,28.67,22,26.24,22,31.14
GB,18,27.68,11,27.59,18,27.76,9,28.57,16,28.34,9,25.05,9,29.57
PIT,19,27.95,15,27.84,20,28.07,21,29.93,26,29.13,1,22.36,18,30.47
DET,20,28.02,20,28.14,19,27.90,30,34.61,15,28.33,14,25.53,17,30.44
CHI,21,28.19,24,28.65,17,27.74,23,30.71,19,28.56,25,26.53,26,31.79
BAL,22,28.25,30,29.55,12,27.02,26,31.05,28,29.51,13,25.31,27,31.81
NYJ,23,28.55,23,28.64,23,28.45,24,30.74,17,28.37,7,24.52,19,30.63
TEN,24,28.76,28,29.34,21,28.08,19,29.40,27,29.42,21,26.07,28,32.43
DEN,25,28.76,17,27.99,26,29.66,18,29.38,18,28.54,18,25.87,11,29.99
BUF,26,28.85,9,27.34,27,30.48,20,29.85,25,29.03,19,25.89,16,30.25
MIA,27,29.43,29,29.45,25,29.40,22,30.54,29,30.09,23,26.30,25,31.69
DAL,28,29.82,21,28.44,29,31.19,29,32.37,21,28.78,28,28.56,21,30.94
TB,29,29.85,26,29.14,28,30.57,25,30.98,24,29.01,29,30.17,30,33.23
ATL,30,31.13,27,29.34,30,32.95,27,31.82,30,32.01,27,27.65,29,33.00
NFL,0,27.78,0,27.85,0,27.71,0,29.34,0,28.36,0,25.65,0,30.34

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
SF,1,26.10,1,26.52,4,25.71,6,28.26,3,26.65,10,24.86,2,28.94
DEN,2,26.29,5,27.04,3,25.62,19,29.98,1,26.28,19,25.91,1,28.37
ATL,3,26.51,12,27.42,2,25.52,1,27.29,17,28.59,5,24.27,21,30.88
NYJ,4,26.61,2,26.62,10,26.60,27,31.57,4,26.94,9,24.82,7,29.72
SD,5,26.81,7,27.16,8,26.48,2,27.33,2,26.40,27,28.00,3,29.06
DAL,6,26.88,11,27.37,7,26.36,8,28.37,24,29.37,2,22.92,16,30.39
GB,7,27.01,9,27.22,11,26.79,25,30.76,15,28.35,6,24.54,6,29.57
SEA,8,27.06,19,28.11,5,25.99,15,29.23,8,27.69,18,25.75,24,30.97
JAX,9,27.28,17,27.95,9,26.55,3,27.87,7,27.44,20,26.94,17,30.65
BUF,10,27.37,30,29.63,1,25.31,24,30.64,11,28.11,17,25.56,30,31.81
PIT,11,27.41,25,28.69,6,26.27,12,29.08,19,28.66,1,22.82,19,30.83
ARI,12,27.51,4,26.94,17,28.12,16,29.44,9,27.71,15,25.33,9,30.01
MIA,13,27.52,18,28.04,12,27.05,29,31.94,12,28.19,13,25.18,12,30.09
TEN,14,27.66,8,27.17,15,28.08,5,28.25,23,29.11,4,23.75,20,30.85
KC,15,27.71,10,27.27,18,28.13,13,29.14,22,28.84,7,24.71,15,30.22
WAS,16,27.76,6,27.12,21,28.34,14,29.17,5,26.99,22,27.05,14,30.16
NE,17,27.93,15,27.75,16,28.12,17,29.61,26,29.59,3,23.20,22,30.90
PHI,18,28.04,13,27.45,23,28.64,10,28.71,10,28.01,21,26.96,8,29.81
NYG,19,28.13,16,27.82,22,28.44,20,29.99,16,28.49,12,25.01,5,29.42
TB,20,28.13,20,28.30,14,27.95,21,30.23,20,28.70,16,25.53,10,30.03
OAK,21,28.28,23,28.40,19,28.14,7,28.29,27,29.70,11,24.96,23,30.95
BAL,22,28.29,3,26.63,29,30.12,4,28.15,14,28.33,29,28.47,4,29.15
MIN,23,28.34,27,28.96,13,27.81,30,33.75,29,30.03,24,27.45,29,31.70
NO,24,28.42,14,27.57,26,29.37,22,30.41,6,27.39,25,27.62,13,30.16
DET,25,28.61,28,29.04,20,28.16,23,30.41,13,28.28,23,27.15,18,30.71
IND,26,28.82,24,28.60,24,29.06,9,28.38,25,29.41,28,28.44,28,31.37
