Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
MIA,1,24.95,1,25.78,1,24.18,1,24.15,1,25.82,6,24.21,1,27.73
PHI,2,26.05,4,26.64,2,25.50,12,28.88,2,26.11,9,24.94,3,27.95
OAK,3,26.28,5,26.84,3,25.74,8,28.62,15,28.73,3,23.36,4,29.45
ARI,4,26.84,3,26.62,9,27.04,19,30.01,6,28.10,10,25.02,9,29.86
BAL,5,27.02,14,27.97,6,26.09,6,28.36,11,28.33,7,24.44,14,30.76
NYG,6,27.39,8,27.39,10,27.38,11,28.88,4,27.46,8,24.83,7,29.78
NYJ,7,27.49,25,29.35,5,26.01,5,28.01,20,28.97,22,26.02,17,30.87
SEA,8,27.50,2,26.04,23,28.89,21,30.19,3,26.81,1,21.17,2,27.78
NE,9,27.60,11,27.66,11,27.53,16,29.34,14,28.59,4,23.52,21,31.28
GB,10,27.60,24,29.24,4,25.99,7,28.40,8,28.22,23,26.56,10,30.41
STL,11,27.64,12,27.71,12,27.58,30,31.88,17,28.78,17,25.82,16,30.85
CLE,12,27.83,18,28.80,8,26.93,27,31.63,16,28.77,11,25.05,28,32.28
HOU,13,27.85,9,27.44,16,28.26,3,27.12,10,28.30,27,27.52,18,30.89
NO,14,27.90,28,29.60,7,26.32,9,28.80,31,30.48,14,25.64,31,32.48
ATL,15,27.91,10,27.56,17,28.29,14,29.02,12,28.50,21,25.98,12,30.66
KC,16,28.18,13,27.77,20,28.62,15,29.09,21,29.06,5,24.17,15,30.83
MIN,17,28.24,17,28.56,14,27.93,13,28.90,28,29.89,19,25.93,20,31.28
CIN,18,28.26,15,28.12,19,28.42,10,28.83,22,29.07,15,25.76,8,29.86
IND,19,28.45,6,27.24,27,29.64,17,29.48,5,28.08,13,25.63,5,29.63
DAL,20,28.49,19,28.89,15,28.11,22,30.42,7,28.19,29,27.95,30,32.46
TEN,21,28.58,27,29.59,13,27.61,18,29.74,18,28.83,28,27.90,26,32.01
CHI,22,28.62,7,27.25,29,29.93,25,31.29,9,28.29,20,25.94,6,29.66
WAS,23,28.77,16,28.27,26,29.32,28,31.77,23,29.09,12,25.21,11,30.57
BUF,24,28.89,23,29.12,21,28.63,31,32.39,13,28.58,16,25.78,22,31.69
SD,25,29.04,20,29.01,25,29.07,24,30.88,19,28.94,18,25.85,19,31.03
DET,26,29.04,30,29.72,18,28.38,20,30.02,24,29.46,30,28.09,25,31.94
JAX,27,29.22,26,29.51,24,28.93,4,27.98,30,30.30,26,27.35,23,31.69
DEN,28,29.57,22,29.11,30,30.02,23,30.51,29,29.91,2,23.16,13,30.75
CAR,29,29.63,21,29.06,31,30.19,26,31.37,25,29.69,24,26.92,27,32.26
TB,30,29.65,29,29.63,28,29.66,29,31.83,27,29.87,25,27.18,29,32.29
SF,31,29.69,32,30.68,22,28.72,2,26.40,32,31.25,31,28.53,32,33.20
PIT,32,30.82,31,30.10,32,31.48,32,33.35,26,29.72,32,28.71,24,31.91
NFL,0,28.13,0,28.29,0,27.97,0,29.89,0,28.72,0,25.87,0,30.80

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
DEN,1,26.22,6,27.39,1,25.08,9,28.98,12,28.41,3,24.49,16,30.89
SD,2,26.60,7,27.41,2,25.85,1,26.95,7,27.97,10,25.04,8,30.11
KC,3,26.77,5,27.31,4,26.24,6,28.29,2,27.18,16,25.99,5,29.71
NYG,4,27.11,11,27.69,5,26.61,25,30.56,17,28.62,4,24.56,13,30.70
PIT,5,27.25,10,27.67,6,26.81,26,30.66,1,27.18,24,26.61,6,29.72
WAS,6,27.26,3,27.21,10,27.30,16,29.81,3,27.30,20,26.15,2,29.33
DAL,7,27.41,4,27.26,12,27.56,5,28.25,6,27.82,12,25.57,4,29.68
STL,8,27.69,2,26.94,21,28.48,7,28.33,4,27.50,29,27.19,7,30.04
NE,9,27.71,18,28.36,8,27.09,21,30.37,14,28.50,8,24.77,3,29.66
SEA,10,27.75,20,28.51,7,26.96,2,27.43,19,28.90,26,26.64,10,30.24
CAR,11,27.75,27,29.27,3,26.23,11,29.53,8,28.10,25,26.63,24,31.33
CIN,12,27.84,21,28.53,9,27.23,8,28.63,29,29.91,11,25.48,23,31.30
JAX,13,27.91,19,28.39,11,27.47,3,27.90,27,29.39,5,24.65,14,30.70
BAL,14,28.04,15,27.99,18,28.09,12,29.60,16,28.62,9,24.80,12,30.50
TEN,15,28.05,17,28.27,16,27.85,10,29.34,9,28.13,19,26.11,20,31.05
GB,16,28.10,8,27.48,23,28.67,4,28.21,13,28.47,28,26.95,9,30.23
BUF,17,28.11,13,27.82,20,28.38,29,31.36,22,29.18,2,24.39,25,31.35
MIN,18,28.22,14,27.88,22,28.58,13,29.76,21,29.15,18,26.03,27,31.61
SF,19,28.23,1,26.72,29,29.84,27,30.71,5,27.72,7,24.77,1,28.92
MIA,20,28.36,25,29.06,14,27.69,20,30.33,20,28.97,6,24.65,19,30.97
ATL,21,28.38,23,28.84,17,27.98,31,31.70,18,28.81,17,26.00,22,31.20
CHI,22,28.49,28,29.31,13,27.64,30,31.52,25,29.33,15,25.85,26,31.43
OAK,23,28.69,26,29.11,19,28.28,14,29.77,15,28.61,27,26.66,21,31.08
ARI,24,28.69,22,28.63,25,28.76,15,29.79,28,29.82,1,21.99,29,31.70
NO,25,28.70,9,27.59,30,29.85,18,30.13,10,28.36,13,25.77,15,30.82
PHI,26,28.79,12,27.71,31,29.96,23,30.42,11,28.40,23,26.57,11,30.28
DET,27,28.94,16,28.24,27,29.61,22,30.39,23,29.23,21,26.18,18,30.97
TB,28,28.98,24,28.87,26,29.08,32,32.75,26,29.37,30,27.23,30,31.98
IND,29,29.04,32,30.38,15,27.69,19,30.20,32,31.31,31,27.88,31,32.54
CLE,30,29.11,29,29.48,24,28.75,28,31.06,24,29.28,14,25.80,17,30.96
NYJ,31,29.94,30,29.77,32,30.12,17,29.92,31,30.65,22,26.48,32,33.12
HOU,32,29.94,31,30.28,28,29.63,24,30.52,30,29.93,32,29.01,28,31.62
NFL,0,28.13,0,28.29,0,27.97,0,29.89,0,28.72,0,25.87,0,30.80

Team,TOP(total) Rank,TOP(total),TOP(tied) Rank,TOP(tied),TOP(leading) Rank,TOP(leading),TOP(trailing) Rank,TOP(trailing),Game Time(tied) Rank,Game Time(tied),Game Time(leading) Rank,Game Time(leading),Game Time(trailing) Rank,Game Time(trailing)
DEN,1,32:35,1,8:26,2,18:04,2,6:04,6,14:48,3,35:04,2,10:08
DAL,2,32:20,17,6:46,18,10:39,22,14:55,7,14:40,18,20:51,18,24:28
KC,3,32:09,3,7:49,5,15:47,6,8:33,20,12:14,5,32:20,5,15:27
JAX,4,31:34,6,7:34,15,11:41,17,12:19,3,15:21,15,25:13,13,19:26
SD,5,31:33,18,6:42,6,14:45,8,10:05,10,13:56,8,29:23,8,16:41
WAS,6,31:24,12,7:02,10,13:18,15,11:04,18,12:42,9,29:07,11,18:11
ARI,7,31:20,24,5:22,29,6:06,32,19:51,27,10:53,30,14:00,30,35:07
PIT,8,31:16,9,7:08,4,16:32,3,7:36,11,13:56,4,33:51,3,12:14
TEN,9,31:13,2,8:12,27,6:29,26,16:32,2,15:22,26,15:25,22,29:14
CIN,10,30:52,14,6:54,11,13:11,11,10:46,13,13:24,12,27:35,12,19:01
CAR,11,30:48,13,7:00,9,13:27,9,10:22,12,13:39,10,28:34,9,17:47
NYG,12,30:40,8,7:23,7,14:34,7,8:43,21,11:57,6,31:45,7,16:18
GB,13,30:39,25,5:13,26,6:37,30,18:49,22,11:45,27,15:19,28,32:56
TB,14,30:37,11,7:04,12,13:05,10,10:28,9,14:07,11,27:54,10,17:59
NO,15,30:32,23,5:27,30,5:46,31,19:20,17,12:54,31,13:41,29,33:25
BAL,16,30:23,7,7:33,20,8:45,20,14:06,5,14:51,22,18:53,19,26:16
IND,17,30:22,21,6:22,1,18:57,1,5:03,26,11:08,1,39:36,1,9:16
NE,18,30:19,4,7:43,16,11:38,14,10:59,4,15:03,17,22:58,15,21:59
STL,19,30:14,27,5:02,22,7:51,28,17:21,32,9:20,21,19:47,25,30:53
ATL,20,30:06,10,7:08,13,11:55,16,11:04,19,12:19,13,26:24,14,21:17
SEA,21,29:21,30,4:24,3,16:59,4,7:59,31,9:35,2,36:34,4,13:51
DET,22,29:19,5,7:34,25,6:59,21,14:45,14,13:23,23,16:49,23,29:48
BUF,23,29:04,19,6:34,14,11:42,13,10:48,29,10:30,14,25:23,17,24:07
MIN,24,28:46,16,6:50,17,11:08,12,10:48,15,13:07,16,24:04,16,22:50
CHI,25,28:44,20,6:28,8,13:53,5,8:24,8,14:39,7,29:28,6,15:53
PHI,26,28:21,28,4:56,23,7:46,23,15:39,25,11:10,25,15:54,27,32:56
HOU,27,28:14,15,6:52,32,4:56,25,16:27,1,15:48,29,14:09,24,30:03
OAK,28,28:07,29,4:40,24,7:17,24,16:10,28,10:48,24,16:45,26,32:27
CLE,29,28:00,22,5:30,21,8:38,19,13:52,16,13:06,20,20:17,20,26:37
MIA,30,27:25,26,5:10,19,9:20,18,12:55,23,11:19,19,20:43,21,27:58
SF,31,27:10,31,4:10,31,5:11,29,17:50,30,9:49,28,14:36,32,35:35
NYJ,32,26:36,32,3:28,28,6:09,27,16:59,24,11:14,32,13:16,31,35:30

