Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
PHI,1,21.95,1,20.17,1,23.73,1,23.44,1,21.23,2,21.32,1,22.22
NE,2,25.54,2,24.28,12,26.75,3,25.89,2,25.19,22,25.58,2,26.61
JAX,3,25.74,7,26.83,2,24.68,5,26.47,9,27.42,7,23.74,10,29.41
CLE,4,26.01,5,26.19,4,25.85,11,28.08,4,26.56,6,23.69,3,27.85
NO,5,26.32,10,26.88,3,25.83,19,28.94,5,26.78,11,24.30,12,29.54
ATL,6,26.52,13,27.03,7,26.03,23,29.78,3,26.38,17,25.16,6,29.00
NYG,7,26.55,6,26.68,11,26.42,6,27.03,7,27.33,16,25.05,13,29.65
OAK,8,26.78,17,27.70,5,25.93,4,25.96,25,29.81,12,24.45,15,29.80
IND,9,26.91,4,26.12,22,27.77,15,28.62,6,27.21,4,23.27,4,27.94
DEN,10,26.95,9,26.87,15,27.04,10,27.71,16,28.72,1,21.22,9,29.28
MIA,11,26.95,18,27.78,8,26.18,16,28.62,15,28.51,9,24.18,17,30.06
BUF,12,26.97,19,27.96,6,25.99,17,28.73,8,27.33,13,24.73,14,29.71
BAL,13,26.97,3,26.02,24,27.83,25,29.91,10,27.69,3,22.81,5,28.63
HOU,14,27.15,14,27.11,16,27.19,7,27.05,18,28.79,10,24.21,8,29.24
TB,15,27.25,12,26.95,18,27.55,2,24.62,20,29.09,20,25.48,18,30.22
NYJ,16,27.29,21,28.20,10,26.37,22,29.44,19,28.86,18,25.22,21,30.92
MIN,17,27.31,11,26.93,19,27.69,9,27.21,13,28.20,24,25.83,19,30.70
CIN,18,27.87,20,28.04,21,27.71,20,29.06,14,28.45,21,25.52,11,29.42
ARI,19,27.93,16,27.60,26,28.29,21,29.23,17,28.76,14,24.86,16,30.01
DET,20,28.07,27,29.34,13,26.88,27,30.10,12,27.90,25,26.28,22,31.28
TEN,21,28.19,28,29.41,14,27.02,32,32.45,27,30.20,19,25.46,29,32.56
PIT,22,28.29,15,27.54,28,29.12,18,28.86,31,30.40,8,24.05,24,31.59
CAR,23,28.30,24,29.05,17,27.47,14,28.51,23,29.56,26,26.37,20,30.70
GB,24,28.32,8,26.86,31,30.04,30,30.76,11,27.89,5,23.47,7,29.15
CHI,25,28.45,25,29.13,23,27.79,13,28.49,32,30.70,27,26.40,27,32.29
STL,26,28.48,32,30.88,9,26.36,31,31.57,24,29.66,15,25.03,32,33.13
WAS,27,28.65,29,29.48,25,27.88,8,27.11,28,30.21,28,27.03,25,31.81
SD,28,28.83,26,29.18,27,28.50,26,30.09,29,30.37,23,25.68,26,32.18
KC,29,29.05,31,30.45,20,27.70,12,28.32,26,30.14,31,27.65,30,32.56
SF,30,29.28,23,28.99,29,29.57,29,30.63,21,29.44,30,27.65,23,31.35
SEA,31,29.38,22,28.55,32,30.17,24,29.82,22,29.55,29,27.54,28,32.38
DAL,32,30.12,30,30.20,30,30.03,28,30.57,30,30.39,32,28.89,31,32.83
NFL,0,27.41,0,27.58,0,27.25,0,28.58,0,28.38,0,25.08,0,30.10

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
HOU,1,25.61,4,26.46,1,24.73,10,27.86,1,26.20,6,23.66,1,27.99
IND,2,26.22,2,26.00,9,26.44,27,29.88,12,27.83,5,23.62,2,28.14
GB,3,26.22,3,26.03,8,26.42,17,28.92,17,28.29,9,24.51,5,29.11
CLE,4,26.46,5,26.66,6,26.26,7,27.52,7,27.64,2,21.99,3,28.31
CIN,5,26.57,8,26.88,7,26.28,4,26.91,27,29.27,4,23.50,12,30.00
CAR,6,26.80,1,25.97,20,27.51,21,29.19,2,26.82,8,24.06,7,29.18
DEN,7,26.83,28,28.51,2,25.40,1,24.97,30,29.83,18,25.07,28,31.13
MIA,8,27.02,22,28.03,4,26.05,2,25.03,24,29.05,14,24.77,20,30.44
DET,9,27.03,13,27.18,14,26.89,29,30.16,6,27.49,12,24.65,15,30.14
DAL,10,27.09,17,27.68,12,26.63,3,26.45,32,30.41,13,24.69,24,30.57
NYG,11,27.09,7,26.85,17,27.33,13,28.60,3,27.12,25,25.99,10,29.60
KC,12,27.13,19,27.86,10,26.47,14,28.61,25,29.08,7,23.68,23,30.52
PIT,13,27.16,18,27.77,11,26.59,15,28.63,22,28.91,15,24.85,4,28.97
BAL,14,27.26,29,28.78,3,25.63,9,27.66,23,29.01,11,24.60,30,31.31
NE,15,27.33,25,28.33,5,26.25,30,30.17,26,29.22,16,24.98,27,30.97
ATL,16,27.37,14,27.37,18,27.38,22,29.20,5,27.47,20,25.44,13,30.03
TEN,17,27.40,9,26.88,23,27.92,5,27.38,28,29.27,3,22.10,17,30.28
SD,18,27.51,23,28.19,13,26.84,6,27.44,19,28.82,17,25.06,31,31.50
BUF,19,27.53,6,26.84,24,28.22,25,29.61,13,27.93,24,25.97,8,29.41
