Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
ATL,16,-1.0%,15,8-8,18,-4.1%,12,3.3%,26,7.0%,6,2.7%,17,8.0,14,3.8%,24,-3.5%,16,8.3,7,12.0%
CHI,17,-1.8%,31,11-5,20,-6.0%,28,-17.0%,1,-18.4%,27,-3.2%,16,8.1,17,-3.0%,29,-6.5%,9,10.2,29,23.8%
BAL,18,-1.9%,8,6-10,13,4.9%,23,-11.6%,6,-9.4%,15,0.3%,19,7.5,18,-5.1%,15,1.0%,18,6.9,30,24.3%
PHI,19,-2.3%,6,6-10,21,-9.4%,19,-7.7%,10,-5.6%,18,-0.2%,18,7.8,21,-10.5%,5,4.9%,23,5.8,18,16.5%
OAK,20,-7.9%,24,4-12,22,-11.2%,15,-0.6%,21,3.0%,29,-4.3%,21,6.5,20,-9.6%,2,8.0%,25,5.4,2,8.8%
GB,21,-11.6%,12,4-12,23,-12.0%,16,-4.0%,22,3.1%,30,-4.6%,25,5.1,22,-10.6%,18,-1.5%,20,6.6,17,16.0%
ARI,22,-13.1%,29,5-11,19,-5.6%,22,-9.8%,18,0.5%,26,-2.8%,24,5.6,19,-9.4%,26,-4.5%,22,5.9,11,13.2%
MIN,23,-15.0%,17,9-7,16,-0.6%,26,-13.9%,17,0.3%,21,-0.8%,20,7.0,23,-14.5%,23,-2.9%,19,6.9,31,25.2%
CLE,24,-16.6%,28,6-10,24,-16.6%,24,-12.0%,24,6.7%,8,2.2%,22,6.0,29,-21.6%,11,1.8%,24,5.7,24,20.0%
BUF,25,-18.8%,3,5-11,26,-19.5%,29,-17.7%,29,9.8%,1,8.8%,23,5.7,26,-19.4%,10,2.2%,27,5.2,22,18.1%
DET,26,-20.5%,19,5-11,25,-18.0%,30,-17.8%,13,-2.4%,32,-5.1%,27,4.9,28,-21.4%,21,-2.5%,26,5.2,14,14.2%
NO,27,-21.3%,23,3-13,27,-20.2%,25,-12.2%,25,7.0%,24,-2.2%,26,5.0,25,-18.7%,22,-2.9%,31,3.5,16,15.9%
NYJ,28,-21.7%,4,4-12,29,-21.1%,31,-19.9%,20,1.7%,17,-0.2%,30,4.1,30,-26.3%,7,4.1%,29,4.6,4,11.7%
STL,29,-22.2%,30,6-10,30,-21.5%,20,-8.2%,27,9.3%,31,-4.7%,29,4.4,24,-17.3%,28,-5.4%,21,6.3,12,14.0%
TEN,30,-22.6%,27,4-12,31,-24.7%,21,-8.4%,30,16.4%,7,2.2%,28,4.8,27,-20.3%,16,-0.5%,28,4.8,23,19.6%
HOU,31,-30.5%,20,2-14,28,-20.6%,27,-15.7%,32,20.3%,2,5.5%,31,3.3,31,-32.8%,13,1.2%,30,3.6,8,12.1%
SF,32,-57.7%,32,4-12,32,-53.9%,32,-41.2%,31,17.9%,11,1.5%,32,2.1,32,-56.7%,12,1.3%,32,3.1,32,38.2%

