Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
IND,1,33.4%,5,14-2,3,32.5%,3,25.1%,5,-10.9%,25,-2.6%,1,13.6,1,38.9%,27,-5.0%,1,12.9,1,6.2%
DEN,2,30.7%,7,13-3,1,35.8%,2,27.4%,9,-6.8%,28,-3.6%,2,12.4,5,28.2%,3,6.5%,3,11.8,5,11.9%
SEA,3,27.5%,16,13-3,4,27.2%,1,28.9%,19,0.5%,20,-0.8%,3,12.3,2,35.8%,32,-10.1%,2,12.5,10,13.1%
PIT,4,27.2%,1,11-5,6,23.3%,8,12.3%,3,-13.3%,10,1.6%,4,11.6,3,31.3%,17,-1.2%,5,11.7,20,17.1%
KC,5,23.9%,10,10-6,2,34.4%,4,23.9%,14,-2.1%,23,-2.2%,8,10.7,7,17.9%,4,5.8%,10,10.1,25,20.2%
SD,6,23.6%,9,9-7,7,18.2%,6,22.5%,16,-1.0%,16,0.0%,5,11.5,11,12.2%,1,10.3%,7,10.8,6,11.9%
WAS,7,21.7%,21,10-6,5,26.6%,10,8.4%,4,-11.6%,9,1.7%,6,10.7,10,13.8%,9,2.7%,11,9.9,28,22.4%
CIN,8,19.3%,11,11-5,11,11.7%,5,23.1%,23,4.3%,14,0.5%,9,10.5,6,21.0%,19,-1.9%,12,9.8,26,21.5%
CAR,9,17.6%,14,11-5,8,17.1%,14,0.8%,2,-13.9%,5,2.9%,10,10.5,4,30.0%,31,-8.0%,4,11.7,13,14.2%
NYG,10,17.2%,26,11-5,9,14.0%,9,10.4%,15,-1.7%,3,5.2%,11,10.3,9,15.6%,14,1.0%,6,10.8,21,17.3%
JAX,11,15.0%,13,12-4,12,11.1%,11,5.9%,7,-8.6%,13,0.6%,7,10.7,8,16.9%,25,-4.2%,8,10.7,9,12.4%
NE,12,9.6%,2,10-6,10,11.8%,7,18.0%,28,9.6%,12,1.2%,12,10.0,13,7.1%,8,3.1%,13,9.1,3,11.1%
DAL,13,4.4%,25,9-7,17,-2.5%,13,2.8%,12,-2.6%,22,-1.0%,15,8.2,16,0.4%,6,4.7%,15,8.5,27,22.2%
TB,14,2.3%,18,11-5,14,1.8%,17,-5.0%,8,-7.7%,19,-0.4%,14,8.3,12,10.0%,30,-7.7%,14,8.8,19,16.8%
MIA,15,1.2%,22,9-7,15,-0.4%,18,-7.6%,11,-5.1%,4,3.7%,13,8.8,15,3.7%,20,-2.1%,17,8.0,15,15.4%
