Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
NO,1,35.0%,16,11-5,1,37.3%,2,22.4%,6,-11.4%,15,1.2%,1,14.1,1,30.6%,12,1.4%,6,11.1,3,6.4%
MIN,2,28.7%,18,13-3,2,32.3%,5,12.5%,1,-17.2%,18,-0.9%,2,12.3,3,27.8%,8,2.6%,4,11.7,4,7.0%
LAR,3,27.6%,30,11-5,4,27.2%,6,11.3%,7,-9.5%,2,6.8%,3,11.3,4,26.3%,16,0.3%,5,11.6,32,26.7%
PIT,4,25.9%,4,13-3,5,24.9%,3,17.5%,9,-5.4%,9,3.1%,5,11.2,2,28.4%,22,-2.2%,7,10.6,20,14.6%
PHI,5,23.7%,6,13-3,6,23.4%,7,10.5%,5,-12.2%,16,0.9%,4,11.3,5,26.0%,24,-2.6%,1,12.0,17,13.1%
NE,6,22.2%,1,13-3,3,30.2%,1,27.9%,31,12.0%,3,6.3%,6,10.8,7,24.4%,28,-4.3%,2,12.0,15,11.1%
BAL,7,17.9%,12,9-7,7,21.3%,21,-4.6%,4,-13.4%,1,9.2%,7,10.3,6,24.6%,31,-5.2%,8,10.5,25,17.5%
JAX,8,13.8%,27,10-6,11,12.8%,15,0.4%,2,-15.9%,24,-2.5%,12,9.0,8,21.2%,32,-6.0%,3,12.0,31,24.3%
CAR,9,12.6%,24,11-5,9,13.4%,17,-0.1%,8,-8.0%,6,4.7%,8,10.3,11,11.7%,7,3.5%,12,9.0,6,8.9%
KC,10,10.9%,5,10-6,16,2.0%,4,16.4%,29,10.8%,4,5.3%,9,10.0,10,13.5%,27,-4.0%,10,10.0,21,15.7%
DAL,11,9.3%,2,9-7,10,13.0%,10,6.6%,16,1.9%,7,4.6%,10,9.4,13,8.5%,17,-0.5%,15,8.6,28,20.2%
DET,12,9.0%,26,9-7,13,4.3%,12,4.1%,15,0.1%,5,4.9%,13,8.9,12,8.8%,11,1.4%,14,8.9,5,7.7%
LAC,13,6.8%,21,9-7,8,15.2%,8,10.3%,10,-3.9%,31,-7.5%,14,8.2,9,15.3%,30,-4.9%,9,10.5,7,9.6%
ATL,14,5.0%,3,10-6,12,4.8%,9,8.5%,17,2.3%,19,-1.2%,11,9.0,14,5.4%,4,4.3%,11,9.1,1,5.6%
SEA,15,2.3%,11,9-7,14,3.2%,14,2.2%,13,-2.1%,20,-2.0%,15,8.2,15,4.5%,18,-0.5%,13,9.0,14,11.1%
WAS,16,-2.6%,9,7-9,20,-9.8%,20,-3.8%,12,-3.5%,22,-2.4%,19,6.9,18,-8.7%,3,5.0%,17,6.8,24,17.5%
GB,17,-4.5%,7,7-9,21,-10.3%,16,0.0%,24,5.8%,14,1.3%,16,7.6,21,-9.6%,2,5.9%,22,6.2,12,10.6%
TEN,18,-6.2%,17,9-7,19,-9.4%,18,-2.1%,23,5.7%,13,1.6%,17,7.5,16,-4.5%,29,-4.6%,16,7.4,23,16.7%
ARI,19,-8.2%,13,8-8,17,-2.3%,29,-18.1%,3,-15.4%,28,-5.5%,23,6.0,19,-9.5%,15,0.6%,24,6.1,11,10.4%
OAK,20,-8.6%,10,6-10,18,-9.3%,13,3.6%,30,12.0%,17,-0.2%,18,7.4,17,-8.5%,21,-1.3%,25,6.0,9,10.0%
SF,21,-9.4%,29,6-10,15,2.0%,19,-3.0%,26,9.1%,11,2.7%,21,6.6,22,-11.3%,14,0.7%,19,6.6,27,19.9%
BUF,22,-10.7%,19,9-7,27,-17.2%,26,-11.1%,18,2.5%,10,2.9%,20,6.8,20,-9.5%,26,-3.0%,20,6.3,22,16.4%
TB,23,-12.4%,22,5-11,24,-14.1%,11,5.2%,32,12.0%,29,-5.5%,24,6.0,24,-16.2%,5,3.7%,18,6.7,2,6.4%
CIN,24,-14.3%,14,7-9,22,-11.7%,22,-6.9%,21,5.0%,21,-2.4%,22,6.5,23,-13.6%,20,-1.3%,21,6.2,26,19.2%
CHI,25,-17.0%,25,5-11,23,-11.8%,28,-15.0%,14,-0.4%,23,-2.4%,25,5.7,29,-20.1%,1,7.6%,23,6.2,19,14.4%
HOU,26,-18.0%,28,4-12,32,-31.5%,24,-10.1%,19,3.4%,26,-4.5%,27,5.4,27,-19.5%,13,0.9%,27,5.5,30,24.1%
NYJ,27,-19.2%,32,5-11,25,-15.1%,25,-10.7%,22,5.6%,25,-3.0%,29,4.9,26,-19.2%,19,-0.5%,26,5.6,10,10.3%
MIA,28,-21.7%,20,6-10,28,-17.7%,27,-13.6%,28,10.7%,12,2.6%,28,5.4,28,-20.0%,10,1.5%,29,4.9,18,13.6%
DEN,29,-22.4%,15,5-11,31,-30.1%,31,-18.7%,11,-3.8%,30,-7.4%,26,5.5,25,-17.3%,25,-2.7%,28,5.4,29,20.5%
IND,30,-23.9%,23,4-12,26,-15.2%,30,-18.3%,27,9.3%,8,3.7%,30,4.2,30,-22.9%,23,-2.5%,30,4.2,8,10.0%
NYG,31,-24.5%,8,3-13,29,-21.7%,23,-9.4%,25,7.6%,32,-7.5%,31,4.1,31,-26.6%,6,3.5%,31,4.0,16,11.7%
CLE,32,-28.7%,31,0-16,30,-21.8%,32,-20.1%,20,3.4%,27,-5.1%,32,3.1,32,-34.3%,9,1.8%,32,3.3,13,10.6%

