Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
GB,1,43.0%,8,13-3,1,34.7%,3,16.1%,1,-19.6%,2,7.4%,1,13.7,1,47.1%,20,-1.1%,1,13.9,28,25.2%
SF,2,28.8%,1,12-4,3,25.4%,6,10.1%,2,-15.3%,8,3.4%,2,12.6,3,26.7%,17,-0.4%,3,11.9,7,9.1%
DEN,3,26.8%,9,13-3,4,25.4%,4,13.6%,3,-15.2%,19,-2.1%,5,11.4,4,24.6%,16,-0.3%,4,11.2,10,11.6%
DAL,4,23.1%,2,10-6,5,20.4%,12,5.9%,6,-11.8%,4,5.4%,4,11.6,5,20.6%,15,-0.1%,10,9.2,21,18.5%
CAR,5,22.5%,24,12-4,2,28.2%,17,0.2%,5,-12.5%,1,9.8%,3,12.0,2,27.4%,30,-5.5%,2,12.4,17,15.5%
PIT,6,17.8%,4,10-6,7,13.5%,11,6.6%,4,-13.7%,21,-2.5%,8,10.0,6,16.1%,8,2.2%,6,10.7,20,18.3%
PHI,7,13.5%,17,10-6,6,15.1%,10,7.1%,8,-8.8%,20,-2.5%,7,10.3,7,14.1%,24,-2.1%,12,8.6,24,19.9%
KC,8,9.0%,3,9-7,11,6.6%,5,11.6%,17,-0.8%,24,-3.5%,12,8.7,13,4.6%,4,3.8%,15,7.9,26,21.9%
WAS,9,9.0%,18,9-7,16,2.6%,2,17.3%,25,11.6%,9,3.3%,6,10.4,9,11.6%,27,-3.8%,8,9.5,22,18.8%
NE,10,8.8%,27,11-5,8,12.5%,13,3.9%,16,-2.5%,10,2.4%,10,9.3,8,12.2%,29,-4.6%,5,10.8,18,16.0%
HOIL,11,6.2%,16,8-8,15,3.1%,16,0.7%,10,-4.5%,12,1.0%,15,8.1,11,6.0%,12,0.8%,11,8.8,3,7.7%
CIN,12,6.0%,20,8-8,9,12.3%,7,8.4%,15,-3.6%,27,-6.0%,9,9.6,12,4.8%,11,1.2%,14,8.1,5,8.3%
OAK,13,4.8%,11,7-9,10,7.5%,15,1.2%,9,-5.1%,17,-1.5%,16,8.0,15,3.6%,23,-1.9%,9,9.4,6,8.6%
BAL,14,3.0%,21,4-12,13,4.8%,1,22.8%,30,19.7%,14,-0.2%,13,8.4,18,-5.8%,3,5.4%,21,6.3,4,7.9%
BUF,15,1.8%,14,10-6,12,6.1%,26,-12.7%,7,-9.1%,5,5.4%,18,7.3,10,6.2%,22,-1.6%,7,9.7,14,13.5%
MIA,16,-0.9%,13,8-8,19,-4.6%,9,7.2%,23,8.9%,13,0.8%,14,8.2,14,4.5%,28,-3.9%,13,8.4,12,12.1%
SD,17,-1.0%,12,8-8,21,-11.7%,21,-6.7%,14,-3.7%,11,2.0%,11,8.7,17,-1.9%,2,5.4%,23,6.1,29,25.6%
JAX,18,-1.2%,29,9-7,18,-2.9%,8,7.6%,22,6.3%,22,-2.5%,17,8.0,16,0.5%,21,-1.4%,16,7.7,2,7.6%
CHI,19,-6.3%,10,7-9,17,-2.4%,18,-0.3%,21,4.5%,18,-1.5%,19,7.1,19,-6.2%,7,2.8%,19,7.3,11,11.7%
DET,20,-9.4%,7,5-11,25,-14.6%,14,3.8%,26,12.0%,16,-1.2%,23,5.9,21,-9.5%,9,2.0%,24,6.1,9,11.4%
MIN,21,-10.8%,6,9-7,24,-13.3%,23,-8.0%,12,-4.1%,28,-6.8%,22,6.2,20,-8.7%,13,0.8%,18,7.5,19,18.2%
TB,22,-11.4%,26,6-10,14,4.1%,27,-14.5%,19,1.3%,7,4.5%,20,6.8,24,-14.6%,10,1.8%,25,5.5,25,20.6%
NYG,23,-12.6%,19,6-10,22,-12.1%,29,-21.2%,11,-4.2%,6,4.5%,24,5.9,22,-12.5%,18,-0.7%,22,6.2,30,28.9%
IND,24,-12.9%,23,9-7,23,-12.6%,22,-7.9%,24,11.0%,3,6.0%,21,6.4,23,-13.2%,19,-0.9%,17,7.5,15,14.6%
SEA,25,-14.8%,25,7-9,20,-6.0%,24,-10.8%,20,3.5%,15,-0.5%,25,5.7,25,-16.6%,1,6.0%,20,6.3,23,19.0%
NO,26,-22.8%,15,3-13,28,-24.5%,28,-17.6%,18,0.6%,26,-4.6%,26,4.1,26,-21.9%,26,-3.0%,28,4.6,8,10.0%
ATL,27,-25.7%,5,3-13,29,-24.9%,19,-3.2%,29,19.0%,25,-3.5%,28,3.7,28,-27.4%,5,3.0%,29,4.3,16,14.7%
STL,28,-26.7%,22,6-10,26,-18.7%,30,-27.4%,13,-3.8%,23,-3.0%,27,4.1,29,-31.5%,6,3.0%,27,5.2,27,25.1%
ARI,29,-29.1%,30,7-9,27,-22.0%,20,-4.8%,28,16.7%,29,-7.5%,29,3.6,27,-27.0%,25,-2.8%,26,5.3,13,13.5%
NYJ,30,-33.6%,28,1-15,30,-33.4%,25,-12.0%,27,13.8%,30,-7.7%,30,2.0,30,-31.9%,14,0.7%,30,3.7,1,6.4%

