Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
DEN,1,29.9%,3,12-4,6,24.0%,2,20.2%,10,-5.5%,4,4.3%,4,11.7,1,34.8%,22,-2.5%,1,12.4,16,17.3%
KC,2,29.4%,8,13-3,1,34.9%,5,13.8%,6,-8.3%,2,7.3%,3,12.0,3,33.6%,25,-3.1%,2,12.1,13,15.3%
GB,3,29.1%,1,13-3,2,34.8%,4,15.9%,3,-9.8%,6,3.5%,1,12.5,4,28.6%,27,-4.6%,3,11.7,3,9.2%
SF,4,27.5%,2,13-3,4,27.1%,10,5.7%,1,-20.9%,15,0.9%,2,12.1,2,33.7%,29,-5.3%,4,11.2,27,27.5%
PIT,5,26.7%,6,11-5,3,33.2%,6,13.4%,2,-12.5%,16,0.8%,5,11.6,5,21.8%,3,4.6%,8,9.8,26,23.4%
JAX,6,21.5%,18,11-5,5,25.5%,1,23.4%,22,4.2%,8,2.3%,6,11.2,6,18.0%,4,4.0%,6,10.1,5,9.8%
DET,7,12.1%,20,9-7,7,15.8%,12,4.0%,8,-7.2%,14,0.9%,7,9.7,7,12.8%,24,-2.7%,7,10.0,28,28.9%
NE,8,12.0%,10,10-6,10,7.2%,9,7.5%,12,-2.2%,9,2.2%,8,9.4,8,12.5%,20,-0.9%,5,10.3,11,14.9%
TB,9,7.8%,22,10-6,12,3.6%,16,1.7%,11,-4.5%,12,1.6%,11,8.6,9,8.4%,11,1.5%,11,9.2,30,33.2%
BAL,10,4.6%,14,6-9-1,15,0.7%,15,1.8%,15,-0.7%,10,2.1%,12,8.4,17,0.7%,9,1.8%,18,7.4,18,17.5%
DAL,11,3.8%,4,6-10,21,-8.6%,19,-1.5%,21,3.6%,1,8.9%,19,7.1,11,4.1%,13,0.9%,17,7.7,15,17.3%
NYG,12,2.3%,23,10-5-1,11,3.7%,22,-5.1%,4,-9.2%,20,-1.9%,9,8.8,10,7.7%,23,-2.6%,10,9.4,7,11.5%
NYJ,13,2.2%,30,9-7,18,-4.2%,20,-1.7%,20,3.2%,3,7.1%,16,7.8,12,2.7%,28,-5.2%,9,9.8,23,20.0%
WAS,14,2.0%,9,8-7-1,14,1.1%,14,2.4%,17,1.0%,18,0.5%,13,8.1,15,2.2%,21,-2.2%,12,9.2,6,10.1%
MIA,15,0.1%,16,9-7,17,-2.8%,7,11.2%,28,13.4%,7,2.3%,10,8.7,14,2.4%,19,-0.7%,14,8.4,17,17.4%
MIN,16,-0.8%,21,9-7,19,-4.5%,8,9.1%,26,7.5%,23,-2.4%,15,7.9,18,-0.5%,17,0.3%,16,7.9,2,8.6%
ATL,17,-0.8%,27,7-9,8,12.2%,21,-4.9%,16,-0.1%,5,3.9%,14,8.1,13,2.5%,30,-5.6%,19,6.8,12,15.0%
TEN,18,-1.5%,11,8-8,13,1.5%,11,4.1%,18,2.8%,24,-2.8%,18,7.3,16,2.2%,8,2.7%,13,8.7,25,21.2%
CIN,19,-3.1%,12,7-9,9,7.3%,3,18.0%,30,19.2%,21,-1.9%,17,7.4,21,-7.9%,5,4.0%,20,6.7,14,15.6%
PHI,20,-3.6%,7,6-9-1,16,-1.2%,17,1.1%,14,-1.0%,26,-5.7%,20,6.8,19,-4.4%,2,4.7%,21,6.5,1,7.5%
SEA,21,-7.2%,25,8-8,20,-6.0%,13,2.8%,13,-1.1%,30,-11.1%,21,6.7,20,-7.6%,18,-0.7%,15,8.1,29,31.4%
CAR,22,-13.4%,5,7-9,24,-16.9%,23,-8.1%,23,5.0%,19,-0.3%,22,6.3,22,-15.2%,15,0.8%,22,6.4,22,19.3%
STL,23,-16.4%,28,5-11,23,-13.7%,27,-15.0%,9,-5.9%,28,-7.3%,26,4.7,23,-15.3%,14,0.8%,23,6.3,10,14.8%
BUF,24,-16.8%,15,6-10,25,-20.0%,28,-18.3%,7,-7.2%,27,-5.7%,24,5.7,25,-20.9%,1,5.0%,28,4.7,4,9.8%
OAK,25,-18.5%,13,4-12,29,-28.7%,18,-0.7%,29,15.7%,22,-2.0%,23,6.1,26,-21.7%,16,0.5%,25,5.5,20,19.0%
IND,26,-19.9%,24,3-13,22,-12.4%,24,-9.3%,25,7.4%,25,-3.2%,25,5.4,24,-18.2%,10,1.8%,24,5.6,19,18.2%
ARI,27,-22.6%,29,4-12,28,-26.3%,25,-13.8%,27,9.8%,13,1.0%,27,4.6,28,-29.9%,12,1.0%,26,5.3,8,12.1%
NO,28,-25.8%,26,6-10,26,-23.5%,30,-36.2%,5,-8.8%,11,1.7%,28,4.6,27,-26.5%,26,-4.4%,27,5.1,24,20.7%
CHI,29,-29.2%,19,4-12,27,-25.9%,26,-13.9%,24,6.0%,29,-9.2%,30,3.3,29,-30.0%,6,3.6%,30,3.8,9,12.7%
SD,30,-31.2%,17,4-12,30,-36.8%,29,-28.6%,19,3.2%,17,0.6%,29,3.7,30,-34.1%,7,3.0%,29,3.8,21,19.1%

