Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SEA,1,38.4%,19,11-5,1,46.2%,4,18.6%,5,-14.1%,3,5.7%,3,13.0,3,30.8%,4,6.1%,3,12.5,15,13.2%
DEN,2,35.9%,24,13-3,2,38.5%,2,22.7%,6,-12.6%,13,0.6%,1,14.6,1,38.1%,32,-7.6%,2,12.5,3,7.6%
NE,3,33.7%,4,12-4,3,37.0%,1,31.1%,17,2.9%,4,5.5%,2,13.2,2,36.5%,21,-2.9%,1,12.7,11,12.4%
SF,4,30.2%,6,11-4-1,4,27.5%,5,17.4%,4,-14.3%,20,-1.5%,4,12.7,4,25.0%,3,7.4%,4,11.4,31,21.8%
GB,5,25.9%,2,11-5,5,23.0%,3,19.6%,8,-6.5%,18,-0.2%,5,11.7,5,19.3%,8,3.6%,7,10.5,28,17.2%
CHI,6,20.1%,15,10-6,6,17.4%,25,-10.7%,1,-26.1%,6,4.7%,6,11.0,6,18.3%,7,4.0%,6,10.8,13,12.9%
ATL,7,12.4%,7,13-3,11,9.8%,11,6.6%,9,-5.7%,16,0.1%,8,9.6,7,18.3%,26,-4.4%,5,11.2,14,13.1%
NYG,8,11.9%,12,9-7,9,11.2%,7,12.9%,18,3.0%,10,2.0%,10,9.2,10,10.8%,11,2.0%,9,10.2,32,34.6%
HOU,9,9.7%,5,12-4,16,1.6%,16,0.3%,2,-17.1%,32,-7.7%,12,8.8,8,17.5%,25,-4.3%,8,10.2,18,14.0%
BAL,10,9.0%,8,10-6,13,6.3%,13,3.0%,19,3.1%,1,9.0%,11,9.1,11,10.6%,17,-2.1%,11,9.4,24,16.0%
WAS,11,9.0%,21,10-6,7,16.5%,6,16.0%,16,2.8%,27,-4.3%,7,9.8,9,13.5%,15,-0.5%,12,9.2,5,8.9%
MIN,12,6.6%,29,10-6,14,5.8%,14,1.1%,14,-0.8%,5,4.7%,9,9.5,14,3.9%,5,5.4%,13,8.8,4,7.9%
CIN,13,4.2%,17,10-6,8,13.5%,17,-2.1%,11,-2.2%,7,4.1%,15,8.4,12,9.3%,29,-6.9%,10,9.9,21,15.1%
CAR,14,4.2%,20,7-9,10,10.1%,10,7.6%,13,-1.4%,29,-4.8%,13,8.6,13,4.5%,13,1.0%,18,7.8,16,13.4%
STL,15,4.2%,31,7-8-1,12,7.4%,19,-4.1%,7,-11.6%,26,-3.4%,14,8.6,19,-3.7%,2,10.1%,22,6.6,8,10.2%
DET,16,3.1%,10,4-12,15,3.6%,8,12.1%,22,3.9%,30,-5.1%,17,8.1,17,-2.8%,6,5.0%,23,6.4,1,5.5%
DAL,17,1.8%,13,8-8,17,0.9%,12,6.2%,23,4.5%,15,0.2%,16,8.2,18,-2.9%,9,3.4%,19,7.4,2,6.6%
NO,18,-1.2%,1,7-9,18,-0.2%,9,12.0%,27,10.8%,24,-2.3%,21,7.0,16,0.4%,12,1.5%,15,8.2,20,14.6%
PIT,19,-2.4%,3,8-8,19,-1.4%,20,-4.3%,12,-2.0%,17,-0.1%,20,7.3,15,3.7%,28,-6.5%,14,8.7,22,15.2%
TB,20,-7.2%,30,7-9,24,-11.6%,15,0.7%,21,3.6%,27,-4.3%,18,7.7,20,-4.0%,16,-0.6%,17,7.9,17,13.5%
MIA,21,-8.0%,18,7-9,23,-9.7%,22,-8.6%,15,-0.1%,14,0.4%,19,7.5,21,-5.9%,18,-2.1%,21,7.1,27,17.0%
SD,22,-10.8%,16,7-9,20,-9.1%,24,-10.4%,20,3.4%,8,3.0%,23,6.3,22,-6.2%,31,-7.6%,16,8.0,7,9.9%
BUF,23,-12.4%,23,6-10,22,-9.4%,21,-4.6%,26,10.5%,9,2.7%,22,6.5,25,-15.0%,24,-3.6%,25,5.7,26,16.8%
ARI,24,-13.7%,26,5-11,26,-21.6%,32,-31.1%,3,-16.2%,11,1.1%,27,5.2,27,-25.1%,1,11.4%,27,4.8,25,16.6%
CLE,25,-15.2%,25,5-11,21,-9.2%,27,-15.2%,24,6.1%,2,6.1%,25,6.0,24,-10.4%,23,-3.6%,24,6.1,10,11.8%
IND,26,-16.2%,32,11-5,25,-12.8%,18,-2.5%,31,14.6%,12,0.9%,24,6.2,23,-9.0%,30,-7.5%,20,7.2,9,11.4%
NYJ,27,-19.1%,11,6-10,27,-22.0%,29,-20.5%,10,-2.9%,21,-1.5%,26,5.4,26,-17.9%,14,0.0%,26,5.3,29,18.5%
PHI,28,-24.9%,9,4-12,30,-29.8%,26,-11.2%,28,11.5%,23,-2.2%,28,4.2,29,-28.6%,10,2.4%,30,3.9,12,12.6%
OAK,29,-30.2%,22,4-12,28,-27.3%,23,-10.1%,30,14.3%,31,-5.8%,29,3.4,28,-26.1%,27,-4.7%,29,4.1,23,15.8%
TEN,30,-30.9%,14,6-10,29,-28.5%,30,-21.1%,25,8.4%,19,-1.4%,30,3.1,30,-29.7%,20,-2.9%,28,4.6,30,20.0%
JAX,31,-34.6%,28,2-14,31,-31.7%,28,-18.6%,29,13.0%,25,-3.0%,31,2.6,31,-30.5%,22,-3.2%,31,3.3,6,9.8%
KC,32,-43.5%,27,2-14,32,-41.6%,31,-26.0%,32,15.4%,22,-2.0%,32,2.0,32,-47.1%,19,-2.2%,32,2.5,19,14.5%

