Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
DAL,1,30.9%,23,12-5,1,34.6%,6,13.6%,2,-15.2%,6,2.1%,3,13.3,2,34.0%,26,-2.2%,3,12.5,13,13.1%
BUF,2,27.6%,4,11-6,3,26.1%,10,9.7%,1,-18.0%,19,-0.1%,6,11.0,1,34.2%,32,-5.0%,1,13.3,32,30.9%
TB,3,27.6%,2,13-4,4,25.9%,1,26.7%,9,-3.3%,27,-2.4%,2,13.3,3,31.7%,31,-3.6%,4,12.2,3,7.3%
NE,4,23.3%,22,10-7,2,31.2%,9,10.5%,4,-12.8%,18,0.0%,8,10.1,4,24.1%,25,-1.7%,2,12.6,30,25.1%
LAR,5,21.6%,9,12-5,7,21.1%,8,10.6%,5,-8.5%,4,2.5%,1,13.4,5,19.3%,16,0.5%,6,10.7,5,7.4%
SF,6,19.9%,11,10-7,5,25.2%,5,14.9%,7,-7.4%,26,-2.4%,4,11.9,6,18.4%,21,-0.5%,12,10.1,2,6.8%
KC,7,17.3%,6,12-5,6,24.1%,3,18.1%,24,4.5%,3,3.7%,5,11.4,9,13.6%,6,1.6%,5,11.4,20,14.3%
GB,8,11.8%,3,13-4,8,15.3%,2,20.2%,22,3.6%,32,-4.9%,7,10.8,8,14.0%,19,-0.1%,10,10.5,22,15.1%
SEA,9,11.7%,5,7-10,9,14.6%,7,12.7%,21,3.5%,5,2.5%,11,9.6,11,10.1%,12,1.0%,15,9.3,4,7.3%
ARI,10,11.0%,13,11-6,16,0.9%,15,3.2%,6,-8.2%,20,-0.4%,10,9.8,7,15.1%,3,2.7%,8,10.6,16,13.6%
IND,11,9.8%,10,9-8,10,13.0%,13,4.4%,8,-4.9%,14,0.4%,9,9.8,10,12.2%,22,-0.6%,7,10.7,25,15.8%
LAC,12,8.7%,26,9-8,11,10.9%,4,16.0%,26,4.8%,28,-2.4%,15,9.1,12,7.2%,15,0.6%,17,8.9,10,12.1%
CLE,13,4.8%,18,8-9,17,0.2%,14,4.2%,11,-2.5%,25,-1.9%,12,9.6,16,3.9%,24,-1.2%,20,7.9,24,15.7%
NO,14,4.7%,1,9-8,18,-0.2%,23,-10.6%,3,-15.0%,16,0.3%,14,9.5,13,6.2%,23,-0.9%,14,9.4,28,19.3%
PHI,15,3.8%,28,9-8,12,3.2%,11,8.1%,25,4.7%,15,0.3%,13,9.6,15,4.7%,28,-2.7%,13,10.0,8,10.6%
MIN,16,2.6%,20,8-9,19,-0.2%,16,2.6%,16,0.4%,13,0.4%,16,8.7,14,5.7%,11,1.1%,18,8.5,1,4.6%
CIN,17,-0.1%,30,10-7,14,1.8%,18,1.3%,19,3.0%,8,1.6%,18,8.4,17,3.1%,30,-2.9%,9,10.6,17,13.7%
DEN,18,-1.4%,29,7-10,15,1.7%,12,5.5%,20,3.0%,30,-3.9%,20,7.8,18,2.8%,29,-2.8%,16,8.9,15,13.6%
BAL,19,-2.7%,7,8-9,24,-11.0%,17,1.7%,28,9.3%,1,5.0%,21,7.3,19,-1.2%,18,0.3%,19,8.4,7,10.4%
TEN,20,-3.0%,14,12-5,13,2.3%,20,-4.2%,12,-2.3%,23,-1.0%,19,8.0,21,-4.0%,17,0.4%,11,10.3,27,18.7%
LV,21,-5.0%,19,10-7,20,-2.3%,19,-3.4%,17,0.6%,21,-0.9%,17,8.4,20,-3.0%,8,1.4%,23,6.8,11,12.5%
WAS,22,-10.1%,16,7-10,23,-9.2%,21,-5.3%,27,5.8%,12,1.0%,23,6.8,24,-13.0%,1,3.5%,24,5.9,6,10.2%
PIT,23,-10.2%,8,9-7-1,26,-12.5%,25,-11.0%,14,-0.6%,17,0.2%,22,7.1,25,-13.5%,4,2.2%,22,7.0,9,12.1%
CHI,24,-10.6%,15,6-11,22,-6.6%,26,-13.6%,13,-0.9%,7,2.1%,26,5.0,23,-11.8%,9,1.4%,25,5.8,18,14.0%
MIA,25,-10.9%,12,9-8,21,-5.6%,24,-10.8%,10,-2.9%,29,-2.9%,24,6.6,22,-9.2%,27,-2.5%,21,7.6,14,13.5%
NYJ,26,-18.6%,32,4-13,25,-11.5%,22,-8.3%,32,14.4%,2,4.1%,25,5.7,26,-23.2%,13,0.7%,31,3.9,19,14.2%
CAR,27,-24.2%,21,5-12,31,-35.3%,31,-22.8%,15,-0.2%,24,-1.6%,32,4.2,27,-24.5%,14,0.7%,26,5.7,31,26.4%
HOU,28,-24.3%,24,4-13,28,-21.2%,30,-22.0%,23,3.6%,9,1.3%,30,4.4,28,-25.6%,7,1.6%,30,4.0,26,16.0%
DET,29,-27.2%,27,3-13-1,29,-27.6%,29,-17.7%,29,10.8%,10,1.3%,29,4.7,29,-28.2%,5,2.1%,27,4.9,12,13.0%
ATL,30,-29.4%,17,7-10,27,-19.5%,28,-17.1%,30,11.3%,22,-1.0%,28,4.7,30,-29.4%,20,-0.3%,28,4.7,21,14.4%
NYG,31,-29.6%,25,4-13,32,-39.4%,32,-28.1%,18,2.8%,11,1.3%,31,4.2,31,-31.4%,2,2.8%,29,4.1,23,15.2%
JAX,32,-31.0%,31,3-14,30,-30.8%,27,-15.1%,31,11.7%,31,-4.2%,27,4.7,32,-33.5%,10,1.2%,32,3.3,29,19.4%

