Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
TB,1,31.3%,4,12-4,3,28.0%,20,-3.5%,1,-31.2%,9,3.6%,2,11.7,1,33.0%,24,-2.0%,2,12.6,20,16.8%
OAK,2,28.6%,5,11-5,2,29.5%,2,22.8%,9,-5.5%,15,0.3%,1,11.8,3,25.6%,2,6.3%,3,11.6,27,20.7%
MIA,3,25.2%,10,9-7,5,25.1%,11,6.9%,2,-15.0%,10,3.3%,5,10.1,5,22.3%,7,3.3%,5,10.2,29,22.4%
KC,4,23.4%,17,8-8,4,27.0%,1,35.4%,31,15.1%,11,3.1%,3,10.5,4,22.3%,3,6.0%,7,9.6,25,19.9%
PHI,5,23.0%,2,12-4,6,23.4%,10,6.9%,4,-10.3%,5,5.7%,4,10.5,2,26.4%,32,-7.4%,1,12.6,19,16.8%
NYJ,6,15.8%,9,9-7,1,30.4%,4,18.4%,26,9.1%,4,6.4%,6,10.1,8,12.6%,6,4.6%,16,8.6,32,30.0%
NE,7,14.7%,11,9-7,12,7.0%,9,7.0%,15,-0.8%,3,6.9%,9,9.6,9,11.5%,4,5.7%,14,9.0,16,14.6%
DEN,8,14.6%,14,9-7,8,14.6%,5,17.0%,18,0.6%,20,-1.8%,7,10.1,7,12.7%,1,7.0%,8,9.3,1,7.1%
ATL,9,14.2%,24,9-6-1,9,13.5%,15,1.8%,8,-7.2%,6,5.2%,13,8.9,6,16.3%,21,-1.2%,4,10.4,24,19.4%
SF,10,12.3%,3,10-6,15,6.3%,3,19.0%,21,2.6%,26,-4.1%,11,9.3,11,11.1%,20,-1.1%,17,8.4,3,8.2%
NO,11,9.5%,19,9-7,14,6.4%,21,-4.6%,14,-1.9%,1,12.2%,8,9.6,12,10.3%,16,-0.4%,12,9.1,13,13.4%
TEN,12,8.5%,18,11-5,7,16.4%,6,9.0%,19,1.1%,13,0.6%,10,9.5,13,9.8%,29,-5.1%,10,9.2,12,13.0%
GB,13,7.8%,6,12-4,11,8.7%,14,3.1%,5,-8.5%,25,-3.8%,12,9.0,10,11.1%,22,-1.7%,6,9.9,10,12.2%
PIT,14,5.8%,7,10-5-1,10,9.7%,12,6.7%,11,-4.3%,28,-5.1%,16,8.1,14,4.0%,17,-0.5%,11,9.2,15,14.2%
CLE,15,0.8%,21,9-7,18,-2.8%,24,-6.4%,10,-4.4%,12,2.7%,15,8.2,17,-1.3%,15,-0.2%,15,8.7,4,8.5%
NYG,16,-0.1%,22,10-6,16,4.6%,13,4.2%,16,-0.6%,27,-4.9%,19,7.8,15,3.6%,31,-5.8%,9,9.3,2,7.7%
SEA,17,-1.0%,16,7-9,13,6.5%,7,7.8%,27,9.1%,14,0.3%,25,6.7,19,-4.3%,18,-0.6%,19,7.6,17,15.0%
BAL,18,-1.3%,13,7-9,17,0.2%,23,-6.0%,7,-7.4%,22,-2.6%,14,8.7,23,-9.4%,14,0.1%,22,6.9,6,10.8%
IND,19,-1.6%,23,10-6,24,-7.3%,19,0.4%,17,-0.2%,21,-2.2%,17,8.0,18,-2.1%,27,-4.1%,13,9.1,9,11.8%
JAX,20,-1.7%,20,6-10,19,-4.5%,8,7.6%,25,8.1%,18,-1.2%,21,7.3,16,2.2%,28,-4.1%,18,8.4,14,14.1%
STL,21,-3.3%,1,7-9,23,-7.2%,26,-10.4%,6,-7.8%,17,-0.7%,18,7.9,22,-7.9%,12,0.9%,25,6.5,30,25.0%
SD,22,-3.4%,12,8-8,25,-7.8%,16,1.5%,23,3.1%,19,-1.8%,20,7.4,20,-4.7%,5,5.0%,21,7.0,31,25.6%
BUF,23,-8.1%,29,8-8,22,-5.9%,18,0.8%,24,5.9%,24,-3.0%,23,7.1,21,-7.4%,8,3.3%,20,7.5,23,19.0%
