Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
WAS,24,-10.8%,15,7-9,20,-5.8%,25,-7.2%,12,-4.2%,31,-7.8%,22,7.3,26,-11.9%,26,-3.3%,26,6.3,26,20.5%
CAR,25,-11.8%,31,7-9,27,-17.6%,30,-24.9%,3,-13.2%,16,-0.1%,24,7.0,25,-11.0%,23,-1.8%,24,6.6,28,20.8%
CHI,26,-12.6%,8,4-12,26,-16.5%,28,-14.0%,22,2.6%,7,4.0%,26,6.3,27,-14.4%,9,2.0%,27,5.2,11,12.9%
MIN,27,-15.7%,30,6-10,21,-5.8%,17,1.0%,28,10.4%,30,-6.2%,28,5.0,24,-10.1%,11,1.1%,23,6.7,8,11.3%
DAL,28,-24.3%,28,5-11,30,-31.9%,29,-24.9%,13,-3.2%,23,-2.6%,27,5.2,28,-23.9%,30,-5.4%,28,4.4,18,16.0%
CIN,29,-28.9%,27,2-14,28,-21.9%,22,-5.4%,30,14.1%,32,-9.4%,29,3.4,30,-28.8%,13,0.4%,32,3.6,21,18.1%
DET,30,-31.1%,26,3-13,29,-30.1%,31,-25.3%,29,13.6%,2,7.8%,30,3.3,29,-26.6%,19,-0.8%,29,4.4,5,9.9%
ARI,31,-38.7%,25,5-11,32,-47.9%,27,-12.3%,32,20.3%,29,-6.0%,31,3.2,32,-42.9%,10,1.5%,30,3.9,22,19.0%
HOU,32,-41.4%,0,4-12,31,-38.6%,32,-43.3%,20,1.9%,8,3.8%,32,1.2,31,-39.5%,25,-2.3%,31,3.7,7,11.2%

