Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
NE,1,44.3%,1,14-2,1,55.9%,1,42.8%,23,3.2%,8,4.7%,1,14.5,1,39.5%,7,4.5%,1,12.6,18,20.2%
PIT,2,34.7%,11,12-4,2,38.3%,5,14.5%,1,-19.8%,16,0.4%,3,12.0,2,31.1%,9,4.0%,3,12.1,15,15.4%
GB,3,23.5%,3,10-6,4,24.0%,7,11.9%,2,-14.0%,26,-2.4%,6,10.9,4,22.7%,13,2.4%,2,12.1,11,14.8%
PHI,4,22.2%,2,10-6,5,19.7%,3,18.2%,13,-1.7%,12,2.3%,5,11.7,3,24.4%,19,-0.7%,9,9.5,6,9.8%
BAL,5,21.9%,4,12-4,3,26.9%,12,5.7%,5,-10.2%,4,6.0%,2,12.1,9,15.3%,7,4.5%,6,10.6,1,5.3%
ATL,6,20.4%,16,13-3,7,18.9%,8,8.3%,9,-5.8%,3,6.3%,4,11.9,5,21.5%,22,-2.4%,4,11.4,2,5.8%
NYJ,7,17.7%,9,11-5,8,14.4%,15,2.3%,6,-9.7%,5,5.8%,8,10.0,7,17.4%,5,5.9%,8,9.8,29,24.8%
SD,8,14.7%,13,9-7,6,19.3%,4,15.6%,7,-9.2%,32,-10.2%,10,9.3,6,20.1%,27,-6.1%,5,11.0,26,23.7%
NO,9,12.5%,6,11-5,9,13.5%,11,6.3%,8,-7.8%,21,-1.5%,9,9.7,8,16.9%,26,-5.6%,11,9.3,7,9.8%
NYG,10,11.8%,18,10-6,10,11.0%,10,7.3%,4,-10.3%,30,-5.8%,7,10.2,10,13.9%,23,-3.8%,7,10.1,28,24.4%
TEN,11,6.0%,22,6-10,16,-0.4%,20,-4.2%,10,-4.9%,6,5.3%,11,8.6,13,2.9%,17,1.1%,16,8.5,22,21.4%
HOU,12,3.6%,12,6-10,15,6.3%,2,21.6%,30,16.3%,23,-1.7%,18,8.0,14,2.8%,15,1.6%,18,7.1,16,17.9%
TB,13,2.8%,26,10-6,13,7.5%,9,8.1%,25,4.7%,18,-0.5%,14,8.2,11,8.2%,25,-4.3%,15,8.7,12,15.0%
CHI,14,2.2%,25,11-5,11,8.8%,28,-16.0%,3,-10.8%,1,7.4%,13,8.3,18,-0.1%,18,0.7%,10,9.5,30,25.3%
DET,15,2.1%,32,6-10,14,6.6%,19,-0.6%,16,-0.2%,11,2.6%,17,8.0,16,0.8%,10,3.8%,17,7.8,4,8.9%
MIA,16,1.6%,17,7-9,17,-2.9%,18,1.0%,12,-4.3%,29,-3.7%,12,8.5,19,-3.8%,3,9.0%,23,6.2,13,15.0%
IND,17,1.0%,8,10-6,18,-3.7%,6,13.1%,26,5.8%,31,-6.3%,16,8.1,15,1.2%,14,1.9%,12,9.2,3,7.4%
