Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
KC,1,33.2%,10,12-4,1,29.4%,1,35.4%,27,7.7%,2,5.6%,1,13.0,1,31.8%,15,-0.3%,4,11.0,9,10.8%
NO,2,25.2%,1,13-3,2,28.5%,4,16.1%,8,-7.3%,9,1.7%,3,11.7,3,26.8%,16,-0.6%,2,11.5,10,11.9%
LAR,3,23.9%,3,13-3,5,20.8%,2,25.0%,16,1.0%,17,-0.2%,2,12.5,2,28.7%,24,-2.1%,3,11.2,2,7.1%
LAC,4,22.1%,13,12-4,4,21.4%,3,20.8%,10,-4.1%,25,-2.8%,4,10.9,5,22.3%,17,-0.7%,7,10.6,3,7.6%
CHI,5,19.1%,25,12-4,6,20.1%,20,-3.1%,1,-25.4%,26,-3.2%,6,10.6,4,22.8%,31,-5.9%,1,11.6,11,12.0%
BAL,6,15.8%,7,10-6,8,17.7%,13,1.2%,4,-11.7%,6,3.0%,5,10.8,9,13.2%,10,1.0%,5,10.8,17,15.2%
NE,7,13.5%,6,11-5,7,18.6%,5,14.7%,19,1.4%,16,0.1%,8,9.9,8,14.4%,27,-2.4%,6,10.8,20,15.9%
IND,8,12.4%,30,10-6,3,22.3%,10,7.9%,11,-3.5%,12,0.9%,7,10.0,6,18.5%,32,-6.7%,9,10.3,18,15.3%
PIT,9,11.3%,4,9-6-1,11,10.8%,6,14.3%,14,-0.5%,27,-3.5%,11,9.2,13,6.1%,4,3.4%,11,9.7,15,14.3%
MIN,10,10.5%,2,8-7-1,9,15.4%,18,-1.2%,3,-12.6%,19,-0.9%,10,9.2,11,7.6%,26,-2.4%,12,8.5,5,9.2%
HOU,11,10.4%,26,11-5,10,11.2%,19,-2.8%,5,-9.7%,5,3.5%,9,9.5,7,15.3%,30,-4.2%,8,10.3,1,6.4%
SEA,12,5.9%,15,10-6,15,4.8%,8,9.1%,17,1.0%,24,-2.2%,12,8.7,10,9.8%,20,-1.5%,10,10.1,7,10.2%
DEN,13,5.5%,29,6-10,14,5.7%,15,0.8%,6,-8.9%,31,-4.2%,13,8.6,12,7.2%,6,2.5%,18,7.4,26,20.2%
CAR,14,0.3%,9,7-9,21,-3.1%,11,6.0%,23,5.5%,18,-0.2%,17,7.7,14,4.5%,14,0.1%,16,7.8,25,19.8%
PHI,15,-1.0%,5,9-7,16,2.7%,16,-0.4%,15,0.9%,15,0.2%,15,7.8,17,-1.7%,12,0.3%,13,8.5,14,14.3%
NYG,16,-1.2%,31,5-11,13,5.9%,14,1.1%,25,6.8%,3,4.5%,16,7.8,19,-2.1%,23,-2.0%,22,6.9,19,15.6%
ATL,17,-2.2%,14,7-9,17,1.6%,9,8.9%,30,12.5%,10,1.4%,18,7.7,16,1.1%,22,-2.0%,17,7.8,4,9.0%
DAL,18,-2.3%,11,10-6,18,0.1%,24,-6.3%,9,-6.0%,23,-2.1%,21,7.3,15,2.4%,21,-2.0%,14,8.4,8,10.5%
CLE,19,-3.3%,32,7-8-1,12,7.6%,17,-0.7%,13,-1.6%,30,-4.2%,20,7.5,18,-2.0%,3,4.5%,20,7.1,13,12.8%
GB,20,-4.4%,17,6-9-1,22,-8.4%,7,11.2%,29,11.6%,29,-4.1%,14,7.8,21,-6.8%,28,-3.4%,19,7.4,29,22.1%
TEN,21,-6.0%,18,9-7,20,-1.7%,23,-5.6%,18,1.3%,13,0.8%,19,7.5,20,-4.2%,13,0.1%,15,8.2,24,19.3%
JAX,22,-8.5%,8,5-11,25,-14.2%,30,-21.7%,7,-8.8%,4,4.4%,25,6.0,22,-9.9%,11,0.9%,26,5.7,6,10.1%
DET,23,-10.5%,12,6-10,19,-0.2%,22,-5.2%,21,4.4%,20,-0.9%,23,6.6,23,-10.1%,19,-1.4%,21,7.0,31,24.5%
CIN,24,-10.8%,24,6-10,27,-19.6%,21,-3.7%,28,9.7%,7,2.6%,22,7.1,25,-14.8%,2,5.5%,24,5.9,21,17.5%
TB,25,-14.4%,23,5-11,24,-12.4%,12,5.9%,32,16.2%,28,-4.1%,28,5.4,26,-17.8%,7,2.0%,23,6.4,12,12.7%
NYJ,26,-17.0%,27,4-12,26,-19.0%,29,-20.2%,22,4.9%,1,8.1%,27,5.6,27,-19.6%,18,-1.3%,28,5.3,27,21.9%
MIA,27,-17.7%,28,7-9,31,-29.6%,26,-9.5%,26,7.1%,21,-1.1%,29,5.0,28,-20.9%,29,-3.5%,29,5.1,30,22.9%
BUF,28,-18.6%,22,6-10,23,-8.8%,31,-27.5%,2,-14.0%,32,-5.1%,24,6.4,29,-21.9%,9,1.1%,30,5.0,32,25.3%
WAS,29,-20.1%,16,7-9,30,-28.5%,28,-19.8%,20,2.8%,8,2.5%,26,5.8,24,-14.7%,25,-2.2%,25,5.7,23,18.0%
SF,30,-22.0%,21,4-12,29,-21.7%,27,-15.8%,24,6.5%,14,0.3%,30,4.7,30,-24.1%,8,1.2%,27,5.6,22,17.8%
OAK,31,-23.4%,20,4-12,28,-20.8%,25,-7.7%,31,14.2%,22,-1.6%,31,4.3,31,-30.2%,1,6.2%,31,3.7,28,22.0%
ARI,32,-38.4%,19,3-13,32,-41.5%,32,-41.8%,12,-2.4%,11,1.0%,32,2.7,32,-39.8%,5,2.8%,32,2.8,16,14.3%

