Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
KC,1,30.5%,4,13-3,6,20.5%,1,33.9%,27,9.7%,1,6.3%,5,10.6,1,33.2%,29,-5.2%,1,11.6,26,20.7%
IND,2,23.2%,19,12-4,7,17.0%,3,17.9%,12,-3.7%,14,1.6%,2,11.3,4,22.4%,14,1.3%,7,10.8,12,16.2%
TEN,3,22.7%,12,12-4,3,30.1%,2,18.0%,9,-4.2%,18,0.5%,4,10.7,2,24.5%,18,-0.1%,6,10.8,22,19.2%
NE,4,21.1%,7,14-2,1,31.9%,14,1.4%,2,-18.8%,16,0.8%,1,11.8,5,20.4%,13,1.4%,3,11.3,19,18.1%
GB,5,20.3%,13,10-6,4,23.5%,7,12.1%,8,-6.5%,13,1.7%,8,9.9,3,22.8%,26,-3.0%,2,11.4,21,18.8%
PHI,6,19.4%,5,12-4,2,31.8%,4,17.6%,21,3.7%,2,5.5%,3,10.9,6,20.0%,22,-1.6%,8,10.5,10,14.5%
BAL,7,15.3%,18,10-6,5,23.3%,27,-13.0%,1,-25.1%,6,3.2%,6,10.5,9,15.9%,24,-2.4%,4,11.1,16,16.5%
SEA,8,12.5%,17,10-6,9,11.0%,5,16.7%,22,4.3%,19,0.2%,7,10.0,10,13.8%,31,-6.5%,10,10.1,3,9.9%
MIA,9,11.9%,3,10-6,8,12.0%,17,-4.6%,5,-13.8%,8,2.7%,11,9.0,13,10.0%,8,2.5%,12,9.6,15,16.4%
DEN,10,10.9%,8,10-6,10,10.0%,9,9.6%,13,-3.1%,23,-1.8%,9,9.4,7,16.1%,11,1.9%,9,10.2,6,12.6%
TB,11,9.4%,1,7-9,20,-1.1%,16,-1.0%,3,-16.9%,32,-6.5%,10,9.4,12,10.2%,19,-0.2%,14,9.2,17,16.6%
MIN,12,6.0%,27,9-7,17,0.3%,6,13.7%,17,1.8%,30,-5.9%,12,8.8,11,10.7%,30,-5.3%,11,9.6,29,25.4%
STL,13,4.9%,21,12-4,11,7.1%,20,-7.0%,4,-14.4%,26,-2.6%,13,8.6,8,16.0%,32,-6.9%,5,11.0,28,22.8%
DAL,14,4.3%,28,10-6,13,5.3%,22,-7.1%,6,-12.6%,21,-1.1%,15,8.3,14,9.1%,28,-5.0%,15,9.0,23,19.6%
NYJ,15,1.8%,6,6-10,14,4.0%,8,12.0%,29,12.4%,10,2.2%,14,8.3,17,0.3%,9,2.3%,18,7.5,11,14.6%
CAR,16,-0.2%,25,11-5,16,0.3%,18,-4.8%,11,-4.0%,17,0.6%,19,7.6,15,3.9%,27,-4.2%,16,8.6,1,4.9%
JAX,17,-0.8%,20,5-11,12,6.2%,15,1.1%,10,-4.1%,31,-6.0%,16,7.8,21,-3.4%,4,4.3%,22,6.3,5,12.3%
SF,18,-0.8%,10,7-9,21,-4.6%,11,7.8%,20,3.0%,28,-5.6%,21,7.1,16,1.1%,23,-2.1%,13,9.3,32,35.0%
NO,19,-1.5%,11,8-8,18,-0.8%,13,2.6%,18,2.5%,22,-1.6%,18,7.6,18,-1.7%,20,-0.2%,17,8.4,2,9.8%
PIT,20,-2.7%,14,6-10,19,-1.1%,19,-6.0%,15,0.5%,3,3.8%,20,7.2,19,-1.9%,16,0.6%,19,7.2,18,17.0%
CIN,21,-5.3%,29,8-8,15,1.6%,10,8.3%,31,14.8%,15,1.2%,17,7.6,20,-2.6%,25,-2.5%,20,7.0,9,13.9%
CLE,22,-8.6%,15,5-11,27,-15.0%,23,-8.8%,14,-0.2%,20,0.0%,25,6.0,23,-14.3%,7,2.6%,24,5.8,24,19.8%
BUF,23,-8.9%,23,6-10,26,-15.0%,29,-16.3%,7,-9.6%,25,-2.2%,22,6.8,22,-13.3%,2,6.6%,21,6.8,31,33.6%
SD,24,-13.6%,22,4-12,23,-9.2%,12,3.7%,30,13.4%,27,-3.9%,26,5.9,29,-21.8%,6,2.9%,29,4.8,20,18.3%
WAS,25,-13.9%,24,5-11,25,-14.6%,21,-7.1%,25,9.2%,9,2.5%,28,5.5,25,-14.9%,15,1.1%,25,5.6,7,13.2%
ATL,26,-14.5%,9,5-11,24,-13.3%,25,-9.9%,24,6.4%,12,1.9%,30,5.2,24,-14.7%,10,2.3%,28,4.8,14,16.3%
CHI,27,-15.1%,26,7-9,22,-5.4%,30,-16.7%,16,1.7%,5,3.3%,24,6.1,26,-15.7%,21,-1.3%,23,6.1,8,13.3%
OAK,28,-18.2%,2,4-12,30,-23.3%,24,-9.3%,28,10.8%,11,1.9%,27,5.7,28,-21.0%,3,4.3%,27,4.9,25,20.0%
DET,29,-20.8%,30,5-11,28,-19.8%,32,-21.9%,19,2.6%,4,3.7%,23,6.3,27,-19.3%,17,0.6%,26,4.9,13,16.3%
HOU,30,-21.9%,32,5-11,29,-21.5%,28,-15.0%,26,9.7%,7,2.8%,31,5.0,31,-27.4%,1,8.4%,30,4.4,4,12.1%
NYG,31,-22.8%,16,4-12,31,-38.3%,26,-11.5%,23,5.4%,29,-5.9%,29,5.5,30,-27.0%,5,3.1%,31,4.0,27,22.5%
ARI,32,-43.1%,31,4-12,32,-45.5%,31,-21.8%,32,19.1%,24,-2.2%,32,3.8,32,-44.9%,12,1.6%,32,2.5,30,30.0%

