Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
DAL,1,32.4%,1,12-4,3,28.2%,2,18.8%,2,-11.9%,8,1.7%,2,12.3,1,33.7%,22,-1.2%,2,12.4,25,18.2%
PIT,2,30.4%,8,12-4,2,36.6%,4,13.5%,1,-17.0%,15,-0.1%,1,13.1,2,32.1%,28,-4.0%,5,10.7,3,7.4%
SF,3,28.0%,2,13-3,1,37.5%,1,19.5%,7,-7.4%,11,1.1%,3,11.3,3,29.0%,24,-1.8%,1,12.7,26,22.4%
GB,4,21.1%,9,9-7,4,21.9%,5,13.5%,6,-10.4%,22,-2.7%,4,10.0,4,18.5%,15,0.1%,4,10.7,11,10.7%
MIA,5,16.5%,15,10-6,5,13.5%,3,18.5%,12,-1.9%,26,-3.9%,6,9.6,6,14.8%,11,1.0%,7,9.7,14,11.5%
KC,6,13.3%,3,9-7,7,11.6%,7,8.1%,9,-4.6%,13,0.6%,5,9.9,5,16.0%,23,-1.6%,10,8.6,21,15.4%
SD,7,10.3%,5,11-5,9,7.4%,6,9.2%,21,4.4%,2,5.5%,7,9.6,7,12.8%,21,-1.0%,6,10.1,4,7.9%
PHI,8,9.9%,11,7-9,12,2.3%,16,-1.9%,5,-10.6%,10,1.2%,10,8.8,8,11.8%,13,0.3%,12,8.0,27,23.9%
CLE1,9,9.4%,17,11-5,8,8.3%,17,-3.9%,10,-3.2%,1,10.1%,9,9.5,9,10.6%,26,-2.9%,3,12.2,7,9.1%
MIN,10,5.0%,12,10-6,15,0.8%,18,-4.0%,4,-11.2%,21,-2.3%,13,8.1,10,7.2%,7,1.6%,8,9.2,23,16.5%
NE,11,4.6%,25,10-6,10,6.7%,14,-1.0%,8,-4.9%,12,0.7%,8,9.6,11,5.8%,9,1.5%,9,9.1,9,9.6%
DET,12,4.4%,19,9-7,6,12.1%,8,7.4%,15,2.7%,16,-0.3%,11,8.6,12,-0.1%,1,3.6%,11,8.4,24,17.8%
BUF,13,0.7%,13,7-9,17,-2.8%,10,5.0%,22,4.5%,14,0.1%,16,7.7,14,-3.1%,3,2.4%,14,7.5,12,11.0%
NO,14,-0.2%,16,7-9,13,1.8%,9,7.3%,20,4.0%,25,-3.5%,12,8.1,13,-1.1%,17,0.0%,21,6.4,6,8.8%
LARD,15,-4.6%,10,9-7,14,0.9%,23,-9.4%,11,-2.9%,7,1.8%,15,7.7,17,-5.9%,5,2.2%,15,7.3,19,14.4%
CHI,16,-5.0%,21,9-7,16,-2.3%,13,-0.8%,16,2.7%,18,-1.4%,14,8.0,23,-12.0%,10,1.4%,19,6.8,22,16.2%
NYJ,17,-6.9%,14,6-10,18,-6.2%,15,-1.8%,18,3.7%,17,-1.4%,21,6.1,19,-6.9%,6,1.9%,22,6.2,2,7.4%
SEA,18,-7.2%,20,6-10,25,-18.0%,25,-10.9%,13,-0.4%,4,3.3%,23,6.1,16,-4.4%,27,-3.6%,17,6.9,10,10.7%
NYG,19,-8.4%,7,9-7,20,-9.0%,22,-8.0%,17,3.6%,5,3.2%,17,6.8,18,-6.8%,12,0.4%,16,7.2,15,12.1%
IND,20,-8.7%,28,8-8,19,-6.4%,20,-6.3%,14,0.6%,19,-1.8%,19,6.6,15,-3.2%,25,-2.6%,13,7.6,5,8.7%
ARI,21,-10.1%,18,8-8,11,3.4%,26,-16.6%,3,-11.3%,27,-4.8%,20,6.4,20,-8.1%,20,-0.7%,18,6.9,28,24.2%
DEN,22,-11.3%,6,7-9,21,-10.8%,11,1.4%,28,14.7%,6,2.0%,22,6.1,21,-11.5%,14,0.2%,20,6.7,1,6.5%
ATL,23,-11.9%,22,7-9,23,-13.4%,19,-5.3%,19,3.9%,23,-2.7%,18,6.6,22,-11.7%,8,1.5%,23,6.1,18,13.9%
LARM,24,-12.8%,23,4-12,22,-11.6%,12,-0.7%,24,6.3%,28,-5.9%,25,5.5,24,-12.5%,18,-0.1%,24,5.7,8,9.4%
WAS,25,-18.9%,24,3-13,26,-20.4%,24,-10.1%,26,13.1%,3,4.2%,26,4.7,26,-24.4%,19,-0.3%,25,5.6,16,12.4%
TB,26,-20.0%,27,6-10,24,-16.2%,21,-6.9%,27,14.6%,9,1.5%,24,5.6,25,-17.2%,16,0.0%,26,5.0,17,12.7%
CIN,27,-27.2%,26,3-13,27,-27.2%,27,-16.9%,25,7.5%,24,-2.8%,27,4.0,28,-35.5%,2,3.0%,27,4.5,20,14.6%
HOIL,28,-29.9%,4,2-14,28,-27.2%,28,-22.2%,23,5.8%,20,-1.9%,28,3.3,27,-32.2%,4,2.2%,28,4.2,13,11.3%

