Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
BAL,1,41.2%,6,14-2,1,48.2%,1,28.2%,5,-11.5%,9,1.5%,2,12.9,1,43.8%,24,-2.5%,1,13.4,20,16.2%
NO,2,32.7%,2,13-3,2,42.2%,4,22.0%,8,-7.1%,3,3.6%,1,13.3,2,36.1%,19,-1.0%,6,10.9,5,8.5%
NE,3,30.7%,7,12-4,5,19.5%,11,4.3%,1,-25.2%,11,1.2%,3,12.3,3,34.3%,32,-6.6%,2,13.1,14,13.4%
KC,4,30.1%,1,12-4,3,31.7%,3,23.5%,14,-2.6%,2,4.1%,5,12.0,4,27.4%,16,0.1%,4,11.6,7,8.8%
SF,5,29.0%,30,13-3,4,25.5%,7,7.7%,2,-20.3%,12,1.0%,4,12.1,5,26.9%,11,0.8%,3,12.0,17,13.8%
DAL,6,19.9%,18,8-8,8,14.2%,2,24.5%,16,0.7%,30,-3.9%,6,11.4,6,24.5%,27,-3.3%,5,10.9,10,11.0%
MIN,7,17.9%,10,10-6,6,18.1%,10,4.8%,4,-12.3%,14,0.8%,8,10.7,7,22.0%,21,-1.2%,7,10.8,3,7.4%
SEA,8,12.7%,12,11-5,9,10.1%,5,17.7%,21,4.1%,20,-0.9%,7,10.7,11,6.1%,2,5.5%,14,8.2,6,8.6%
GB,9,7.7%,20,13-3,13,5.4%,8,6.6%,15,-0.9%,18,0.1%,9,9.9,9,7.1%,17,-0.4%,9,9.8,22,18.3%
TEN,10,7.6%,21,9-7,7,17.6%,6,13.0%,18,1.9%,29,-3.5%,10,9.1,8,14.2%,28,-3.8%,8,9.9,25,19.1%
