Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
PHI,11,5.5%,15,9-7,11,6.0%,14,2.4%,12,-3.1%,19,0.0%,12,9.0,10,6.9%,26,-3.2%,11,8.8,26,19.3%
LAR,12,5.3%,3,9-7,14,4.7%,16,0.6%,9,-6.1%,23,-1.5%,11,9.1,14,1.4%,1,6.0%,12,8.8,29,20.9%
BUF,13,1.6%,28,10-6,10,7.4%,21,-7.1%,7,-9.9%,21,-1.2%,15,7.6,12,5.7%,31,-4.9%,10,9.8,11,11.3%
TB,14,0.3%,25,7-9,12,5.6%,23,-7.4%,6,-10.5%,27,-2.8%,21,6.9,13,3.1%,14,0.4%,13,8.2,8,9.5%
ATL,15,-1.9%,17,7-9,15,4.3%,15,2.3%,17,1.4%,28,-2.9%,13,7.9,18,-6.3%,5,3.8%,19,7.5,15,13.6%
HOU,16,-2.2%,11,10-6,19,-6.8%,17,0.6%,22,5.6%,5,2.9%,14,7.7,16,-2.1%,7,2.4%,15,7.8,19,15.0%
ARI,17,-3.1%,32,5-10-1,16,3.0%,13,3.2%,20,4.0%,26,-2.4%,17,7.3,22,-8.1%,3,4.3%,23,6.0,21,16.4%
CHI,18,-3.1%,5,8-8,17,-2.8%,25,-9.9%,10,-5.8%,13,0.9%,16,7.6,21,-7.5%,6,3.2%,20,7.4,2,7.1%
PIT,19,-5.8%,9,8-8,18,-6.0%,31,-25.1%,3,-17.8%,8,1.5%,18,7.3,17,-5.6%,12,0.7%,18,7.6,9,10.2%
IND,20,-6.0%,8,7-9,20,-7.4%,19,-3.4%,19,3.0%,16,0.4%,20,7.2,15,-2.1%,30,-4.4%,17,7.7,12,11.7%
DET,21,-8.1%,23,3-12-1,25,-15.2%,18,-3.0%,23,6.5%,10,1.4%,22,6.6,23,-10.0%,10,1.2%,24,5.9,1,6.7%
LAC,22,-8.9%,4,5-11,21,-7.5%,12,3.5%,25,7.2%,32,-5.1%,27,5.5,19,-6.9%,23,-2.3%,16,7.8,13,12.0%
DEN,23,-10.4%,13,7-9,22,-8.5%,26,-11.3%,13,-2.8%,24,-1.9%,23,6.4,20,-7.2%,15,0.1%,21,6.9,16,13.7%
CLE,24,-10.6%,19,6-10,24,-13.9%,20,-4.8%,24,6.6%,15,0.8%,26,6.1,26,-15.9%,9,2.0%,22,6.4,27,19.4%
OAK,25,-12.7%,31,7-9,26,-16.6%,9,5.4%,31,15.8%,25,-2.3%,19,7.2,24,-11.6%,22,-1.8%,28,5.2,28,19.4%
NYJ,26,-17.7%,26,7-9,23,-10.5%,32,-25.4%,11,-4.2%,4,3.4%,25,6.2,25,-13.7%,29,-4.3%,25,5.6,32,26.7%
NYG,27,-18.6%,16,4-12,27,-16.7%,22,-7.4%,28,11.5%,17,0.3%,31,3.8,28,-19.1%,20,-1.0%,27,5.3,4,7.7%
JAX,28,-19.4%,22,6-10,31,-29.6%,24,-9.9%,29,12.3%,6,2.7%,24,6.4,27,-17.4%,25,-2.7%,26,5.3,31,22.6%
CAR,29,-26.5%,14,5-11,32,-40.5%,27,-14.4%,26,8.0%,31,-4.1%,30,4.0,30,-29.8%,4,4.2%,29,4.9,30,21.1%
WAS,30,-26.9%,29,3-13,30,-27.2%,30,-20.7%,27,8.9%,7,2.7%,28,4.4,29,-25.4%,13,0.4%,31,3.7,24,19.0%
CIN,31,-27.6%,24,2-14,28,-20.9%,29,-16.6%,30,15.6%,1,4.6%,29,4.0,31,-31.7%,8,2.3%,30,4.3,18,14.0%
MIA,32,-38.8%,27,5-11,29,-26.8%,28,-14.5%,32,23.0%,22,-1.3%,32,3.0,32,-38.5%,18,-0.6%,32,3.6,23,18.4%

