Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
NE,1,53.4%,3,16-0,1,42.3%,1,44.1%,10,-5.7%,7,3.6%,1,15.2,1,54.2%,16,0.9%,1,14.1,12,13.8%
IND,2,29.6%,7,13-3,4,23.6%,2,23.0%,2,-13.5%,32,-6.9%,2,12.5,2,29.0%,7,2.7%,2,12.7,17,15.5%
JAX,3,23.2%,6,11-5,2,31.6%,3,21.9%,17,-1.2%,14,0.0%,3,11.7,8,20.1%,11,1.4%,7,10.9,11,13.7%
DAL,4,23.0%,9,13-3,7,14.8%,4,17.4%,9,-6.0%,18,-0.4%,5,11.0,3,26.0%,21,-1.1%,6,11.2,31,24.7%
GB,5,20.5%,20,13-3,5,18.0%,5,16.0%,16,-1.5%,8,3.0%,4,11.1,4,25.9%,29,-6.2%,3,11.7,30,24.3%
PIT,6,19.2%,11,10-6,12,8.4%,10,8.1%,3,-12.7%,21,-1.6%,12,9.1,5,21.7%,24,-2.2%,4,11.4,28,23.8%
SD,7,17.8%,1,11-5,3,24.3%,14,5.2%,5,-7.5%,5,5.1%,11,9.4,9,15.8%,19,-0.1%,5,11.4,26,21.7%
TB,8,17.5%,31,9-7,9,12.2%,13,5.9%,4,-11.2%,12,0.3%,6,10.3,7,21.0%,30,-7.7%,9,10.0,27,23.3%
SEA,9,14.0%,25,10-6,8,14.2%,12,6.6%,8,-6.2%,11,1.2%,10,9.5,6,21.4%,32,-10.5%,8,10.8,6,11.4%
PHI,10,11.1%,4,8-8,10,10.2%,6,12.7%,11,-4.8%,31,-6.4%,7,9.7,13,5.3%,5,4.3%,11,9.1,21,17.0%
TEN,11,10.0%,23,10-6,14,5.9%,19,-3.5%,1,-13.9%,17,-0.4%,8,9.7,12,5.8%,13,1.2%,16,8.1,24,19.6%
CLE,12,8.8%,26,10-6,6,15.0%,9,8.2%,25,7.4%,2,8.1%,9,9.6,10,10.7%,26,-4.2%,14,8.5,2,6.4%
WAS,13,5.3%,22,9-7,11,9.3%,17,-0.9%,7,-6.6%,16,-0.4%,18,7.7,16,-1.6%,4,4.9%,12,8.7,19,16.1%
MIN,14,5.1%,21,8-8,13,7.3%,16,-0.8%,13,-3.4%,9,2.5%,13,8.9,11,7.6%,28,-4.6%,10,9.5,22,17.4%
NYG,15,1.4%,8,10-6,16,3.2%,18,-1.1%,14,-3.3%,20,-0.9%,14,8.2,17,-3.8%,12,1.3%,13,8.6,3,9.3%
CIN,16,-0.2%,12,7-9,20,-0.2%,7,12.2%,31,11.5%,19,-0.8%,15,8.1,14,5.1%,22,-1.7%,17,7.9,1,6.2%
HOU,17,-0.8%,29,8-8,18,0.7%,15,1.6%,28,9.2%,3,6.9%,16,7.9,20,-6.1%,8,2.7%,18,7.9,14,14.5%
DEN,18,-1.7%,15,7-9,19,0.4%,8,9.1%,22,5.7%,28,-5.1%,19,7.7,15,1.0%,18,0.2%,21,5.6,32,35.9%
NO,19,-5.7%,10,7-9,15,3.6%,11,6.7%,27,8.2%,25,-4.3%,21,6.9,19,-4.5%,25,-3.3%,19,7.8,10,13.4%
CHI,20,-6.2%,5,7-9,17,1.9%,30,-22.2%,12,-4.8%,1,11.2%,20,7.0,21,-8.8%,14,1.0%,20,7.6,4,10.5%
BAL,21,-6.6%,2,5-11,23,-9.9%,25,-13.5%,6,-6.8%,13,0.1%,22,6.5,23,-13.6%,9,2.7%,26,4.9,20,16.6%
BUF,22,-6.7%,18,7-9,21,-0.9%,23,-10.1%,19,1.5%,6,4.9%,17,7.8,22,-11.7%,1,6.8%,25,4.9,9,13.0%
ARI,23,-11.9%,30,8-8,24,-13.4%,20,-3.8%,20,3.6%,26,-4.5%,25,5.5,18,-4.0%,31,-8.7%,15,8.1,13,14.3%
NYJ,24,-17.3%,17,4-12,22,-9.4%,22,-9.6%,29,9.3%,10,1.6%,28,4.6,24,-19.8%,2,6.2%,24,5.4,5,11.4%
KC,25,-20.4%,13,4-12,26,-23.3%,29,-19.6%,15,-3.2%,24,-4.0%,26,5.2,27,-22.3%,17,0.6%,28,4.6,29,24.0%
CAR,26,-21.1%,14,7-9,25,-20.2%,26,-14.8%,18,0.5%,30,-5.8%,23,5.8,25,-20.2%,15,1.0%,22,5.6,16,15.4%
ATL,27,-23.1%,19,4-12,27,-24.4%,27,-16.8%,23,6.3%,15,-0.1%,27,5.1,26,-21.1%,20,-1.1%,29,3.9,18,15.9%
MIA,28,-23.2%,16,1-15,29,-27.7%,21,-6.7%,32,13.8%,22,-2.7%,29,4.2,30,-30.2%,3,5.6%,31,3.7,7,11.8%
DET,29,-24.3%,27,7-9,30,-27.8%,24,-10.3%,30,10.4%,23,-3.5%,24,5.6,28,-24.5%,6,3.1%,23,5.5,23,18.4%
OAK,30,-30.8%,32,4-12,28,-25.9%,28,-18.0%,24,7.3%,29,-5.5%,31,3.1,29,-29.0%,10,2.1%,27,4.8,25,21.2%
STL,31,-33.2%,24,3-13,31,-29.6%,31,-23.2%,21,5.3%,27,-4.7%,32,2.3,31,-30.3%,23,-2.2%,32,3.5,8,12.6%
SF,32,-35.4%,28,5-11,32,-31.3%,32,-32.8%,26,7.8%,4,5.2%,30,3.9,32,-31.3%,27,-4.2%,30,3.7,15,14.6%

