Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
STL,1,38.7%,19,13-3,1,34.7%,4,18.1%,3,-17.8%,9,2.8%,1,12.7,1,46.1%,31,-15.5%,1,14.0,4,10.0%
JAX,2,26.6%,10,14-2,3,21.6%,9,11.5%,6,-8.7%,2,6.4%,2,12.1,2,34.5%,30,-10.7%,2,12.9,20,16.7%
OAK,3,21.1%,27,8-8,4,21.0%,2,20.8%,11,-5.1%,27,-4.9%,4,11.0,6,14.5%,3,7.4%,9,9.7,11,13.1%
KC,4,16.8%,18,9-7,6,16.3%,6,14.1%,9,-6.7%,26,-4.0%,8,9.8,5,15.3%,4,5.9%,6,9.9,9,11.9%
TEN,5,14.9%,14,13-3,5,20.6%,3,18.5%,22,5.8%,10,2.2%,3,11.2,4,19.2%,27,-6.1%,7,9.9,22,17.6%
BUF,6,14.5%,7,11-5,8,14.6%,7,12.8%,12,-4.5%,24,-2.7%,9,9.7,8,14.2%,12,1.6%,3,10.9,24,19.6%
MIN,7,14.5%,3,10-6,2,23.9%,8,11.9%,19,2.2%,3,4.8%,7,9.9,9,11.7%,16,0.7%,8,9.7,3,9.7%
TB,8,12.1%,13,11-5,12,11.9%,24,-10.3%,2,-19.3%,8,3.0%,5,10.3,13,6.7%,18,0.5%,12,9.2,27,21.0%
SEA,9,11.9%,12,9-7,10,13.3%,17,-2.7%,4,-11.1%,6,3.5%,12,9.2,14,6.3%,7,4.6%,13,9.2,14,14.0%
WAS,10,11.0%,28,10-6,19,2.8%,1,21.8%,26,8.5%,23,-2.4%,13,9.1,3,19.5%,26,-5.6%,10,9.6,8,11.3%
DAL,11,10.7%,9,8-8,9,14.4%,12,4.5%,13,-4.3%,12,1.8%,15,8.9,7,14.3%,28,-6.6%,5,10.3,7,11.1%
BAL,12,9.4%,16,8-8,13,11.8%,27,-13.4%,1,-20.9%,11,1.9%,6,10.0,10,10.4%,25,-3.5%,11,9.5,12,13.5%
DEN,13,8.4%,1,6-10,11,12.3%,14,3.6%,10,-6.3%,22,-1.6%,10,9.7,20,1.4%,1,9.7%,20,7.9,16,14.3%
NYJ,14,7.1%,2,8-8,7,15.7%,13,4.1%,15,-1.6%,14,1.4%,14,9.0,15,5.2%,5,5.6%,18,8.0,6,10.8%
DET,15,6.6%,20,8-8,17,3.7%,15,-0.7%,14,-4.2%,7,3.1%,16,8.6,11,7.6%,6,5.4%,17,8.0,19,16.5%
MIA,16,5.9%,5,9-7,16,3.7%,20,-6.6%,8,-8.4%,4,4.2%,17,8.4,17,3.3%,9,3.6%,21,7.7,23,18.4%
GB,17,5.4%,8,8-8,18,2.9%,11,8.0%,18,1.6%,19,-1.0%,18,8.0,16,5.0%,13,1.5%,16,8.5,28,22.8%
IND,18,4.3%,25,13-3,15,4.1%,5,14.2%,27,8.8%,21,-1.1%,11,9.5,12,7.2%,23,-1.5%,4,10.3,2,8.5%
CAR,19,0.1%,23,8-8,14,4.4%,10,10.0%,28,17.1%,1,7.2%,21,7.2,19,2.2%,29,-8.0%,14,9.0,21,17.4%
PIT,20,-0.3%,15,6-10,22,-7.0%,19,-5.4%,17,-1.1%,5,4.0%,22,6.8,18,2.2%,24,-3.2%,19,7.9,31,25.6%
NE,21,-4.9%,11,8-8,24,-12.9%,22,-7.6%,16,-1.2%,13,1.6%,19,7.5,21,-3.5%,15,0.9%,15,8.5,5,10.5%
SD,22,-8.8%,24,8-8,21,-6.4%,28,-18.1%,7,-8.5%,16,0.8%,24,6.3,22,-12.2%,8,4.0%,22,6.5,10,12.7%
NYG,23,-11.0%,17,7-9,23,-10.9%,21,-6.9%,20,3.1%,20,-1.1%,26,5.6,23,-13.4%,17,0.6%,23,6.3,15,14.1%
PHI,24,-12.4%,30,5-11,20,-3.8%,29,-22.8%,5,-9.6%,15,0.9%,20,7.3,24,-16.0%,14,1.2%,25,5.5,25,20.1%
CHI,25,-13.3%,21,6-10,26,-14.3%,18,-3.8%,25,6.5%,25,-3.1%,25,5.9,26,-19.0%,2,7.4%,24,5.9,1,8.2%
ATL,26,-16.5%,6,5-11,25,-13.5%,25,-10.9%,24,6.3%,17,0.7%,23,6.4,25,-18.7%,19,0.1%,26,5.3,13,14.0%
ARI,27,-29.4%,26,6-10,28,-27.7%,30,-23.2%,23,6.1%,18,-0.1%,29,3.7,28,-30.0%,21,-1.0%,27,4.1,17,15.0%
SF,28,-30.5%,4,4-12,29,-28.6%,16,-1.7%,30,21.4%,31,-7.3%,28,4.2,27,-29.7%,22,-1.3%,28,4.1,30,25.5%
CIN,29,-33.9%,29,4-12,27,-25.5%,23,-10.0%,29,17.5%,28,-6.4%,27,4.7,29,-31.7%,10,2.2%,29,3.7,18,16.2%
NO,30,-36.9%,22,3-13,31,-48.4%,31,-24.5%,21,5.4%,30,-7.1%,30,2.6,30,-33.4%,20,-0.5%,30,3.5,29,23.2%
CLE,31,-41.3%,,2-14,30,-35.7%,26,-11.3%,31,23.3%,29,-6.7%,31,2.1,31,-41.9%,11,1.6%,31,2.5,26,20.6%

