Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
JAX,23,-10.5%,20,7-9,24,-13.8%,15,4.2%,29,12.9%,25,-1.8%,22,6.8,21,-8.7%,23,-2.6%,25,5.5,25,21.2%
BUF,24,-11.2%,22,6-10,22,-6.2%,29,-20.8%,8,-8.5%,13,1.1%,23,6.5,23,-14.7%,8,3.8%,23,5.9,29,23.2%
CHI,25,-19.6%,16,7-9,26,-21.9%,28,-20.1%,22,4.1%,4,4.7%,25,5.9,25,-18.1%,18,-0.5%,22,6.7,13,13.5%
TB,26,-25.2%,11,3-13,27,-22.9%,26,-19.4%,24,9.3%,5,3.5%,26,4.6,29,-30.5%,1,9.7%,29,3.7,18,17.4%
CLE,27,-25.4%,26,5-11,25,-16.9%,24,-16.8%,32,18.3%,1,9.7%,27,4.5,28,-29.1%,16,-0.1%,28,4.3,16,16.3%
SEA,28,-31.0%,29,5-11,30,-39.1%,27,-19.8%,28,11.9%,15,0.8%,30,3.1,26,-25.4%,28,-4.2%,26,4.9,22,18.2%
KC,29,-31.3%,30,4-12,29,-32.2%,25,-18.7%,26,10.5%,27,-2.1%,29,3.2,27,-28.9%,12,1.0%,27,4.6,10,12.1%
OAK,30,-35.7%,28,5-11,28,-31.6%,30,-25.9%,25,9.4%,17,-0.3%,28,3.7,30,-38.9%,6,4.7%,30,2.9,19,17.5%
STL,31,-43.6%,31,1-15,31,-42.5%,32,-30.0%,31,15.3%,11,1.7%,31,1.1,31,-41.0%,21,-1.7%,32,1.6,8,10.5%
DET,32,-48.6%,32,2-14,32,-47.1%,31,-28.6%,30,14.7%,31,-5.3%,32,0.7,32,-48.0%,10,2.1%,31,2.7,6,9.8%

