Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
NE,1,29.1%,9,10-6,4,26.8%,1,26.7%,14,-1.1%,12,1.3%,4,11.2,7,22.3%,7,4.6%,4,11.7,23,18.4%
PHI,2,29.0%,1,11-5,5,24.3%,11,9.9%,3,-14.3%,2,4.8%,5,11.2,2,30.7%,20,-0.9%,10,10.4,26,21.2%
GB,3,28.8%,13,11-5,1,35.1%,5,19.4%,2,-16.9%,32,-7.5%,7,10.8,1,38.2%,31,-8.5%,1,12.0,21,17.9%
BAL,4,28.2%,3,9-7,3,27.6%,9,12.9%,4,-13.1%,8,2.2%,2,11.9,3,29.6%,23,-2.6%,5,11.6,12,13.0%
DAL,5,27.2%,18,11-5,2,32.3%,3,21.8%,11,-4.4%,14,1.0%,1,12.1,6,24.9%,13,0.5%,8,11.3,4,9.2%
NO,6,25.2%,10,13-3,11,17.7%,2,24.7%,12,-4.0%,28,-3.4%,3,11.6,4,28.8%,22,-2.2%,2,11.8,17,16.6%
MIN,7,22.8%,17,12-4,9,19.2%,8,13.1%,10,-5.0%,3,4.7%,9,10.8,5,27.3%,30,-7.3%,3,11.8,11,12.9%
IND,8,17.0%,7,14-2,14,10.5%,6,17.2%,16,-0.9%,19,-1.1%,6,11.1,11,18.5%,17,-0.1%,9,10.9,15,16.3%
NYJ,9,16.5%,19,9-7,8,19.8%,22,-11.9%,1,-25.6%,6,2.8%,13,9.3,10,18.7%,11,1.5%,6,11.4,28,23.1%
ARI,10,14.2%,21,10-6,13,13.8%,13,6.8%,9,-5.8%,10,1.7%,8,10.8,9,19.0%,32,-9.4%,13,9.4,24,20.3%
PIT,11,13.7%,4,9-7,12,15.0%,7,14.7%,13,-3.8%,30,-4.8%,12,9.9,8,19.4%,26,-4.1%,14,9.2,9,11.9%
HOU,12,12.5%,23,9-7,10,18.2%,10,10.2%,18,0.0%,7,2.4%,10,10.4,12,16.7%,27,-4.2%,12,9.5,2,8.6%
SD,13,12.4%,8,13-3,7,20.6%,4,19.8%,23,7.6%,16,0.2%,11,10.1,13,16.0%,25,-3.5%,7,11.3,1,7.4%
DEN,14,9.3%,24,8-8,15,5.0%,18,1.1%,7,-8.6%,18,-0.4%,14,9.0,14,10.6%,14,0.1%,18,8.1,20,17.8%
CAR,15,6.5%,6,8-8,6,23.0%,20,-1.7%,6,-11.9%,29,-3.7%,16,8.2,17,0.9%,2,8.2%,17,8.2,27,23.1%
ATL,16,3.7%,12,9-7,18,-0.8%,14,5.6%,19,0.6%,22,-1.3%,15,8.3,16,3.4%,5,4.9%,15,9.1,5,9.3%
MIA,17,2.9%,15,7-9,17,1.7%,16,3.9%,20,2.8%,9,1.8%,18,8.1,19,-1.4%,3,7.2%,20,7.2,3,8.6%
NYG,18,2.8%,2,8-8,19,-4.2%,12,8.8%,21,4.0%,26,-2.0%,17,8.2,20,-6.1%,4,6.0%,19,7.4,31,26.7%
CIN,19,-1.2%,27,10-6,23,-8.4%,19,-0.6%,17,-0.7%,21,-1.3%,19,7.9,18,-0.3%,15,0.0%,16,8.4,30,25.4%
SF,20,-1.9%,25,8-8,16,3.3%,23,-13.7%,5,-12.9%,20,-1.1%,21,7.0,15,4.7%,29,-5.9%,11,9.5,7,10.2%
WAS,21,-9.0%,14,4-12,21,-5.1%,21,-8.3%,15,-0.9%,23,-1.7%,24,6.4,22,-9.0%,19,-0.6%,24,5.8,14,13.8%
TEN,22,-9.4%,5,8-8,20,-4.4%,17,3.6%,27,11.2%,24,-1.7%,20,7.6,24,-15.2%,9,2.4%,21,6.7,32,34.6%
