Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SEA,1,40.0%,1,13-3,1,41.3%,7,10.1%,1,-25.1%,5,4.7%,2,12.9,2,41.0%,13,0.7%,1,12.8,19,12.6%
DEN,2,33.2%,2,13-3,2,28.6%,1,34.2%,15,0.0%,21,-1.0%,1,14.2,1,41.3%,31,-7.3%,2,11.7,8,7.6%
CAR,3,24.7%,14,12-4,3,24.0%,9,8.7%,3,-15.0%,13,1.0%,3,11.0,3,22.4%,6,4.3%,3,11.7,9,8.7%
NO,4,22.9%,18,11-5,4,23.5%,5,16.3%,7,-9.1%,24,-2.5%,7,10.4,4,20.3%,5,6.5%,7,10.8,27,17.1%
NE,5,17.9%,3,12-4,7,21.5%,4,16.5%,20,5.3%,2,6.7%,4,10.8,7,16.7%,18,-1.1%,8,10.5,1,4.7%
SF,6,16.8%,4,12-4,5,22.1%,8,9.1%,13,-4.0%,7,3.7%,6,10.6,9,12.8%,8,3.0%,4,11.5,16,10.8%
KC,7,16.0%,32,11-5,8,17.7%,15,3.1%,11,-5.1%,1,7.8%,10,9.8,6,19.4%,32,-7.5%,6,11.1,21,14.1%
CIN,8,14.0%,13,11-5,10,17.3%,17,0.9%,5,-11.8%,12,1.2%,8,10.0,5,20.0%,29,-4.4%,5,11.1,22,14.7%
PHI,9,13.5%,28,10-6,6,22.0%,3,22.6%,22,6.2%,25,-2.8%,9,10.0,8,15.5%,28,-4.3%,11,9.4,32,31.6%
ARI,10,12.6%,24,10-6,9,17.4%,20,-2.5%,2,-19.1%,27,-4.1%,5,10.8,11,7.1%,4,6.7%,9,9.5,4,6.2%
CHI,11,6.0%,6,8-8,15,0.3%,6,13.4%,25,9.4%,11,2.0%,12,9.2,12,5.9%,25,-3.1%,20,7.3,26,16.2%
STL,12,5.4%,15,7-9,11,12.3%,22,-9.7%,8,-8.9%,4,6.3%,16,8.1,16,2.1%,3,6.9%,17,7.6,31,23.5%
SD,13,5.2%,22,9-7,12,12.1%,2,23.6%,32,19.3%,15,0.8%,13,8.6,14,4.1%,27,-4.0%,12,9.2,7,7.4%
IND,14,2.7%,26,11-5,16,-1.2%,12,4.4%,17,1.6%,18,-0.1%,11,9.4,10,7.2%,24,-2.7%,10,9.4,29,19.6%
DET,15,1.9%,16,7-9,14,1.4%,18,-2.1%,12,-4.4%,20,-0.4%,15,8.2,13,5.5%,26,-3.9%,13,8.5,15,10.3%
DAL,16,-0.1%,17,8-8,22,-7.4%,11,7.2%,29,10.7%,8,3.4%,14,8.5,17,2.0%,19,-1.3%,15,8.2,17,10.8%
PIT,17,-1.5%,19,8-8,13,3.6%,13,4.4%,23,6.5%,16,0.5%,17,7.9,15,2.2%,30,-5.5%,14,8.2,6,7.1%
BUF,18,-3.9%,23,6-10,18,-4.6%,25,-11.8%,4,-13.4%,30,-5.6%,21,7.0,18,-1.6%,16,-0.3%,22,6.7,24,15.1%
TB,19,-5.2%,20,4-12,21,-6.0%,23,-10.0%,10,-6.3%,22,-1.5%,26,6.2,26,-14.0%,1,10.6%,28,5.3,10,8.9%
ATL,20,-6.4%,7,4-12,24,-10.5%,14,3.2%,26,9.4%,17,-0.1%,19,7.1,25,-12.1%,2,7.6%,24,5.9,5,6.5%
TEN,21,-6.5%,30,7-9,17,-4.3%,16,1.6%,19,4.8%,26,-3.2%,25,6.5,20,-3.3%,23,-2.7%,18,7.5,3,6.0%
MIA,22,-7.4%,21,8-8,23,-7.9%,19,-2.3%,18,2.8%,23,-2.4%,23,6.7,21,-7.8%,9,2.1%,19,7.5,18,11.2%
GB,23,-7.7%,5,8-7-1,27,-14.7%,10,8.5%,31,15.9%,19,-0.3%,20,7.1,19,-1.7%,22,-2.5%,16,7.8,28,18.3%
BAL,24,-8.1%,10,8-8,19,-4.7%,31,-22.0%,9,-7.5%,3,6.3%,24,6.5,22,-8.7%,20,-1.6%,21,7.1,2,5.8%
MIN,25,-8.6%,12,5-10-1,20,-5.7%,21,-4.4%,24,7.9%,6,3.8%,22,6.9,23,-9.0%,12,1.0%,23,6.1,13,10.0%
NYJ,26,-9.5%,27,8-8,25,-10.8%,27,-15.5%,14,-3.9%,10,2.1%,18,7.4,24,-10.1%,17,-0.7%,27,5.4,30,22.1%
NYG,27,-16.5%,8,7-9,26,-11.0%,30,-22.0%,6,-10.6%,28,-5.1%,27,5.5,28,-21.7%,7,3.0%,25,5.6,23,14.7%
CLE,28,-23.7%,25,4-12,28,-25.5%,26,-14.6%,27,10.0%,14,0.9%,28,4.2,27,-19.6%,21,-1.7%,26,5.5,14,10.3%
HOU,29,-25.4%,9,2-14,31,-30.7%,29,-19.3%,16,1.0%,29,-5.1%,29,4.0,29,-25.8%,10,1.0%,31,4.2,25,15.5%
WAS,30,-27.5%,11,3-13,29,-25.9%,24,-10.1%,21,5.3%,32,-12.0%,30,4.0,30,-31.0%,11,1.0%,30,4.8,12,9.4%
OAK,31,-34.9%,29,4-12,32,-36.6%,28,-17.1%,28,10.7%,31,-7.1%,32,2.1,31,-37.0%,15,-0.1%,29,4.9,11,9.2%
JAX,32,-40.2%,31,4-12,30,-26.7%,32,-30.3%,30,12.5%,9,2.5%,31,2.8,32,-39.4%,14,0.5%,32,3.1,20,13.1%

